Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70364921708.9232,72334593038.1989,56249189903.239,66205046864.6673,62823107670.5119,72054814660.7045,61306601527.4856,88628162678.9501,82979176490.5164,76680339529.0809,90655590674.5177,
Albania,ALB,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,,,,56765730816.0,57883492352.0,58302791680.0,63409909760.0,60779954176.0,64665686016.0,67126484992.0,65030660096.0,60824539136.0,68504256512.0,70994558976.0,58641354752.0,69488836608.0,76720496640.0,83085312000.0,94058774528.0,96876003328.0,87479025664.0,91765497856.0,92132564992.0,96278528000.0,98381996032.0,99958004291.884,98339670056.9811,101879898179.032,102593057466.286,105773442247.74,108629325188.429,116342007276.80801,118668847422.34401,126619660199.64099,131684446607.627,136951824471.93199,
Algeria,DZA,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,8397254656.0,7051572736.0,5656512512.0,6085599744.0,5540652544.0,6595488768.0,4364661248.0,5528571392.0,6401503744.0,6013533696.0,6498496512.0,6692481024.0,6789473792.0,6207518720.0,8050376192.0,10378195968.0,10184210432.0,9408270336.0,10475188224.0,11445113856.0,12899999744.0,12925800448.0,11865884672.0,11616700416.0,12708670464.0,14614971392.0,14424976384.0,16891648000.0,15743015936.0,18151696384.0,17026291712.0,19648339968.0,20552165376.0,19791734784.0,18010478592.0,20704845824.0,25653303296.0,22202935296.0,24734068736.0,25401888768.0,24131794944.0,27335277325.91,27007253997.9991,32273668527.6089,34016446628.0998,34798824900.5461,37617529717.4903,38557967960.4276,37092765177.9313,44919338630.4748,47120386223.3681,51973786004.375,,
American Samoa,ASM,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,50131455011.1606,49405949020.1807,50878455132.2409,49452526666.5173,51320923436.8622,51052326339.3576,50196816350.5535,36543282303.2031,19514112749.9104,21446009912.1514,26142686082.9128,29985660937.1009,33044198352.6851,34762496667.0248,35214409123.6962,38489349172.1999,45417432023.1959,50912941298.0026,57073407195.0609,65120757609.5645,76191286403.1904,83658032470.7031,105980000732.422,107793750488.28099,137702917480.469,145811500000.0,159449000000.0,170610430000.0,
Antigua and Barbuda,ATG,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,56084398.861099705,62939982.851867005,46134795.511284396,44153351.6066885,36916313.174394704,31851445.867459998,31162708.6813705,28333588.240049202,27475315.746614702,29340204.1274107,33504415.1140747,35507050.9320886,37318959.529339395,39554706.3949528,40910988.8537136,42669917.667419,44322886.9140336,43655341.6413623,40243443.5810423,39438150.8711531,41334827.122076295,43019584.2388182,44503018.1780878,29480876.0,28680811.0,34236897.0,36995976.0,35632433.0,47633265.0,51644693.0,55773924.0,50329199.0,37635769.0,47685304.0,50940536.0,44470000.0,
Arab World,ARB,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,8345670144.0,8422240256.0,8636630016.0,8269109760.0,8636630016.0,7834209792.0,7957490176.0,8110609920.0,8979640320.0,9224640512.0,8971219968.0,9394629632.0,9624320000.0,9892299776.0,10175599616.0,9670549504.0,9960170496.0,10531300352.0,10699700224.0,10707800064.0,10503000064.0,10520500224.0,10233600000.0,11031100416.0,10124499968.0,10982599680.0,11432500224.0,11456799744.0,12148850089.891,13056627714.6082,13791046628.4767,13632373544.2387,13695235844.6827,14890912132.6227,15258537848.2537,14990783599.6799,15148439709.1155,14802365091.0923,15819555830.1182,15577847231.4023,17308660639.7549,17761427494.9776,,,,,,,
Armenia,ARM,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249596723200.0,244604796928.0,223324176384.0,210371379200.0,216892882944.0,225568604160.0,230067994624.0,219715993600.0,247969792000.0,251441381376.0,248675526180.86398,278836053023.182,289624268015.18896,301827015873.568,345706462047.138,384695755787.85205,386556135879.991,426371448850.048,430095298772.33704,455777262901.122,383282349541.079,435408749078.665,476772580241.139,
Aruba,ABW,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,,,,,,,,,,,,,,,,13084000000.0,14167000000.0,14545000000.0,14069000000.0,17123000000.0,15018000000.0,13166000000.0,15320000000.0,11970000000.0,17153000000.0,17187000000.0,15987000000.0,16158000000.0,15809000000.0,16507000000.0,17859000000.0,18849000000.0,17849000000.0,18787000000.0,19565000000.0,16699000000.0,20250000000.0,21895000000.0,21913000000.0,24007000000.0,25523000000.0,26492000000.0,27205000000.0,21423000000.0,26885000000.0,27951000000.0,28724000000.0,24343000000.0,26030000000.0,30622000000.0,30055000000.0,32156000000.0,34521000000.0,
