Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69161972864.7205,76338486790.0628,85055587784.6774,89655720294.0121,96102255007.516,114644373502.30301,130483714448.17401,152989486211.103,180702313841.524,199241256032.602,231121249545.91898,
Albania,ALB,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,,,,115306971136.0,140160647168.0,143707062272.0,134028836864.0,134108348416.0,131728588800.0,137266110464.0,131188006912.0,136714018816.0,154895728640.0,100345233408.0,86149562368.0,89913475072.0,103890681856.0,121157910528.0,116556554240.0,137307999104.0,131923001344.0,146365005824.0,162316992512.0,174418001920.0,185859997696.0,213669019432.857,224390923282.905,239742909331.936,257012165281.67398,,,,,,,,
Algeria,DZA,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,31404302336.0,26152386560.0,25723660288.0,28724754432.0,31833028608.0,18767292416.0,21019985920.0,18363615232.0,18708228096.0,34734243840.0,40160223232.0,40990625792.0,42302488576.0,43517046784.0,51032719360.0,51299999744.0,55166201856.0,57639161856.0,61705682944.0,65556836352.0,68381810688.0,67952672768.0,66603220992.0,66567892992.0,70941302784.0,71205871616.0,69284388864.0,71900192768.0,70482190336.0,72574705664.0,74608500736.0,75674402816.0,77351895040.0,80643465216.0,81983627264.0,82985197568.0,86182928384.0,90928029696.0,94196219904.0,100825694208.0,106131786030.041,108332371348.8,116724028742.024,127570370103.729,133191131371.534,137986012100.909,141573648415.53302,146245578813.246,
American Samoa,ASM,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,172823990138.257,196596190465.528,190306744616.655,189788136671.58603,191433346984.46802,193514473465.722,209057029388.495,193135931930.512,138446110446.426,122955901707.96301,134118060253.794,148337005530.212,158699994803.177,159209053832.009,154031514513.50598,153498851820.666,160060509887.96802,173742930846.819,183810249463.755,197691960200.349,211811036017.379,275850366250.0,340120015625.0,411108906250.0,413721914062.5,444307100000.0,484636000000.0,509605807000.0,
Antigua and Barbuda,ATG,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,541033090.575103,548397181.564858,606646873.532438,646902892.007804,671036137.989792,703502858.2291651,755936087.321834,838965244.5011259,894578793.0419471,946280685.263383,998339701.502457,1043119744.39329,1104277531.74071,1150758294.77041,1175537759.98212,1193837508.67628,1289758124.5081599,1379811283.07248,1292088083.8868802,1361120341.53485,1431887279.30142,1492722065.88007,1555308566.99023,1637685651.3,1616199274.4,1642990816.6,1727126523.0,1790275944.9,1873515515.4,2008584498.4,2159253963.4,2204213634.0,1946723255.0,1861004574.0,1840178676.0,1888660000.0,
Arab World,ARB,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,67391098880.0,66361298944.0,68047601664.0,69300002816.0,75417796608.0,83403702272.0,87531798528.0,88102797312.0,91460599808.0,96271900672.0,97213095936.0,93906403328.0,99584696320.0,97803198464.0,108600999936.0,118596001792.0,115786997760.0,111197003776.0,115242000384.0,119298998272.0,112378003456.0,118728998912.0,121847996416.0,119497998336.0,113954996224.0,112621002752.0,124818997248.0,136495996928.0,144402599415.044,153569712807.418,150591985946.569,158857689926.958,171166059022.624,179178024533.037,176263867513.47302,177198260667.964,170083014858.168,154499194782.309,160977891107.876,171967088484.65802,186355007599.18,201412012088.358,,,,,,,
Armenia,ARM,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118954409984.0,119869997056.0,189075734528.0,146176983040.0,156621783040.0,181170307072.0,191098011648.0,200731738112.0,208217407488.0,218842724472.21802,242040635137.726,266765646248.599,298920568430.2,332614513390.101,377020296783.30396,433590311224.461,503331714871.327,564022251667.166,726492640147.417,722318651344.362,767966688078.979,801657624805.967,861876272785.2191,
Aruba,ABW,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN,,,,,,,,,,,,,,,,256291000000.0,262368000000.0,271003000000.0,277077000000.0,290978000000.0,301279000000.0,314179000000.0,328009000000.0,322253000000.0,336179000000.0,352750000000.0,368042000000.0,381086000000.0,402158000000.0,420634000000.0,438816000000.0,440270000000.0,442594000000.0,460175000000.0,480390000000.0,501284000000.0,518996000000.0,545480000000.0,569001000000.0,603149000000.0,627564000000.0,646410000000.0,673431000000.0,693626000000.0,728440000000.0,754556000000.0,779849000000.0,812216000000.0,843959000000.0,859055000000.0,876680000000.0,902143000000.0,931955000000.0,
