Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Albania,ALB,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,5943643.2974,4961133.5409,4918153.4384,7541267.9771,7635400.514,6271666.0828,9453514.6339,7978677.0769,6131940.6596,8875518.9936,11170454.985,8002377.1498,7617985.317,9358626.5508,7021306.1403,7901763.0441,5777606.8413,8766848.0897,46809983.576,51464813.646,18886971.919,8150889.6009,2159224.8452,2689836.8966,1006685.4694,1051748.124,2376870.3188,322443.80206,1777467.7711,466204.31191,3502.1438453,3386.9236826,3053.5100693,0.0,0.0,38659.704398,7657408.2166,64596990.74,24258114.156,11590147.2,26562924.243,38987901.938,,
Algeria,DZA,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,5210546.3008,5803279.1888,6429481.8142,8603284.77,26978970.231,29710572.621,19319904.198,16842760.839,10841595.328,12586053.756,21891898.963,21662745.748,26828201.569,19072235.071,19221176.416,16687769.289,12639817.105,10310759.032,18399518.99,21873363.769,17559187.113,14228807.186,13853112.411,9878741.3784,7630360.7088,6355941.8047,7876962.8609,6977429.5755,16451313.584,10168861.215,14911217.995,12926087.293,13199237.447,17906801.288,25250046.83,53380026.699,99537100.221,113031422.49,499348395.75,138486894.22,228787788.86,322352120.05,,
American Samoa,ASM,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Andorra,ADO,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Angola,AGO,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,11777746.397,12559939.274,8991283.3072,9194542.0199,10999608.185,8970136.2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Antigua and Barbuda,ATG,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Arab World,ARB,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,4725213.6719,3313495.0245,5065192.8777,18065446.85,30230889.86,9836810.3384,12462297.516,15301089.366,11320296.846,25642550.954,31722390.248,14874149.218,10007738.294,14415717.083,13871551.623,12488795.095,7665831.6689,8437339.3654,148146512.38,142162278.58,53117131.116,8959548.1089,11930829.558,3423334.5005,3688224.1267,3270890.1578,3757576.3009,39639832.636,101705013.85,117355974.04,107513701.88,111543235.92,113907226.68,148153749.11,258826102.29,383428946.44,907059180.68,1004519632.4,996135208.22,974301097.77,1719074821.6,2347737850.2,,
Armenia,ARM,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289236.11465,170241.01401,2871522.3924,6297498.1596,4806722.0796,5661726.5241,2232122.259,1979808.0103,4582521.3717,4929748.0001,7930965.3828,9694945.8021,22237711.859,27895353.64,71860108.768,75270873.351,79130578.224,65669847.029,138475841.07,181574029.83,,
Aruba,ABW,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Australia,AUS,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,396471372.19,412281421.36,440763506.54,766439860.48,1203323109.0,1007138574.5,1300265752.9,1401248670.6,1141854057.7,1534723050.6,1924455967.9,1522918401.8,1653280731.4,1423656141.6,1665835976.2,1755051362.8,1518976745.8,1777464394.3,4277480172.8,2956183997.2,3053331698.2,2604522356.7,2440587773.6,2040273490.6,2214796723.0,2318277195.7,2671775157.0,2687153469.2,2947902107.1,2705764962.0,3707448065.9,3478298648.1,3679394419.9,4564603792.9,7298272785.9,13389250647.0,21069202491.0,26086580115.0,36991836377.0,29626059218.0,48348039264.0,62001679438.0,,
Austria,AUT,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,1795500.111,1415116.636,1321901.9993,7122155.81,10437391.257,1957741.3214,4491548.6214,2839491.857,889967.44361,2460839.0654,1107497.0286,658697.51426,3415432.4286,1416005.9602,36875.829369,284607.00039,0.0,197452.92773,8691385.014,11537388.318,4137144.5463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787632.4237,35239557.674,51104339.069,59225909.034,122873078.38,75057069.209,132657170.14,153953307.58,,
Azerbaijan,AZE,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44903.864052,0.0,0.0,0.0,0.0,0.0,180850.55398,175162.72493,351182.43401,608775.29465,1913125.7022,4973170.8669,38326797.415,39477104.395,,
"Bahamas, The",BHS,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bahrain,BHR,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Bangladesh,BGD,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Barbados,BRB,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Belarus,BLR,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
