Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,16456261.884,18939346.958,22210152.388,26420814.02,66231213.346,68877049.759,64755988.895,72631709.004,86438122.876,111923747.35,162075467.33,170961392.72,165115108.83,159497589.94,162470522.71,153660503.78,137325417.55,61263671.054,46329906.493,10371731.896,9148982.0007,8843637.7968,6175164.1062,7226013.7747,6106308.4586,5983141.3757,7888481.3519,6641980.0001,4707740.9616,3639243.948,9092428.1383,1920.2215221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Albania,ALB,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,7457280.5761,12244211.402,17072192.517,26902884.623,92034169.496,95257459.843,115678073.06,131408186.73,152924688.05,337928068.47,400796653.45,245698582.23,205388207.84,194807711.99,211765018.8,144932551.72,73256523.369,86649023.581,67005254.441,79216944.245,101036278.5,63903575.835,41800167.51,35453238.99,30255762.964,31699020.291,37031812.749,25210930.384,17989419.222,23111699.981,40481456.116,32501311.255,40521194.801,47115649.359,79397929.593,109193452.6,157288348.53,195491444.54,273039851.94,148618830.21,254275896.42,439612343.41,,
Algeria,DZA,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,249137219.21,282033352.21,404036100.02,645990370.2,2379580715.7,2197298303.1,2685243923.0,3225413173.3,3765842682.3,9051529743.0,9133763771.0,7178754418.4,6019187863.0,5743051871.5,5827917997.5,5763272716.9,3609376024.5,3875806977.4,3188424807.3,3761219363.4,5311236245.5,4813746194.9,4581251991.0,4609305111.4,4012837147.7,4550092345.6,6131583904.8,6074260055.1,4448251973.3,5374841687.9,11472208640.0,9849831727.7,9170014265.7,14486797335.0,18406688394.0,29416765927.0,32294871665.0,34244592524.0,47075675181.0,23173008797.0,26754287195.0,32899822057.0,,
American Samoa,ASM,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Andorra,ADO,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Angola,AGO,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,27013094.188,38264151.577,51268802.143,95814433.041,417630782.68,355854704.54,383239563.67,384412218.66,357773255.24,987167549.04,1162296657.2,995246939.66,816107379.91,980220061.04,1073392938.5,1126235896.0,666042142.03,1227862469.3,1180203143.8,1564981398.1,2479140678.4,2120137104.9,2290206073.9,1696057373.2,1593492065.3,2021830608.7,2796573763.3,2674872092.3,1419748325.8,2068533389.7,3837547368.5,2917081894.3,3513883539.2,4259007835.1,6993461856.2,14201664811.0,19557104022.0,23923165704.0,38708612369.0,19580340815.0,25815603460.0,32243285700.0,,
Antigua and Barbuda,ATG,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Arab World,ARB,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,126917836.19,198013106.16,222265420.62,334196922.39,1242815110.5,1155833242.0,1314965114.3,1578179482.4,1756997676.9,4399228601.0,5489632058.5,5441361078.9,4976294418.6,4351619374.5,4166482066.3,3719485641.6,1986248966.1,2258199818.5,1933886602.2,2372879641.2,3546198378.7,3095215360.2,3195050344.0,3160438677.9,3243185247.7,3803078879.4,5337183901.0,5243371755.9,3327010523.6,4103421641.0,8475496379.2,7401609572.5,6495852609.3,9258269790.1,12139703505.0,18440813479.0,19822391270.0,20096276844.0,28530818069.0,13945698758.0,15861136153.0,18895312272.0,,
Armenia,ARM,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Aruba,ABW,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
