Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,30.270227831,30.87712408,30.763968217,28.655209365,26.404500047,29.394758615,21.62131406,-7.23206969,-2.1492620001,10.666190674,7.7570101532,20.091004108,18.299454864,4.7264433537,13.081449008,15.310227431,23.005030296999998,25.938385073000003,14.685915086,15.577549910999998,18.907832836,16.627854706,17.182053484,19.217442437,17.217961459,13.824542248,13.935582627,12.771137517,,
Algeria,DZA,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,35.999002459,37.405044296999996,39.821033596,42.151363549,39.693765686999996,38.141441885999996,38.657142803,31.86995953,30.171298573,22.70263966,22.413285883,18.43005477,18.398074236,25.110130198,34.659050285999996,,,,,,,,,,,,,,54.656261062,56.289224188999995,58.62481267,58.036964216,53.563846431,50.397170872,,,
American Samoa,ASM,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,22.604169583,18.539253252,14.757739639,7.549132450399999,12.742899332,11.246988779,-3.4575421575,-58.951104556000004,-41.82998443,-41.783347088,,98.960413391,12.620857079,21.058622912,3.1433316508,-0.38825772248999996,-28.358672702,1.7777822511,7.1481231138,13.870348995999999,32.350336384,48.536919448,38.468114420999996,30.935046391,4.3079338716,23.898890534,22.823164273000003,,
Antigua and Barbuda,ATG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,19.707947281,29.418494875,40.411155445,23.766755284000002,26.762434229,4.3754139396,11.658109690999998,21.525463563000002,16.123038554,1.8739413215,11.280579465999999,22.941887194,26.010986154,28.613904039,31.983458335,32.613698991999996,33.256176228,31.43999321,32.933503239000004,11.194907844000001,32.322119486999995,36.750139843,37.171329340999996,25.464413021,16.484286948,15.368967865999998,15.896931914000001,15.681491167,12.705748381,16.033819219,9.5966617099,13.806217355,27.96991991,,,,
Arab World,ARB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,38.781666084811796,32.5931629440635,38.4529701688239,44.943236898763296,41.459132750813104,31.6962567741322,28.429834454654102,25.4985996286501,21.575510149468602,18.603549521783602,20.281168326172498,19.5477055028222,19.0783064793864,20.6470776076276,8.956605220421789,20.3089244543512,19.1922321858868,18.8374625034463,20.3512239417318,22.1090693864349,22.2145310263687,18.4699031559862,22.408139221719303,26.7833639887009,24.738396422599397,24.391016917421197,28.5227047417385,32.9232631479302,40.0248518474802,42.300653533074495,41.2601570678003,43.8331200814956,29.7213740473622,32.5080418387105,,,
Argentina,ARG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,34.038490931,32.762627842,30.370990551,25.446175265999997,23.191942166999997,20.354931508,19.531707886,19.654157064,18.584526272999998,18.68893603,15.482849050999999,15.938601223,18.410053657,14.876194869,16.779643646,13.994299943,13.910534188,15.792559158,15.891202731,16.237561084,15.901320285999999,15.52967374,15.44939777,14.159719197000001,13.399344503,13.15829222,21.635394698000002,21.465763057,22.086108172,25.0593669,27.336902945,27.156962033000003,25.52852691,23.947804625,23.090532032,22.892615499,,
Armenia,ARM,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.9359165887,-2.3385488938999996,-8.5127535503,1.5702786534,0.30905090272999997,-2.0761481684,1.6706129503,3.971064267,10.027769174,14.890698482000001,16.954380868,23.622833051,28.660970396,33.137698377,30.193401805,27.929425756,18.128517621,18.136782915,18.332625977,,
