Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,430288381.77,430810637.41,470991475.91,423070454.99,370470338.26,473890922.35,275807217.38,-167069574.54,-63457394.56,34986378.385,-13266152.131,265706284.8,270527783.02,-100211349.99,101393305.0,194291096.77,496537717.53,678424402.28,211613103.22,309421079.33,638570877.5,522528099.08,627325470.05,945407644.89,822866143.47,323467947.4,390816887.2,267274337.66,,
Algeria,DZA,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,5609870130.9,7599536018.1,10068257783.0,13776273829.0,13596096654.0,12785103872.0,13901226898.0,12006587232.0,11398926095.0,7402831363.7,7909984887.6,4904115233.3,5622883011.9,10618009262.0,12080685253.0,,,,,,,,,,,,,,42050546232.0,50578014666.0,63514158239.0,79211539726.0,59477243852.0,60860042405.0,,,
American Samoa,ASM,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,793762824.69,514031559.79,341728046.64,-240856394.35,110053761.53,-12913921.104,-1479676412.6,-2542774263.4,-1778319191.4,-1119154972.8,,5128110247.1,88298518.483,94477216.016,-85051008.21,-379965409.32,-1247190779.1,-529685524.12,-456800684.08,355944980.51,5418933813.8,13574837129.0,14072683222.0,11497347643.0,-4629473435.8,8707419161.7,9536613726.8,,
Antigua and Barbuda,ATG,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,7285543.7077,15285888.178,28062006.847,15775522.724,21122585.915,-7265329.8454,2892076.647,20095327.756,9104890.1066,-24920970.829,-6575124.8912,29254714.237,39289403.805,52635982.426,72017039.317,77918593.663,89345092.099,88307988.817,94165121.418,-10127615.527,109371312.65,144032276.87,153382664.59,93651534.082,29980252.63,19796971.438,25600265.403,24406501.993,1211971.1771,36757901.697,-39561433.573,12113887.135,177471040.87,,,,
Arab World,ARB,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,12372091257.0,12767117716.0,11699737995.0,10320715170.0,10022440924.0,7792704285.5,7003077288.7,8536266304.3,6093435179.8,5636963451.7,3481369359.5,3970600781.9,7328613022.6,2021597368.9,6693449357.3,3488726779.1,3824384719.2,8467111150.0,9152792679.5,9840670587.1,9259029479.2,8646453876.8,8385302336.1,4532617555.7,3297089181.2,2571373720.2,9306573606.1,11671767044.0,14572007626.0,23782384408.0,32787088316.0,39330520354.0,43268514354.0,35489686779.0,39306206031.0,45869030550.0,,
Armenia,ARM,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-178982761.07,-224854961.51,-334877290.22,-213372093.07,-231020579.58,-299401085.51,-227889473.53,-200617791.56,-83942634.091,13473588.719,97934358.855,397769269.38,821806582.48,1440141700.8,1805132220.1,2163011142.6,659270307.61,801297533.54,918363299.13,,
