Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756157.1898,291737697.17,307609756.21,-70632957.988,150860629.43,252756260.25,545889933.93,746810366.72,278108510.29,400755526.84,749926990.99,625335256.36,699942768.32,966303910.34,869015228.27,482608027.34,411479862.68,120728432.99,,
Algeria,DZA,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,3338852496.7,4998888927.0,2545686085.1,6547876962.5,8349485830.1,8747337247.1,10270465704.0,8436535478.8,8083558894.8,6511142421.1,6847057336.1,4099194475.2,4076996891.5,7797602954.8,8798829667.2,,,,,,,,,,,,,,16126604362.0,22390499373.0,34246479414.0,38299131235.0,41407451537.0,39816968287.0,,,
American Samoa,ASM,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,-37087830.048,244753698.13,-524578634.7,-1112315663.4,-1088986320.2,-2150531284.0,-3186257153.5,-4700498456.7,-3361607762.0,-2647590408.3,,2533114122.2,-2463701382.3,-1346217882.8,-2167410600.7,-4200005956.7,-4145224570.2,-3989138858.1,-4490348144.3,-6325744225.3,-8211221125.9,-5282854998.4,-8461374007.6,-25493857192.0,-22717856092.0,-14769304160.0,-19693689393.0,,
Antigua and Barbuda,ATG,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,11963884187.0,12191638390.0,10957668653.0,7121833433.1,5876835290.6,3437954468.1,2850625667.4,5209104719.7,3292408875.0,2602109950.1,2302020134.1,2495384580.4,6104372368.2,-261359585.52,3998715912.5,3662301169.2,7024027616.3,12309810870.0,14808474254.0,14162183173.0,11671257258.0,11709263513.0,16072446801.0,11521324965.0,6650664947.4,7087532261.7,6012325595.8,5982220295.4,6906493673.0,11453189158.0,20344746429.0,29495484258.0,29438942336.0,37179983270.0,41773180035.0,49108927467.0,,
Armenia,ARM,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-155610518.83,-208420330.15,-320998545.43,-202488438.29,-223270965.7,-277745130.59,-205437627.71,-182145471.09,-61899569.972,41491885.863,131071962.42,433725566.47,876484600.54,1484536698.4,1904417921.7,2312880407.0,756311274.84,843291643.06,939137127.85,,
Aruba,ABW,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,6856500062.7,6918897769.0,8321284263.2,9626986290.3,12453908243.0,10376008731.0,11601980626.0,11355752951.0,9922191090.7,11610867881.0,13753503776.0,17018820332.0,16828545470.0,11350738716.0,15854469773.0,12687406578.0,13143620571.0,13246596117.0,19960219366.0,29067109329.0,27434520453.0,18573829617.0,13709744058.0,18959735857.0,22814008358.0,24370174727.0,28261596441.0,33622343415.0,29222637484.0,26814321216.0,24899227272.0,21104924006.0,26568291270.0,27482799051.0,36491548859.0,31949584763.0,34528974107.0,34692544351.0,34052956382.0,99733496793.0,74552681265.0,,,
Austria,AUT,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,2618040948.3,3053777101.2,3919682789.7,5287314649.4,6006670795.0,5327758725.5,5627090126.7,6298036095.1,7577201242.9,11112829882.0,10130491871.0,8150033532.2,8043179345.8,6724237653.3,7016192501.7,8325335071.1,11731635145.0,14770538964.0,17630972732.0,18483691497.0,24379934447.0,23685326530.0,24217854801.0,23046354634.0,23913676566.0,29791387991.0,28189871079.0,26024955113.0,29720968530.0,29767913270.0,26968745628.0,24852269243.0,30369230390.0,36547856838.0,42630511602.0,44189472652.0,50125618143.0,63641307757.0,71508052817.0,49400038621.0,52055377222.0,68180036851.0,,
Azerbaijan,AZE,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-958729987.51,-1397723097.2,-1032420296.5,-1341743001.9,-1194976240.4,-1940741409.9,-1505767516.2,-931280545.25,-882701025.98,-1010348541.6,-871279791.98,-453576117.04,1081421411.1,3139746251.2,4030261693.6,5569574269.4,4224791002.1,,
"Bahamas, The",BHS,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576392979.88,698847727.14,558188961.05,552273133.89,1138804911.3,1523525833.0,874755393.08,1064790232.3,1478184039.6,481934041.09,-372216686.84,1526220611.2,1444556893.8,1159260170.8,982607429.96,755866834.51,837944307.73,703182893.16,635868708.97,147146014.48,,,
Bahrain,BHR,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,-185930080.62,-39525506.935,266032614.66,357956906.37,138356336.82,-66746775.226,-309063603.63,-313338180.84,-27814441.979,-470606972.85,-886166533.72,-611726614.89,-773302314.04,-846884908.0,-166843284.93,-76875017.643,-225042503.03,-266971704.86,-531236320.0,-752596818.88,-427953374.48,-697333307.57,-31980306.175,34918100.846,565194744.79,860841784.64,1500855354.1,2660124417.9,2510835154.6,1641106606.7,,,,
Bangladesh,BGD,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,-1080283349.7,-233676317.42,-679178448.51,-554597314.58,-930634281.32,938129621.45,1040642334.8,1387557339.2,1072180635.7,1362353109.9,1635928709.2,1948750481.5,2128984829.6,1978267045.3,2215264781.2,3029863539.8,3663801959.7,3966074086.9,4421777474.1,4617020391.0,4267271436.9,5679258350.9,6969766694.3,7718754873.4,7987602051.9,7558438109.6,9550467294.7,10513428308.0,11757800259.0,11755663129.0,13992640754.0,16376887374.0,18755806021.0,25016162600.0,29443349034.0,30573023323.0,,
