Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1880775.53384937,-3388779834.84906,39479092343.8757,151452000000.0,219756000000.0,
Albania,ALB,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,,,,,,,,,,,,,,,,256.0,99840.0,-512.0,100352.0,99968.0,-512.0,0.0,-1280.0,100608.0,1000064.0,0.0,0.0,10720.0,5824.0,-1328.0,-6742346301.44,85132948361.4174,18186806624.0,77854826353.9585,84926138496.0,102860709071.239,58465201971.8549,140639056988.556,117259824106.456,-1946039679.57007,10100000000.0,6450000000.0,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
American Samoa,ASM,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,,,,,,,,,,,,,,,,,,,,,-3.814697265625e-06,-12.9618453979492,23.597434997558604,6.610004425048831,-3.814697265625e-06,-1.52587890625e-05,4.57763671875e-05,1.52587890625e-05,4107.41845703125,40373.859375,,,,,,2329380953.5934,20035795253.8604,77733219360.9661,82202857462.36,174543591700.722,-0.00048828125,-1.0,-2.0,-3.0009765625,-4.0,-4.9990234375,-6.001953125,-7.0,
Antigua and Barbuda,ATG,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,200064.0,59700016.0,-32.0,-40032.0,-20000.0,26982264.2,51315973.6999996,166814306.0,146159534.0,112982624.8,43723599.5,-220819389.6,67785063.79999971,-642211080.800002,142216342.0,73328424.0,-69496776.0,-113880002.0,
Arab World,ARB,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,-0.003308393061161,0.003557756543159,0.00791750848293399,-0.0007255673408509969,0.00943735241889998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.91821288920391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9984.0,0.0,0.0,0.0,0.0,69000000.0,1451250000.0,4195750000.0,4263750000.0,3096250000.0,-428500000.0,3810500000.0,3887250000.0,-3459750000.0,-3723750000.0,-2013250000.0,-3102500000.0,-2123500000.0,94277621.0175781,18930687681.7509,3176293927.40942,35468379807.2987,65933724246.6724,47851507602.2878,
Armenia,ARM,Discrepancy in expenditure estimate of GDP (current LCU),NY.GDP.DISC.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1380000.0,3030000.0,22070016.0,-292049984.0,8910004224.0,13248970752.0,7939022848.0,35878010880.0,36209983488.0,27039399936.0,-178500000.0,-43445900000.0,-41202900000.0,5448100000.0,-34145000000.0,-43936200000.0,-59930200000.0,15433300000.0,104846300000.0,-26631900000.0,-119384100000.0,-10583400000.0005,-39256000000.0,
