Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3604445696.20401,-6336135012.16296,-7373873071.31427,-7570694935.20935,3951939746.3757896,312303.916015625,2340426.51800537,-2580085.19616699,-6471670707.7510395,-6478117936.91022,-27803707681.3036,-3825152376.61731,-7791915643.516971,82275812253.9506,60086332424.8534,68128087999.1696,89839720303.7754,172761638879.269,145061841781.455,132154014180.145,159308477932.444,124969881755.16199,
Algeria,DZA,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,160029888.0,49743344.0,-116157968.0,-175002688.0,90885704.0,132118296.0,93913096.0,48561996.0,-448917472.0,-3189048832.0,-2785493504.0,-2637286144.0,-1321592448.0,-126500864.0,-4061901824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123606168.0,-7893523456.0,-8298602496.0,-8581174272.0,-8680072656.0889,-9172562406.65341,-9777102839.68149,-12920365087.0627,28309885491.4789,,,,
American Samoa,ASM,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,0.00045776399201713497,0.00010681199637474499,9.15526979952119e-05,0.00045776399201713497,-0.00032043500686995696,-0.000701904005836695,0.000411987013649195,-0.000579833984375,-0.000411987013649195,0.000747681013308465,-7.62939016567543e-05,-4.57763999293093e-05,0.000122069999633823,-0.000305176014080644,0.00036621099570766097,,,,,,,,,,,,,,1493945488.4395401,1215460742.73526,1291711589.0349698,3340034502.89755,3375413963.44733,2602590467.4882803,-458560957.63580304,1150451357.55603,2858355100.17422,1304940689.76627,2366799075.33957,1303710972.99234,-2195961753.21237,-2786122934.8222,,,,,,,
Armenia,ARM,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31933878272.0,39685529600.0,39922491392.0,32250568704.0,32020783104.0,16104353792.0,7938999808.0,28750182400.0,17140535238.0662,6062028228.67645,-31771763961.0994,-72229594882.1525,-82169248690.9316,-49924356925.1694,-97159706302.5596,-109791159116.175,-118680364336.934,-79439138877.4258,562106494605.672,382556268173.4,370828763892.753,432512425692.109,385056810448.91,
Aruba,ABW,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,38076000000.0,39026000000.0,31688000000.0,38032000000.0,39709000000.0,46288000000.0,40693000000.0,43311000000.0,42553000000.0,51488000000.0,58506000000.0,58521000000.0,56556000000.0,50995000000.0,59425000000.0,48867000000.0,45561000000.0,47480000000.0,43271000000.0,37526000000.0,38521000000.0,37437000000.0,35803000000.0,29632000000.0,30222000000.0,28997000000.0,29326000000.0,29490000000.0,34421000000.0,35923000000.0,36672000000.0,31974000000.0,21168000000.0,22145000000.0,24734000000.0,18640000000.0,16492000000.0,12488000000.0,12483000000.0,16162000000.0,9978000000.0,5496000000.0,10941000000.0,7242000000.0,4689000000.0,815000000.0,1625000000.0,479000000.0,-2233000000.0,1160000000.0,-1374000000.0,-8000000.0,-4953000000.0,
Austria,AUT,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,-506283403.649307,-466534509.518799,-344446276.707092,-440606968.107819,-147963673.276093,-641925203.726913,-780130736.086914,-1406877401.82391,25014402.6755219,-2553716547.44159,-1436532857.17313,-3037481415.0604897,-1879475658.4614,-885081654.3865051,-1058374629.49809,-2694392776.1626,-1596436053.88649,-2650875472.9971,-3252695608.7355,-3553914372.43022,-3621064704.6286,-2457846447.14737,-2520365071.58078,-3885811036.28159,-2529828052.43936,-2949591821.51791,-2180899867.64999,-2451572795.4761,-2193014017.40152,-1750214161.4093,-664164283.97348,-699187374.155853,-369610454.398315,-571807388.299896,554688904.676392,-195427000.0,438968000.0,346253860.076019,129227081.95755,655618304.296814,296899032.924011,239286288.00412002,96636013.1327515,
Azerbaijan,AZE,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1303754556.23195,1296744885.18521,1168930393.95589,986243359.336685,1079101088.54706,161868902.18014398,-95715104.7475014,-9018.17734098434,-151150036.62763798,-133100999.95808999,-208252761.384919,-389321651.377027,-450583457.900655,-756204415.251585,-4120399.40772629,13809121.176578501,-11875209.5607033,-189337925.039146,-193503359.390011,
"Bahamas, The",BHS,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-109203267.359367,,,,,,-51428000.0,-54137000.0,-68008000.0,-143251000.0,-97041000.0,-90493000.0,-82322000.0,-79315000.0,-85693000.0,-85542000.0,-84108000.0,-82571000.0,-83875000.0,-85169000.0,-116322000.0,-5000.0,
Bahrain,BHR,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,-100.0,-300.0,100.0,100.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38856570895.3999,-6701536844.04004,2656114484.59009,34879000000.0,54782000000.0,58118000000.0,-20158000000.0,-13343000000.0,10912000000.0,33020000000.0,40000000000.0,57671000000.0,54877000000.0,31582000000.0,32471000000.0,14723000000.0,6612000000.0,
Barbados,BRB,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,21816400.0,-53648.0,25586.5,-24673.875,71350.0,0.0,-663553.04700017,2188148.04730821,59669843.795156494,,,,,,,,,,,
Belarus,BLR,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2504018958.7269,-3913781632.49014,53032011554.2893,32035668494.0962,-41568981667.7307,-106486781337.16199,-75869254663.97,30220816359.4605,-40436617478.3429,13691895710.7369,154300000000.0,-393600000000.0,-466600000000.0,-460600000000.0,-165200000000.0,-595500000000.0,-352176897280.71295,-1034790100834.97,-1254250151936.69,-1596501227338.41,-1120752492707.43,-199329904640.137,-1823332323542.54,
Belgium,BEL,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,-719921794.0296019,-438188108.770798,-296174287.20903,-647494888.486481,-230051560.781372,-1448435048.4907699,-1399482438.35951,-2110749957.4665198,-2668211316.13242,-3196169404.6498103,-2351169776.98245,-1323111111.8027,-1034241595.3797301,-288605040.088715,-224666687.458923,-259844636.76001,-605074096.514374,-941997619.417389,-1118727414.18188,-1472856370.39639,-1591217438.9788198,-1528629267.08145,-1649696115.85651,-1642472176.97842,-1335315214.20926,-1227796583.38339,-1149114747.11069,-805629698.314133,-746563902.4523929,-667041813.810425,-328151811.29187,-321172723.391785,-184966891.160492,-192020997.881653,-122471802.577393,0.0,169700.692047119,-47881843.31066889,-47275137.577301,436795700.134644,487843992.618042,290582019.551758,224946711.27050802,
Belize,BLZ,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,-18.0,-139828944.0,-196755360.0,-190325920.0,-148706224.0,-93012448.0,-78046840.0,-150994384.0,-226814656.0,-232736448.0,-240554112.0,-207557741.212878,-217241889.463234,-263421892.44175,-84801859.57610999,-123024710.09908001,-113974988.65881,-106235738.96663001,-81122113.4940882,-42791237.184571005,33191682.251449604,17479442.74105,-72839315.9179115,-27696237.6432805,-85201905.843313,-100626479.425814,-96526558.2679396,-69506414.0581484,-13154605.2924211,-95694904.3816481,-27492623.182599798,-103151744.88491899,,
Benin,BEN,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,13312.0,-18432.0,-17408.0,16384.0,6.103515625e-05,-0.0001220703125,0.0001220703125,0.0,6.103515625e-05,0.0,0.0,-0.0003662109375,-0.000244140625,0.000244140625,-0.0003662109375,-0.0001220703125,0.0006103515625,0.0,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,0.00048828125,633522.8359375,0.0,,,
Bermuda,BMU,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312025907.31015,-1732343961.3733,-1373682559.04176,-1111231871.96883,418765969.276329,3414914771.68161,2458711667.9887,5759480383.187039,7371243432.155491,9238699993.32004,8840398034.22585,11690213007.1492,,
Bolivia,BOL,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bosnia and Herzegovina,BIH,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347239858.45318997,355093754.145013,,,,,,,,
Botswana,BWA,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,-3766084831.8083,-3199389456.0205,-3188130607.4949102,-3769837781.31682,-4238956469.8828797,-3011741980.59408,2309940422.49926,6839750479.293079,5128405503.40411,2278040351.6767697,-245818192.808613,-3368272183.9042897,8894490335.21241,9496838731.33122,-6289943376.293679,-6198987021.07385,1970243495.43281,244059050.640785,-3670165212.79793,1922400000.0,1112000000.0,-791200000.0,1239200000.0,1960400000.0,2863300000.0,-149300000.0,1965900000.0,1719300000.0,3486929482.47928,3728068470.11958,-660139258.248249,-130523246.407265,706691057.8296809,1002959659.09985,2457267311.45953,-117548233.743477,-3014102337.03577,1753304468.3294,
Brazil,BRA,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,6176560640.0,6756850688.0,7168954880.0,8460246528.0,12056888092.85,14558497197.5857,14227904756.9462,15242533884.9169,33843257075.9268,29717238578.8099,33323508045.6357,41880033558.3103,55729007648.3282,60896615165.2408,75010009036.5518,76180989315.814,67186871366.9131,65973904001.9781,55122264773.4331,60528507073.8654,35784020420.7797,27129902866.426,4176692052.9364,-1715373870.36316,3896561942.5449204,44885106071.48,26939656589.6438,11064037608.9971,6801903852.280271,21997794105.3137,2001194339.2305899,-2249513695.74438,9152337201.50024,7013546610.86792,12321688220.1759,21323766029.1387,26781953636.7258,21525397392.2677,6904793575.781011,2000000.0,10643693384.0872,834059814.410645,10320766726.8857,17952827970.3241,5669952680.41675,6908433178.281489,17062981141.4546,29214846004.4968,-8310959045.71167,26222611182.7461,25705011091.877,8759038476.99316,
Brunei Darussalam,BRN,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000000.0,670000000.0,835000000.0,864000000.0,250000000.0,458000000.0,450000000.0,-403000000.0,91000000.0,761000000.0,648000000.0,492459910.0,357192080.0,251233010.0,138283860.0,-419900000.0,154543740.0,35300000.0,340700000.0,767900000.0,496500000.0,1138545600.0,1023900000.0,1933700000.0,
Bulgaria,BGR,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,,,,,,,,,,,,,,,,6910819637.9704,7427505193.0034,6835869888.9932,6938315848.8734,8332458358.2782,9522020881.70449,9937184651.8432,10472430620.0213,7907894593.10003,5904487883.915521,-7198438124.2812,-7888148943.334609,-6271742163.46896,-3185462587.48118,-1868455069.0597103,-115625641.321609,222637135.168488,580442724.531958,-121418436.479935,-54187166.109653495,121148499.798206,27351929.0149422,73907011.67004392,87410331.110321,93672836.0822639,-46911752.7861671,140273760.454582,61400166.7928658,93796152.7191162,-112357096.90926398,-978277597.3047711,-411625364.20430803,-22543426.990806602,
Burkina Faso,BFA,Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,,,,,,29538234368.0,32845488128.0,42347421696.0,39654109184.0,41067536384.0,29005461504.0,32571791360.0,26986100736.0,22765725696.0,21743058944.0,15595107328.0,12113262592.0,37149835264.0,38654189568.0,40032210944.0,55757881344.0,58731806720.0,15857491968.0,8937783296.0,-735800640.0,-29000.0,-34000.0,-380000.0,38000.0,-14000.0,-146443.515625,23595.505859375,-529411.75,26315.7890625,13947.537109375,-19736.841796875,22042.701171875,47728.546875,42944.78515625,0.0,0.0,-0.000244140625,0.000244140625,-0.000244140625,0.0,-0.00048828125,0.0,-0.00048828125,0.00048828125,-0.00048828125,0.00048828125,-0.00048828125,,
