Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,528888945.777778,540000028.4444441,537777811.911111,731111196.4444441,777777880.177778,973333299.2,1348888894.57778,1611111173.68889,1333333378.84444,1362222193.77778,1688886749.86667,1766664510.57778,1535555629.51111,1668888803.5555599,2035555623.8222198,2275555555.55556,2491111105.4222198,2866666609.77778,3202222216.53333,3588100436.3958,3532879813.1235104,3373737342.70707,,,,,,,,,,,,,,,,,,,,,4071603535.8513103,4474124990.79538,5131729588.64893,6084749812.1224,6825961928.16834,9579008541.82965,9909266778.83474,12044748838.037,15340711268.6537,17192413572.5843,19704184220.5038,
Albania,ALB,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242456.27134,1965384580.6465,2173750016.0,2156624896.0,2126000000.0,2335124992.0,2101624960.0,1139166679.0665,709452572.6581019,1228071037.41335,1985673025.8946102,2424498952.88127,2807072172.29734,2014833115.5282898,2425456495.36915,3090361900.30413,3276443010.055,3675065918.08437,3967078666.80754,4975878201.99265,6573198582.65973,7204378062.7011,7768305418.05752,9308359211.412642,11060868937.5645,10306941798.9899,10103494772.3572,11181735853.3574,10993238904.3623,
Algeria,DZA,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,3509209793.59197,3440122262.07753,3803394352.72376,4344263472.6618,4786264382.78811,5121906159.48031,5364453848.28483,7192737065.867241,9395860268.9661,12597079214.0622,14379223183.7728,16426062698.8521,19330024200.7397,24163262678.7773,30987322952.3941,39504886345.9337,40896239619.7374,41788249710.6862,44750252855.4291,48761890867.2814,53283740339.8908,58081665033.2057,60536084086.8393,54050855469.1589,51202520057.3802,56709086833.6968,41476750172.9432,44335043075.908,46245450985.5742,39048462849.3453,37972852047.1546,43122249455.6657,44353372362.2198,44118928863.0811,44283055074.2294,51803080377.0486,52349014980.3512,53617173797.6321,64523937161.3486,81335519596.8311,99055712692.6402,113968329570.17,132909399704.676,168593417772.479,134468388233.513,158318283529.67,194854073774.648,198570428287.96,
American Samoa,ASM,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,58781480.4433631,65614813.656015396,80537035.6147017,95237035.35509029,107177775.88495,117459257.184854,131892596.18921101,149425917.361043,173744447.30193302,204485187.49977198,239803705.39454302,284188889.795858,316433321.81899303,330955561.562521,349211110.86974597,360588888.446585,387340745.751908,423670362.88808197,414807411.933496,451840750.53872305,487355535.096695,523777768.527529,554851842.0528151,699782281.789547,680611558.239226,703283653.875859,734616237.39658,767773028.218417,860959836.461568,976662786.973735,1080639114.91523,1144694443.03704,1088519108.5185199,988824912.2222221,921480706.2962961,947637037.0370369,
Arab World,ARB,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,28344705967.5816,28630951563.4868,24256667554.62,26436857248.0056,31256001848.4163,31584210364.5523,33292998823.069,34733000536.4685,52543888855.2501,72436777341.9953,52438647921.8723,51169499890.7757,56781000100.9442,58082870156.265,69252328953.3803,76961923741.9469,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.19699,126206817196.091,76636898036.4712,141352368714.691,189719989668.103,228779382768.151,221441448955.725,237306250000.0,238612250000.0,251099500000.0,269557750000.0,275349500000.0,262474250000.0,263218750000.0,250888750000.0,96237557591.207,121216043325.998,141041373130.496,168676509587.609,196342957945.18802,237614506537.26602,297094101426.74396,280730824739.8,335104710293.12103,404412366613.29297,428874257846.73206,
Armenia,ARM,Gross value added at factor cost (current US$),NY.GDP.FCST.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075609898.21951,1956131995.1136801,1167756688.1976302,1151969591.26841,1273889621.24096,1413951610.8874,1508897673.50639,1508438593.34941,1718340929.71259,1688587237.90701,1736897940.60677,1913700320.68605,2146328071.85838,2551857214.43751,3276897553.66014,4479037121.19557,5842660561.48447,8283837991.113191,10337436023.1395,7732594968.068709,8218908098.271159,9035468871.64756,8810174631.4569,
