Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,GDP (constant 2005 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5150441045.96251,5585352694.99463,5644309209.652989,6275076015.72254,6623602374.80935,7533698917.3451,7805768540.14052,9446591724.80022,10243250245.6998,10869490318.0945,12433119537.8806,
Albania,ALB,GDP (constant 2005 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,4951266266.52649,5235747968.6628895,5390129064.52419,5449686664.58926,5381478568.85789,5477303541.62696,5786072462.198179,5740487316.3376,5658970118.73034,6215617487.03928,5620432320.34716,3957402731.84429,3672469735.1514897,4025026829.72605,4359104056.59331,4938864896.12022,5388301601.66715,4838694838.2971,5453209082.760839,6003983200.119679,6442273973.72842,6893233151.88941,7093136913.2942,7497445717.351971,7939795014.67574,8376483740.482891,8795307927.50704,9314231095.22996,10031426889.5627,10362463976.9182,10725150216.1103,11046904722.5937,11223655198.1552,
Algeria,DZA,GDP (constant 2005 US$),NY.GDP.MKTP.KD,19911948120.1595,17202839689.2304,13816453510.1075,18557393904.6949,19641036764.6974,20860135942.8923,19857812474.6614,21734964028.8977,24081522597.5248,26112384902.5303,28426636033.1916,25205409493.9245,32117733280.9478,33342439058.777,35841427455.2504,37649749897.138,40807342747.4324,42953231930.9303,46911301696.16,50419247460.6829,50817865550.6529,52342399518.9327,55692315260.5897,58699701965.2324,61986883225.8087,64280396214.3454,64537518434.5405,64085757414.3379,63444896304.8473,66236473115.4099,66766365310.2286,65965168516.6105,67152543076.7696,65742339164.912,65150660371.9758,67626382084.4743,70399062720.0758,71173452358.7597,74803300996.026,77197007775.6057,78895342489.7803,82534408893.2112,87156335791.2309,93431591968.1994,97449150422.8319,103198650297.779,104953027352.841,108521430282.83801,110691858888.495,112573620489.599,116626270827.225,119658553868.733,123607286146.401,
American Samoa,ASM,GDP (constant 2005 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,GDP (constant 2005 US$),NY.GDP.MKTP.KD,,,,,,,,,,,699385987.157271,731903753.4683139,791552048.2114849,853201805.718692,901141387.48898,906027405.330311,935960661.3428369,962528600.2012051,976610426.476732,977016174.0994211,998595805.312867,997272978.3909131,1009703604.44129,1027576527.5486801,1045915558.0996901,1070195816.86426,1105012729.40414,1166309140.1777,1225724709.3203,1284890812.16028,1333477589.52896,1367427937.50476,1380134288.24862,1365898317.42486,1398450341.62112,1437012525.56647,1503829899.92026,1640192292.21843,1692592958.16913,1761973717.02897,1782514578.69983,1992321406.34475,2109356388.69983,2251830449.72355,2397857378.52344,2539759285.9274697,2712207294.34302,2750939553.73832,2849168375.3456,,,,,
Angola,AGO,GDP (constant 2005 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,13636722325.2289,14018550550.3353,15126016043.8119,15973072942.2653,16036965234.0344,15988854338.3322,15796988086.2723,14706995908.3195,11074367918.9646,11461970796.1283,12654015758.9256,14071265523.9254,15182895500.3154,16216055421.1401,16741423131.3778,17245687548.865,17973622009.894,20457898752.9652,21531441232.8974,23873946857.3177,28233699240.3249,34087962368.9544,41789491878.9603,47563587328.1159,48711254651.216,50371160616.4727,52344988208.5008,55920477372.5066,
Antigua and Barbuda,ATG,GDP (constant 2005 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,273410888.451625,284850722.01777405,305768932.747023,332049974.187857,345609975.12454104,346188184.448763,362384213.2866,397729793.360275,429509646.47192097,484140795.021596,524146190.052606,552564360.20294,584463251.0753161,599338436.049338,611543597.882403,616730611.163782,649973021.486825,691100876.207411,662234817.865604,706866540.547292,741402946.839319,774081551.370909,805986138.350701,847090613.762885,820661180.580312,844419519.961818,900017957.87287,944232248.7456981,1001970945.0823301,1137617185.60661,1247153012.28995,1247525077.65854,1094108607.08774,1009445957.4771699,979184862.1457869,1007064676.7383199,
Arab World,ARB,GDP (constant 2005 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,377299563680.48,425619503480.698,462205437104.056,467658641275.99896,513902562100.471,559519187769.838,583494559103.549,558622259795.3629,543959307615.536,551821661419.593,550262439423.112,551738669979.834,548929512532.136,573481781683.62,585031044353.338,630256276204.949,665430957515.444,693116769458.643,712982070460.957,737813512341.565,757896557833.9829,792104783880.0741,820567061700.077,859055559853.3291,881234341962.7009,921873799061.1991,938872328689.409,956419658972.9159,1006684199787.72,1092809993854.23,1158762407500.52,1233769322077.62,1303693512377.22,1388088515640.93,1418566009848.26,1484536825732.23,1563812611631.58,1627475880084.8,
Argentina,ARG,GDP (constant 2005 US$),NY.GDP.MKTP.KD,63272614339.9099,66706952427.4075,66138594855.7818,62627828060.6036,68972213444.7884,76262185574.5754,75759063974.817,78177290740.2419,81947391205.2867,89879510236.2912,92616919554.5895,97857306265.7137,99450830786.8476,102247143539.285,107905300468.79901,107874642319.58,105697460697.489,113026678803.70801,107933555602.145,118967347672.98401,123906589222.91301,116856889135.041,111064084529.294,115367954894.89,117919632752.825,108973450872.295,117555959936.831,120976830302.17801,117883567817.895,109046792098.517,106430804020.731,119915278343.904,134234091595.92099,142163191319.59,150460120482.278,146179214673.303,154258086461.664,166770031981.949,173190976513.366,167327670384.54,166007456868.735,158688454209.28302,141400164654.53302,153895754872.912,167791884898.545,183193418481.53198,198702688174.034,,,,,,,
Armenia,ARM,GDP (constant 2005 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4063285312.0826,3587880992.2596703,2088146638.8800101,1904389759.8752198,2007226860.0435698,2145725481.41546,2271580879.85686,2347021891.23198,2518354489.29191,2601460187.43854,2754946338.4974103,3018226683.4619603,3416219124.68229,3895883450.64161,4303698369.4604,4900436758.504661,5547196574.10036,6309891834.101979,8675151248.29315,7447618332.276791,7611465935.5869,7969204834.55948,8542339350.074559,
