Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185470260080.297,201131671586.244,203254728623.405,225968993776.182,238519622719.958,271292707769.559,281090086916.219,340177046671.477,368865165173.92206,391416420117.574,447723582062.51294,
Albania,ALB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,289338818560.0,305963171840.0,314984792064.0,318465179648.0,314479280128.0,320079036416.0,338122670080.0,335458795520.0,330695147520.0,363224137728.0,328443101184.0,231260079616.20398,214609353883.837,235211851856.686,254734435560.79102,288614115490.37604,314878000000.0,282760444000.0,318671020388.0,350856793447.188,376469339368.83295,402822193124.651,414504036725.266,438130766818.606,463980482060.904,489499408574.253,513974379002.966,544298867364.141,586209880151.18,605554806196.169,626749224413.032,645551701145.428,655880528363.751,
Algeria,DZA,GDP (constant LCU),NY.GDP.MKTP.KN,63672324096.0,55009423360.0,44180795392.0,59340873728.0,62806032384.0,66704338944.0,63499214848.0,69501771776.0,77005348864.0,83499425792.0,90899693568.0,80599195648.0,102702694400.0,106618929152.0,114609930240.0,120392392704.0,130489409536.0,137351307264.0,150008004608.0,161225342976.0,162500001792.0,167374995456.0,178087002112.0,187703705600.0,198215106560.0,205549060096.0,206371258368.0,204926664704.0,202877386752.0,211803996160.0,213498429440.0,210936446976.0,214733307904.0,210223906816.0,208331898880.0,216248500224.0,225114685440.0,227590946816.0,239198093312.0,246852435968.0,252283191296.0,263919813390.828,278699322940.714,298765674192.445,311612598182.72,329997741475.50104,335607703080.584,347018364985.324,353958732285.031,359976030733.87604,372935167840.296,382631482204.144,395258321116.88,
American Samoa,ASM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,330631367.45414305,346003985.34955496,374202430.298964,403347057.160412,426010264.269144,428320105.744308,442470908.80515194,455030774.339325,461687890.09975594,461879705.34025896,472081372.385746,471456012.30970496,477332531.091634,485781869.67706394,494451558.31853896,505929934.072249,522389462.30841297,551367046.1980599,579455471.2371861,607425962.279522,630395128.0,646444991.999146,652451858.306077,645721871.450565,661110684.596731,679340771.9075941,710928364.82189,775393031.061654,800165194.297596,832964614.929506,842675208.661198,941860379.081055,997188105.067266,1064542033.3529699,1133575562.82141,1200659008.2305,1282182976.23124,1300493465.89448,1346930669.68152,,,,,
Angola,AGO,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,362624795401.82794,372778289673.079,402227774557.25397,424752529932.45795,426451540052.18896,425172185432.03204,420070119206.849,391085280981.577,294487216579.127,304794269159.396,336492873151.972,374180074944.99396,403740300865.64795,431213867898.19604,445184333373.115,458593624613.24,477950701680.669,544012056029.07,572559467412.55,634850874579.469,750784474911.4009,906459784462.891,1111257205444.34,1264800713256.84,1295319236572.27,1339459100000.0,1391946700000.0,1487025341013.34,
Antigua and Barbuda,ATG,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,740676012.839648,771666769.5037661,828334654.994437,899530564.9229269,936264900.869691,937831282.4402161,981706675.009182,1077458616.2311802,1163550925.95837,1311547889.48012,1419923370.24992,1496908808.09532,1583323593.69205,1623620791.65372,1656684839.1529698,1670736570.36805,1760790979.2275102,1872207227.5839899,1794008450.93655,1914916753.4158301,2008476625.3545601,2097003672.12543,2183433888.6004,2294786801.90454,2223188895.5368,2287550751.00072,2438168122.3325,2557945593.00925,2714360970.72653,3081829571.4,3378564496.0051303,3379572429.13933,2963963890.76022,2734610941.04736,2652632979.00955,2728160000.0,
Arab World,ARB,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,GDP (constant LCU),NY.GDP.MKTP.KN,105261342720.0,110974763008.0,110029234176.0,104188665856.0,114743287808.0,126871003136.0,126034001920.0,130057003008.0,136329003008.0,149525004288.0,154079002624.0,162796994560.0,165448007680.0,170099998720.0,179512999936.0,179461996544.0,175840002048.0,188033007616.0,179560005632.0,197916000256.0,206133002240.0,194405007360.0,184768004096.0,191927992320.0,196173004800.0,181289992192.0,195567992832.0,201259008000.0,196113006592.0,181412003840.0,177060003840.0,199492993024.0,223314001920.0,236504980231.573,250307885536.315,243186101519.46,256626243055.847,277441317622.38,288123304607.724,278369013871.718,276172685352.65,263996674366.817,235235596752.90698,256023462375.14102,279141288631.724,304763528550.295,330565000000.0,,,,,,,
Armenia,ARM,GDP (constant LCU),NY.GDP.MKTP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182736187392.0,1044356071424.0,607815204864.0,554327474176.0,584261173248.0,624575184896.0,661209022464.0,683168301056.0,733039587033.088,757229893405.18,801906457116.0841,878541782352.21,994388942072.95,1134009055488.59,1252715330140.54,1426413220620.92,1614671287604.64,1836675703901.44,2525152561141.79,2167843760632.47,2215536323366.39,2319666530564.61,2486493834009.77,
