Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15618666821.9945,17276009935.3635,17936942432.1938,20581045030.1092,22391972551.9152,26144583908.3578,27617935191.1353,33680659394.6351,36963123056.4177,39993238974.284,46546240177.6599,
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,5472249454.61635,6326796061.69568,6917535375.27611,7270005137.364759,7433838361.37765,7808183572.574541,8414714691.079909,8561506505.603391,8735413107.01722,9967753709.496279,9346764329.391691,6800048298.99873,6454349820.17597,7242313183.97318,8010395194.03767,9265097766.85653,10292833892.6896,9401108207.86552,10709979502.2454,11960087053.5508,13124769938.0607,14365258382.2632,15008996115.7843,16181543125.2641,17605998853.2016,19170080815.6447,21500106102.9425,22735210993.3039,26020566983.3196,27630208057.6664,26930601360.1114,28768004882.4418,29734433923.0816,
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,56537659937.6116,63669367525.5163,71948095480.41,78826253598.3857,86195204366.2092,92243029064.9438,94479936832.8897,96213221385.9187,98585840691.4333,106925680600.152,111768934111.92401,114100679142.55199,118803310816.267,119076340514.309,120516728364.16301,127705857996.774,135369788230.069,139200455208.868,147886679734.65,154798641279.576,161798942934.97,173139964490.39,185645347982.3,202988838578.898,217521025101.307,237743151980.186,249217558696.309,264529767935.633,275091255179.824,281921138479.759,295605718803.728,309247868771.325,325037998903.38104,
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,16641996868.5979,17453031477.0462,19312487639.6865,21107983937.8322,22016457397.291,22762562368.3362,23237439473.0266,22127404702.4997,17058455321.3717,18031349723.9283,20321860420.2183,23010627310.0746,25253271846.0127,27264274334.3932,28549563873.4496,30077743775.6766,32065521742.646,37058391081.0307,39782487823.9581,45319784348.6715,55314910085.9665,68837507483.5432,86629650100.637,100525475104.887,103743465293.97801,108577247555.34698,115047848008.54,125055086843.506,
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,244035654.04005098,277710051.115202,295436869.269733,321464249.870641,365342208.807912,407151796.06620497,468195713.30191904,519821322.18808204,567190756.076913,623261721.8387231,662771655.888759,698762192.886984,720758887.9474139,777685639.312041,844497516.7701241,826104709.227438,897885005.990725,957867312.1841109,1010935469.14516,1067634678.7106699,1147579035.08628,1137246454.21408,1188151425.62024,1291689135.63082,1392292343.72517,1524816381.23205,1784465817.7026699,2008201114.9575698,2048041773.4101899,1810005369.7781398,1690160460.5996199,1671691284.1851,1749346535.57986,
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,493091499554.281,554239717686.041,571959277491.04,590795146113.353,625130182906.406,648718140694.245,668410230118.3411,688326938546.052,737810956804.477,791441538959.399,877753405550.9609,951455225805.245,1014668726597.28,1065193194866.97,1125311131844.52,1182728686660.05,1260529144878.72,1328556305915.9,1411830768306.14,1479056824752.7,1578983333983.21,1649874494506.25,1708695190502.21,1817296270214.92,2017859849819.29,2202410504209.09,2410740152919.65,2614529853429.57,2831824876718.08,2926834367371.45,3099596911259.14,3303791898418.09,3486012959187.52,
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,136878935489.67401,141140624821.029,142468377340.00598,153829982734.71802,162813431189.582,155273206664.383,170880612336.826,180341734785.45602,181882925570.972,174790781922.458,176909650785.62802,205953359389.818,235803211188.238,255675019716.51,276357161854.51,274094989718.85397,294525986596.399,323863080511.032,339980778062.80896,333161837967.634,338043599871.087,330543343568.43,299058279108.384,331990653654.65,371890379844.64795,419048869228.599,468498513219.84796,,,,,,,
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7567355745.15961,6904226654.497829,4109893146.24797,3837422538.0365,4130745409.6398797,4507879325.68387,4859443472.78914,5106733815.0726,5538964927.44697,5803464322.078529,6285515703.23504,7043971510.27775,8095324921.289229,9416463418.392,10687311486.027,12559496967.7725,14654151626.4335,17111355496.2639,23985104615.2219,20749702613.1207,21462890420.6529,22912971388.0941,24990235101.7121,
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
