Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1644866846.64265,-1153724589.7288802,-2579491170.05297,-3500875116.71605,-3057971709.54518,
Albania,ALB,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,,,,,,,,583441222.817369,607286515.360211,668762528.0,618100000.0,561412480.0,686374960.0,453988128.0,-80815968.9509783,-14629275.218869,129708486.936926,154416695.05886498,495865862.00418204,564541449.4779019,106147585.65780501,364728116.80731,535163539.103048,872002175.5389559,1098897413.73549,672169748.945315,906580361.401106,1445758499.33755,1420160035.58084,1573659967.13218,2115114685.1723301,2261442573.07994,1660330013.21153,1638573689.52794,1541852171.93327,1830967440.7715898,
Algeria,DZA,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,7419458229.05143,9644721250.64164,12803835013.1753,17344221623.4494,17106453791.529,16742031005.5659,18391704902.1947,16642779512.7637,17006746519.9865,14136093603.0715,14616211823.6257,10519689565.7527,9887398601.50554,15054803098.6357,15075082550.372,,,,,,,,,,,,,,54020540712.7042,63966157158.5262,76987202876.0964,98342922162.1789,65000644266.1088,80677366714.921,96278472789.0605,97707550140.3122,
American Samoa,ASM,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,1417796410.09652,1087299150.02834,1022138967.9934199,500750178.495187,991781459.910327,923842393.4202211,-340727112.51708597,-2069520272.1991398,-1355058192.7664301,-811842587.6897299,,5821115459.619121,738910293.728734,176686644.267078,3417456.22652165,1957886254.3650103,-228925241.63238198,1291993807.01372,1054220180.8843801,2486164718.40432,7619308194.67049,17131266915.4584,20223537254.2479,22351304997.5375,4052150979.64505,17889556207.9406,20998436268.456,20506462230.2172,
Antigua and Barbuda,ATG,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,12996296.1162232,21903703.4087057,36548147.681057,25874073.7954939,32774067.753007896,5874074.13634417,17751845.7996198,37262968.48688039,32111122.6466411,3933333.35910478,27803703.2980323,70866635.87137009,85785195.7305422,99081468.0493299,120925900.109618,128518504.37719399,144211090.739248,148896317.470735,153959251.738578,55748153.647994705,180259256.24851298,220133329.41541898,233587382.88591698,189245024.971002,124212960.93056399,117581695.800369,128850749.43990201,134865285.173054,121966380.209477,175518235.493844,119301560.06696399,178587923.703704,325402352.592592,249987537.77777797,224163325.92592597,282521468.51851803,
Arab World,ARB,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,17422602543.017,18458203481.1314,17529064899.9393,17462734260.0573,17692338123.8646,15641158356.0261,15477673255.1153,19275259160.2524,13937800352.0479,,16399777529.1897,16885809657.9196,,10445984083.7174,22677692927.1088,25729551808.8814,31232142441.8426,36904288368.9828,40216700000.0,41153800000.0,42423950000.0,44538857571.8422,45122818201.997,39162810064.8396,37025035947.9504,34305494817.4513,20698336683.6654,26701717441.6567,32222211605.1451,44351281614.1398,57102276144.2708,69388774291.4262,81542279011.8435,71294935883.6662,82799388568.5265,99531654194.3969,104047006746.14099,
Armenia,ARM,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87499636.9363479,-30743132.3882463,-124836516.110865,25778708.6779782,5371590.32781732,-40570560.237859294,31748699.073531702,78010114.654587,218898500.20110402,366987149.371134,491940613.49822,870273159.1519071,1442493947.28897,2186962919.91084,2863862634.07893,3388734579.56301,1597957546.10772,1677807474.02449,1646852834.58954,1160951973.40267,
