Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5015938637.354071,-7822241541.334809,-9512157857.43338,-4298822777.73806,-3793872112.53981,1286.24458312988,421953422.476395,753475923.3868481,3554610921.59019,5301367105.71219,4601421045.48291,3385066363.73972,5304196627.37166,12181639151.2306,11782875626.9894,28491059274.7533,78165009949.6775,122058831798.419,72465339872.7368,89859686607.6369,113516992150.11699,67162756178.8083,
Algeria,DZA,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,-44184473439.1109,-43844696856.6454,-15076572935.4326,-24740558293.0378,-24996441790.4227,-25662498944.0,-27218917099.2432,-28483333632.0,-33430436819.4783,-36769490927.9678,-38684287901.2572,-27566666643.1691,-38148717226.6667,-36524769527.1873,-15303059939.4252,-22024998972.1212,-21168611945.9245,-21006613038.3122,-26679283184.2569,-18892633931.1775,0.0,8256565385.575721,-1569956070.31104,-681257706.037979,-11804703265.4271,-13843202932.8498,-42759705821.2881,-47113149701.3415,-49785261526.7299,-52927377692.0609,-47232092712.2306,-43612502509.8347,-50873911329.3948,-55380973850.8329,-53242974663.8081,-56524056413.6176,-57137321611.4793,-55951520749.7993,-68912852197.2797,-70183480157.0038,-50821274141.6069,-54182959844.7111,-60651266985.5219,-58707615325.8889,-57016499103.3206,-37436326777.8346,-22482297175.4227,-31302094820.2241,-39512501066.1439,-65711926722.236,,,,
American Samoa,ASM,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Antigua and Barbuda,ATG,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,1438203019.9931,2749703566.1037197,-1726555576.94815,-109898997.259635,1202294285.0484,3586750207.9999704,1271489536.00001,2118549504.0000103,1535791675.3522599,727160320.0,374900660.84355,68085643.5412846,534158886.271051,1303979690.6666698,247313786.01607403,202010404.98944,-97366109.9542589,-990916497.23555,-1088517992.2963,-192257676.73953402,1498836253.14405,2168498381.63918,-118940632.83649099,106866135.13615,1140284493.16746,-324952612.615383,-1327855220.688,-1957086274.85313,-945327480.856936,-948873107.8130801,-2089327983.5998,-1255409175.6689699,-148706728.721521,350.95555114746,106129692.33051701,1820882.3930397,1776329636.67875,1787942794.97565,489942071.825191,-1091510104.11055,1270009986.76782,1300446347.81328,-1679025575.19368,801634549.611168,1996933424.89355,1727845182.97397,4707528431.31518,,,,,,,
Armenia,ARM,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1190760695.76331,-1343565340.9609401,-1184961589.62244,81308993859.7081,-104986950.20562701,-37915697.635650605,0.0,55886116.6945801,-73756734.28332521,-88736709.62518309,-33600123.6445923,-70274717.2906799,-95437968.8708496,-208112201.590393,3568844567.5257,4624303088.43256,4284939923.091,-11505539200.0418,-34882643925.8615,-68716646335.7469,-39662524971.4581,-72915752840.2072,-131838475889.21901,
Aruba,ABW,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,-8462268439.108059,-9418315629.74203,-10561021399.9108,-10030260542.1687,-10047724315.0685,-10854926449.7878,-11017373065.4358,-12334988859.4164,-13713786458.3333,-14093749311.9266,-15958921987.2716,-19188186421.1738,-22324886002.6163,-17865959361.3933,-14626828789.3947,-19125150333.0162,-21348372480.516,-23923609315.185,-27407092100.1173,-29134653450.1643,-29940343499.3471,-28767050998.8249,-29977984944.1312,-30639573415.2434,-32108196535.3938,-37723374561.3389,-43268210083.1424,-49965747231.1905,-50353268709.7491,-43675968188.7902,-45521041355.991,-54092844544.3618,-61299829526.3664,-68758552961.5762,-77340340838.0238,-78293022477.2787,-83376970079.3255,-89553054264.602,-94310227527.7386,-101321357723.32301,-106809135404.37599,-113416829168.14801,-110741135721.27301,-109073919925.556,-100620585573.145,-90139551646.3405,-74801875992.8406,-64035956436.7605,-54768541814.1816,-38289900762.5343,-50547776970.0809,0.0,1344024101.94318,
Austria,AUT,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,857021310.975661,1023360029.18351,1027340560.00777,1181416874.84879,1370979029.46204,1573580311.50629,1693344496.9440901,1647518601.39651,1942875429.2910602,1859551927.49327,2242265926.77681,2173886952.43298,2716574120.01507,3683760117.62761,2454386030.2766104,2588906517.4327803,2564581719.7490396,2403228495.32238,2719116324.34994,2636521624.6101604,1454390834.64395,738215249.237373,1271294949.3338,1154883392.98778,1279979437.09711,1101457477.44027,1560073448.17138,1756549364.01779,1880240158.5443301,1793965907.32223,2319281247.13609,2313258706.21204,1950026031.65147,1661498074.1735198,1946479973.99469,2326017375.89317,1189002773.73537,722799719.444992,570336733.871002,680685991.941895,-781406404.460388,-511295658.77713,911281759.557281,1115479031.52798,1020206908.8176699,0.0,-878829236.0287781,-2256783876.89792,-4489800506.28864,-1867333196.1149101,-3792899302.89838,-7133290774.42563,-8862099109.33923,
Azerbaijan,AZE,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-423920199.699888,-127990121.07826298,-183013224.196808,-216747349.696331,-476678459.52787805,-418030096.216162,-53327843.294152,-216756354.716129,-140116322.848483,25168390.9140587,522656720.088041,2368365861.74144,5308901238.18759,8573755261.72178,13826629748.7813,7331060618.80345,8204301704.25995,12155164563.9681,9668428944.74028,
"Bahamas, The",BHS,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-690909739.199249,-652564586.6869639,-653111919.2142861,-651165001.311204,-709433360.678839,-666398941.040677,-773341665.46809,-836371749.989191,-1348040818.8863099,-1096498217.19548,-554869335.976374,-444884499.45050997,-1149162013.73632,469954483.509657,306044435.257914,40476654.9075336,214899074.68866202,0.0,177892226.271275,-15065068.4786882,-381835163.424114,-465661202.818319,-721422281.291806,-754017478.887969,
Bahrain,BHR,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,76922149.954607,131194732.60531399,115818379.397274,53970150.8015246,-16733447.993230801,100096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,110550029821.386,131524716718.33301,137891455309.674,137853009232.025,130977560786.113,134633320550.655,158244522442.819,173493706308.892,156022716813.209,164174782878.647,173629978301.96,119076752839.738,82243603031.3129,33009425516.4651,3435354959.99031,-2362180239.18235,-8023642097.056841,-12192691854.3179,-8978593254.72461,-9579177258.53521,-7908096860.277921,-11084630512.9742,-9287220114.11526,-9011703564.118391,-27704028459.7687,-7810217049.2597,-7038649222.650491,-6571034910.1144,-6702582764.8327,-4969973967.15205,-8508890565.60785,-3729843830.2185397,-20694985573.2776,-835180646.6286321,-11281602127.9069,87848230.32168579,0.0,-11470182523.4727,-8415562129.482091,-15714640828.7329,-20382961132.1218,-37756593501.7812,-50314156335.8168,-67645472231.9547,-67191644868.7,-78654998460.7695,-107502055206.762,-115566608457.485,-192522777370.453,-189171198215.053,-189481338913.651,-255624041495.51102,-280280307523.841,
Barbados,BRB,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16377309.104390698,137645.851381302,-565557.0735688211,11695918.009931,-34496112.645353995,-10064603.458208,-11893678.1308774,-20214059.5475142,974836.7206084729,3796286.75176907,-13343476.5058964,-10282544.793661099,2748648.08593619,,,,,,,,,,
