Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,17.244,16.752,17.115,17.884,17.737,18.549,19.144,20.066,20.703,,23.253,23.955,50.798,,47.93,49.039,54.955,,50.926,53.537,55.221,54.633,,34.4,48.849,49.45,,,,8.203,0.0,0.0,44.85,55.373,42.761,57.798,61.937,61.125,63.506,65.653,67.801,71.094,,
Albania,ALB,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,93.9,,94.855,94.762,95.882,95.48,96.192,97.684,96.048,97.023,97.509,95.727,98.452,97.688,97.424,97.637,98.822,101.334,97.722,96.598,97.117,97.508,97.653,97.756,98.125,99.432,95.551,96.165,,,,,,,,,,
Algeria,DZA,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,62.666,65.537,66.998,67.668,68.558,69.723,71.48,72.273,73.688,74.595,75.4,75.865,76.744,77.441,78.661,80.422,81.917,82.797,83.676,84.117,84.635,85.571,86.359,87.463,88.274,89.218,89.872,90.548,91.048,91.369,91.491,92.057,91.972,92.252,92.298,92.599,93.501,93.865,93.816,93.873,93.821,94.426,
American Samoa,ASM,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.063,102.285,101.52,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,107.738,,,,,,,,96.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,54.674,56.541,,,,,,,,,,86.926,82.716,,,81.986,81.701,79.775,83.492,91.539,91.484,85.891,,,,,,82.436,,,,,,,,,,85.812,84.928,81.267,63.982,,
Antigua and Barbuda,ATG,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,92.154,,,122.848,94.818,93.316,102.38,91.427,97.779,,,,,86.357,,,,,,,,91.926,,,,,,,,,,,,,,,97.356,95.776,95.93,91.577,91.992,,
Arab World,ARB,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,60.673,60.529,60.422,61.015,61.789,62.904,64.272,65.752,67.825,70.534,72.082,73.387,74.303,75.059,75.778,76.614,77.593,78.578,78.597,79.941,80.778,81.078,82.132,82.891,83.165,84.191,81.45,84.459,85.277,86.124,87.004,88.013,88.833,89.485,90.027,90.313,90.506,90.893,91.535,91.9,92.188,91.831,,
Argentina,ARG,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,100.56,100.44,100.008,100.428,99.857,99.82,99.562,99.678,100.921,99.602,99.764,99.458,99.108,,99.888,100.542,99.302,100.189,105.432,,99.198,99.306,,,,,98.992,100.072,99.148,99.1,98.418,98.71,98.724,99.235,98.743,98.564,98.377,98.505,99.083,98.552,98.21,,,
Armenia,ARM,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.135,103.369,103.047,103.68,102.296,102.367,104.695,,108.426,99.611,101.704,101.924,103.483,105.719,108.114,109.537,109.5,110.332,114.144,,,,
Aruba,ABW,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.133,96.664,96.962,94.754,93.191,92.301,93.762,95.526,95.633,96.101,97.083,98.672,97.148,,
Australia,AUS,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,99.646,99.801,99.971,100.082,99.476,99.183,99.184,99.105,99.036,98.909,98.678,98.749,98.582,98.459,99.234,99.444,99.631,99.883,99.876,99.716,99.632,99.695,99.662,99.689,99.566,99.545,99.485,99.577,99.733,99.688,99.74,99.634,99.7,99.687,99.581,99.579,99.537,99.648,99.647,99.666,99.675,,
Austria,AUT,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,99.0,99.139,99.325,99.692,99.326,99.294,99.493,99.4,99.433,99.273,99.111,98.801,98.97,99.115,99.391,98.341,98.928,98.899,99.259,99.707,99.7,99.206,99.229,99.23,99.094,99.378,99.342,99.321,99.159,98.914,98.861,98.766,99.069,99.789,99.493,98.814,98.453,98.132,98.862,98.905,99.434,,
Azerbaijan,AZE,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.249,100.247,98.741,96.452,113.566,109.54,98.791,98.792,100.063,98.161,98.392,97.565,94.349,96.352,94.511,93.571,99.688,99.469,98.923,98.953,98.052,,
"Bahamas, The",BHS,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,102.331,103.71,105.442,105.899,105.777,,104.681,101.901,,100.9,101.407,,,,,,100.686,101.957,,100.376,103.938,100.494,99.708,96.66,,,99.583,,98.737,98.621,99.133,99.161,99.562,102.737,101.939,,,
Bahrain,BHR,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,72.218,73.039,73.823,74.067,75.243,76.809,79.06,81.1,83.945,85.994,88.837,87.558,94.472,95.782,99.784,101.401,102.282,101.825,101.259,103.237,101.195,101.187,102.047,102.322,101.252,99.637,98.525,98.421,97.372,,,,,,,,,,,,,,
Bangladesh,BGD,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,49.346,49.006,55.655,55.723,52.027,54.299,54.969,61.532,61.299,61.096,60.999,70.007,71.268,60.895,69.949,69.306,69.127,69.158,80.517,81.155,84.46,,,,,,,,,,,,,,,105.076,106.11,107.761,106.713,105.297,106.763,106.295,,
Barbados,BRB,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,97.302,99.683,101.081,84.168,92.043,99.727,97.711,97.29,97.746,99.32,100.573,97.655,94.739,99.981,95.596,,,,99.57,98.437,,100.582,,,,,,,104.228,104.77,106.146,106.684,105.662,105.784,107.407,105.303,107.339,105.348,103.868,102.367,98.593,,
Belarus,BLR,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.329,98.576,96.084,95.719,95.234,95.525,98.23,98.615,98.782,98.658,98.9,96.926,96.771,97.926,98.484,99.512,99.36,99.827,99.883,100.096,
Belgium,BEL,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,98.472,98.443,100.616,99.436,99.163,99.163,98.979,99.111,99.814,99.482,99.543,99.589,100.309,100.589,100.635,100.485,100.851,100.916,100.906,100.907,101.455,101.22,99.036,98.919,98.942,99.095,,,99.116,99.377,99.316,99.261,99.088,99.608,99.557,99.488,99.74,99.774,99.623,99.652,99.63,,
Belize,BLZ,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,96.638,,,96.399,,102.164,99.968,,,,,,,,,94.192,94.945,,,,95.521,95.434,95.177,95.26,95.768,95.422,95.828,,96.382,95.401,96.138,,97.264,96.898,95.862,96.843,98.401,96.866,97.234,97.19,96.738,97.474,
Benin,BEN,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,44.464,45.247,45.44,44.283,43.354,44.952,44.148,45.577,45.679,49.185,45.604,46.052,46.582,47.944,48.196,48.795,49.103,49.415,49.726,50.062,48.791,49.599,50.79,53.552,55.049,56.705,58.771,61.76,64.174,66.64,67.739,69.74,71.56,74.517,77.053,79.958,,84.067,85.969,87.65,88.071,89.494,
Bermuda,BMU,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,,101.747,108.451,95.227,95.896,93.344,94.518,94.724,96.303,95.849,95.465,96.034,96.916,98.197,101.975,101.174,,,,,,,,,,99.681,,99.839,,,,101.459,104.076,103.554,106.228,104.921,107.486,,,,99.899,97.984,,
Bhutan,BTN,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,5.363,24.225,21.871,,31.389,,37.223,38.812,38.943,41.702,,,46.91,48.695,50.295,53.098,54.705,,60.349,,,59.758,74.613,75.816,77.369,78.198,79.748,81.624,83.227,85.168,87.465,89.098,90.87,94.042,97.054,97.487,98.752,99.226,101.141,101.935,102.37,101.626,101.777,
Bolivia,BOL,Ratio of female to male primary enrollment (%),SE.ENR.PRIM.FM.ZS,,,,,,,,,,,69.014,75.822,,78.981,80.533,81.879,82.883,84.318,85.825,86.086,89.228,86.466,,89.014,91.531,,91.353,91.136,,92.35,93.064,93.598,94.123,95.701,96.198,96.467,96.784,97.093,97.803,98.393,98.593,98.748,98.874,99.308,99.614,,99.796,99.72,99.334,98.824,98.661,98.481,,
