Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,17.469,,16.01,19.21,16.741,16.917,16.917,27.147,24.218,19.051,,,,,,,17.743,,,,48.586,,,,,,,,,,,,,27.254,27.151,,,,,22.814,,33.227,,
Albania,ALB,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,,51.326,50.437,,,,,,82.201,,,101.55,,95.002,90.504,85.785,87.522,95.227,102.722,106.478,110.938,111.497,113.476,107.004,117.283,112.887,115.784,127.592,126.391,141.458,139.954,147.604,152.521,157.666,159.055,152.386,143.104,145.768,138.625,142.25,138.348,135.276,132.648,
Algeria,DZA,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.966,127.999,125.729,139.576,,143.234,144.424,145.203,148.338,
American Samoa,ASM,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.431,,,,,,,,68.913,63.231,,,65.448,,,,,,,,,37.032,,
Antigua and Barbuda,ATG,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.415,250.314,191.683,,
Arab World,ARB,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,41.009,40.794,41.407,42.431,43.718,45.082,47.106,46.032,46.497,48.804,50.079,51.137,52.13,53.325,54.072,55.925,54.892,55.407,61.056,63.928,67.367,70.412,70.826,72.772,72.842,74.029,75.057,76.369,78.879,80.915,82.699,84.283,87.276,92.071,90.953,93.848,95.795,93.126,101.233,101.294,101.072,101.882,,
Argentina,ARG,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,76.941,83.925,87.554,85.669,84.714,93.211,93.07,91.824,99.753,97.348,100.12,113.064,113.273,116.777,115.385,112.529,115.074,116.794,,,,,,,,,,,,164.003,155.37,148.454,149.212,151.507,142.477,145.749,152.405,152.337,152.52,151.235,150.942,,,
Armenia,ARM,Ratio of female to male tertiary enrollment (%),SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.872,134.224,137.63,136.108,152.007,153.554,148.703,149.967,152.986,151.909,154.497,154.208,157.384,
