Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,0.06445,,,,,0.14719,,0.24932,,,0.23241,0.25595,0.25077,,0.71619,0.96781,1.25928,,1.26859,,,,,,,,,,,,,,,0.62087,,,,,,,,,,
Albania,ALB,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.36731,46.05085,34.24831,34.10589,35.1242,37.92747,39.1417,,41.94966,,44.3949,,43.95607,43.42408,44.94285,47.38793,49.38704,54.81878,58.92474,60.67995,63.9691,69.11775,
Algeria,DZA,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29339,1.64221,1.70253,2.03012,2.16364,,2.42409,2.69649,3.3853,,3.93225,4.55841,5.89804,27.1605,29.84472,34.51784,77.05674,81.86074,79.4398,,
American Samoa,ASM,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.77728,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,,,,,,120.4473,,,,,,,,176.1194,,,,,,,,,,,,,,,,,,,116.9643,117.792,108.3615,105.6465,100.1617,103.411,105.8618,105.0691,103.3088,102.4862,110.452,
Angola,AGO,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,38.45758,38.03663,,,,20.87065,19.64992,18.62586,17.96441,16.15901,9.78976,14.91217,,,,,,15.36794,21.54292,,,,,,,,169.8992,101.6439,101.2829,101.4124,103.095,,
Antigua and Barbuda,ATG,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,,,,,,17.28595,27.56727,25.80463,32.98246,30.76923,,,,,32.30088,,,,,,,,,,,,,,,,,,,,,,,74.98354,75.9552,,81.72115,83.95145,,
Arab World,ARB,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,4.86493,4.86851,4.81721,4.97624,5.06876,5.44692,6.06713,6.62301,6.57957,6.94539,7.26764,7.57044,7.90452,8.14505,8.46447,8.90617,9.30834,9.45413,9.44782,9.70197,9.96103,10.10732,10.876,11.09162,11.21641,11.35344,11.62172,11.97738,12.32928,12.4738,13.22024,13.23522,13.59698,14.18361,14.59031,15.4552,16.991,17.0456,18.66674,20.87241,21.39625,21.5119,,
Argentina,ARG,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,24.06693,25.51614,27.07129,29.61452,32.14976,36.46453,38.73622,40.06269,,,,42.91634,44.55937,45.4559,48.18426,51.2933,53.57014,57.60397,62.55699,,,,,,,,54.84505,55.53694,56.87423,57.50877,60.61007,61.36237,61.96824,62.24241,64.52189,66.74454,67.57635,69.85756,73.31645,74.77804,75.62552,,,
Armenia,ARM,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.13231,27.88033,30.14092,33.58769,33.96229,37.62192,37.52399,38.56216,39.90615,,56.56946,59.60238,
