Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,540685.0,572933.0,597509.0,624374.0,654209.0,692342.0,729667.0,764175.0,810657.0,,959583.0,1024741.0,365458.0,,447351.0,479150.0,512809.0,,651622.0,622135.0,622513.0,627888.0,,786532.0,1161444.0,1312197.0,,,,875605.0,749360.0,773623.0,2667629.0,3781015.0,4430142.0,4318819.0,4669110.0,4718077.0,4974836.0,4945632.0,5279326.0,5291624.0,,
Albania,ALB,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,,,,,,,293723.0,,284644.0,280593.0,272277.0,269016.0,267850.0,267200.0,270990.0,272935.0,274660.0,272585.0,271728.0,275426.0,278446.0,284616.0,281770.0,279500.0,288092.0,295137.0,301051.0,303632.0,,292070.0,283249.0,274233.0,263603.0,252829.0,240487.0,237975.0,222402.0,210125.0,199454.0,236102.0,224781.0,215660.0,206617.0,
Algeria,DZA,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,,1887148.0,2057048.0,2244844.0,2409367.0,2525365.0,2663248.0,2785264.0,2894084.0,2972242.0,3061252.0,3118827.0,3178912.0,3241924.0,3336536.0,3414705.0,3481288.0,3635332.0,3801651.0,3911388.0,4027612.0,4189152.0,4357352.0,4436363.0,4515274.0,4548827.0,4617728.0,4674947.0,,4778870.0,4843313.0,4720950.0,4691870.0,4612574.0,4507703.0,4361744.0,4196580.0,4086925.0,3942242.0,3252664.0,3312440.0,3363236.0,3451588.0,
American Samoa,ASM,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,,8100.0,7113.0,7081.0,6904.0,7013.0,7022.0,6778.0,6307.0,,,,6744.0,6845.0,7227.0,7650.0,7704.0,7812.0,8042.0,8308.0,8574.0,8200.0,7884.0,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,,,,,,2185.0,,,,,,,,3453.0,,,,,,,,,,,,,,,,,,,4108.0,4142.0,4264.0,4085.0,4332.0,4427.0,4492.0,4474.0,4367.0,4263.0,4130.0,
Angola,AGO,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,,434370.0,485955.0,516131.0,576420.0,,,,,,1420839.0,1300673.0,1258858.0,1178430.0,1065025.0,870410.0,974498.0,1012303.0,1031314.0,1067906.0,1041126.0,990155.0,989444.0,,,,,,910734.0,,,,,,,,,3558605.0,3930051.0,4046266.0,4273006.0,5026803.0,,
Antigua and Barbuda,ATG,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,,9668.0,11852.0,,11216.0,10939.0,11340.0,10912.0,10159.0,9557.0,,,,,11394.0,,,,,,,,9298.0,,,10727.0,,,,,13025.0,,,,,,,11569.0,11562.0,11276.0,11254.0,10855.0,,
Arab World,ARB,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,12677439.2,13365383.84,14216883.34,15003039.2,15503659.13,16266561.41,17179221.16,17920703.59,18582300.37,19630425.21,20511699.83,21087068.36,21895655.94,22764154.1,23685206.6,24367418.22,25372783.0,26467429.56,27511794.45,28317696.1,28369495.29,29896045.72,30104578.04,30885582.74,32509658.26,32522611.68,33714336.69,34258246.98,34802757.82,35395597.65,35904489.47,36909841.59,37551786.98,37320123.28,37820023.48,39803916.12,40723287.78,41131208.06,41856367.33,42072152.66,42903256.37,43396126.44,,
Argentina,ARG,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,3385790.0,3443669.0,3464437.0,3485495.0,3544591.0,3571180.0,3600659.0,3680185.0,3726748.0,3819440.0,3917449.0,4054374.0,4197372.0,,4430513.0,4589291.0,4778264.0,4906907.0,4998963.0,,4965396.0,5043792.0,,,5180713.0,,5250329.0,5153256.0,,4664386.0,4727557.0,4757674.0,4776319.0,4674869.0,4701149.0,4651255.0,4685696.0,4700176.0,4716102.0,4702112.0,4697752.0,,,
Armenia,ARM,"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221874.0,215226.0,221154.0,266076.0,252302.0,252458.0,256624.0,,255943.0,180306.0,176302.0,155423.0,143822.0,134664.0,125149.0,121502.0,127546.0,121841.0,114528.0,101819.0,104443.0,138470.0,
