Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,,,,32.23718,,,29.3767,30.92972,,48.4927,60.90355,17.435,,25.4585,28.69724,,,,,,,,27.26312,,,,,,32.02649,,,185.1427,186.2558,,109.3208,,91.32058,,102.0041,109.3009,113.2894,,
Albania,ALB,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.43856,,,,97.90031,99.65113,,95.0711,,,,,,,,,,
Algeria,DZA,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,,80.51698,85.43566,84.04254,81.91687,87.93602,90.06354,87.08264,86.34887,85.88188,83.74912,83.31948,83.92316,87.86096,84.30429,88.88267,91.074,89.92676,85.3722,86.63306,90.25444,92.577,87.3195,88.95317,87.30904,93.54222,92.95455,,97.50167,96.50891,84.56097,100.0667,96.2848,97.50833,96.37867,94.68559,98.60698,103.7463,104.6838,113.934,111.6333,113.542,
American Samoa,ASM,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,,,,,,,,,,,151.2375,135.4336,,,,,,,,,64.48671,,,,,,,82.23209,,,,,,,,,,158.4725,157.4639,161.395,162.4447,,
Antigua and Barbuda,ATG,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,,,,,92.43243,105.2174,,,,,,,,,,,,,,,,116.2275,,,,,,,,108.3795,,,,,,,103.7821,100.5178,92.14145,95.49967,93.70817,,
Arab World,ARB,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,67.86358,67.92819,68.73975,69.70428,65.21078,70.17125,74.49341,72.82914,72.26236,78.33784,74.53754,73.81394,75.35563,76.16957,77.06405,76.51144,80.04832,79.75564,78.67695,78.32724,78.73471,79.54836,80.70785,80.79585,81.61327,81.56934,82.61765,83.18915,85.06825,87.76847,89.20741,89.91906,93.65991,92.81492,93.97859,95.20146,96.4307,97.73998,98.01211,98.1516,98.96182,99.48057,,
Argentina,ARG,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,119.0487,121.1183,,,119.4138,115.7668,116.9257,,,,,,,,,,,,,,,93.6266,,,114.5029,,115.2466,114.2489,114.0407,112.0129,109.0903,111.1805,112.0261,110.5184,109.9804,109.4499,111.442,111.1276,111.353,114.5221,114.8966,,,
Armenia,ARM,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.83662,90.73941,90.9493,96.7457,103.0929,104.4445,96.57619,,102.7551,92.78792,91.99856,99.58251,102.287,,91.93793,91.45844,,,,
