Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,44.02852,,,,,,,,,,,,,,,,,,,41.03933,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.00277,94.35105,93.89751,,92.92124,,,,,,,,,,
Algeria,DZA,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,79.22249,83.7833,86.06623,87.58265,88.38041,88.70689,88.14266,88.98594,88.92144,88.18316,86.98027,87.75702,87.60723,88.1737,89.00537,89.49228,89.70071,89.28834,89.95281,90.07132,88.80601,88.19272,88.30272,87.81012,87.29857,,88.48979,89.49376,91.81519,93.0637,93.45139,93.77943,93.62066,93.03388,94.10563,94.70508,96.54446,,,,
American Samoa,ASM,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,54.55636,51.5548,,,,,,,,,,,,,,,57.73084,,,,,,,,,,90.93548,91.81686,93.06373,96.80048,,
Antigua and Barbuda,ATG,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.22103,92.48524,91.86172,91.06135,89.25605,,
Arab World,ARB,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,67.86926,66.75848,68.25157,69.32612,69.98602,70.688,71.60467,72.11831,72.50499,73.30085,74.05848,74.12738,74.15605,74.38718,75.35015,75.70404,76.52987,77.35609,77.82141,77.93678,77.97811,78.30768,77.45738,77.13321,78.31003,78.2391,79.21501,79.78282,79.48318,79.77159,80.32607,81.68729,82.95694,83.66254,83.89482,84.2018,84.70142,85.07095,85.62367,86.38533,87.1341,86.97976,,
Argentina,ARG,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,93.8077,,,,96.16877,95.92258,,,,,,,,,,,,,,,,95.85696,,,,,,,,99.77756,,,,99.84831,,,,,,,,,,
Armenia,ARM,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.50014,81.05487,79.39746,76.87466,77.70688,80.38992,,,,,,
Aruba,ABW,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.20058,98.36725,94.85133,96.01701,95.08125,96.28664,99.06644,99.45557,99.54604,99.46488,94.12297,,,,
Australia,AUS,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,96.08961,,94.30256,93.56668,96.50409,97.5971,,,,,99.53682,98.41175,97.64704,95.81573,95.68539,96.27522,96.74581,97.36017,97.46976,97.17475,96.60137,96.37967,95.99786,95.68865,94.2673,94.63664,94.25179,93.99124,93.71941,93.80736,93.62401,94.12679,93.98143,94.10838,94.22969,94.33432,95.84001,95.88747,96.11439,96.0852,96.03386,,
Austria,AUT,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.80957,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.10301,92.77231,85.81341,82.71701,77.744,89.10737,90.60325,89.31472,92.10293,88.46296,86.00602,85.79782,85.67921,85.73336,86.21761,85.87564,83.6655,84.1804,85.89344,84.97125,87.66476,,
"Bahamas, The",BHS,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.23497,88.0093,,,,,,91.72697,,,,,93.48683,97.44278,95.61476,,97.32254,93.26265,,,,
Bahrain,BHR,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,85.47683,87.75408,88.13276,91.33586,94.82173,90.45272,90.64672,87.24116,86.26675,86.53694,85.45985,84.19965,85.7928,87.75142,90.81925,96.46707,95.05863,98.66175,99.31881,,,96.07837,97.26011,96.88965,,,,,97.04787,,,,,,,,,,,,,,
Bangladesh,BGD,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,66.21637,,,90.3127,,,99.8942,88.78033,87.52321,,,78.67559,,78.77355,73.07742,71.37575,70.1227,69.09724,76.05113,75.71798,77.53528,,,,,,,,,,,,,,,89.05446,89.65367,,89.50315,,89.84541,,,
Barbados,BRB,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,87.41197,89.28477,89.09845,,,,,,,,96.07579,97.78775,,,,,,,,99.81573,,90.49649,,,,,,,92.89568,91.69255,90.85215,89.52563,89.16941,88.50425,88.14815,90.59923,89.80884,92.60501,92.00897,94.9504,97.33144,,
Belarus,BLR,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.99488,,,,,,,,,,,,,,91.81651,91.14108,90.75203,93.95279,
Belgium,BEL,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,97.67739,,99.01076,99.44445,97.95417,98.04192,94.25745,93.29787,92.6196,93.89424,94.89921,95.86181,,,95.04976,93.61689,96.96649,96.33637,96.41663,96.8895,,,99.04045,98.97496,99.05704,98.82142,98.08804,96.49498,96.35344,96.98485,98.21477,98.62197,98.71356,98.72142,98.72297,,
Belize,BLZ,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.68351,98.51124,97.22812,,96.89887,96.18619,94.69161,96.90011,96.43276,97.34363,97.26418,96.17421,97.79314,96.09326,
Benin,BEN,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,67.50628,68.37217,65.49958,,64.77089,65.24855,52.36098,,65.71567,70.28099,70.29132,72.44122,74.25982,77.14153,,,,,,,,,91.28193,,94.80458,,,,,
Bermuda,BMU,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,,,,,,,,,,,,,,,,,,,84.38391,82.66064,,,,,89.70386,92.99431,,,,,,,,,,,,,,,,,,,,,,,,,88.47403,85.93496,,
