Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,43.79393,,,49.04855,51.33806,,46.58125,44.13801,,,60.66229,57.92424,,,,,,,,87.78536,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11458,,,88.72503,,,92.63141,93.50496,93.1897,95.06567,97.8378,98.46882,,
Algeria,DZA,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,47.7723,47.19747,51.6427,59.1461,61.06947,62.32547,66.51325,65.29607,64.26251,70.7772,70.63129,,,,72.23248,72.01451,73.87272,80.44785,78.89071,74.80177,77.39338,,,85.6975,86.14686,87.60287,91.21778,89.88703,93.75427,91.56763,93.54145,91.64278,91.43611,89.76314,89.5405,91.34348,,93.15516,94.01055,91.11802,,
American Samoa,ASM,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.78197,,
Angola,AGO,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.20809,36.55027,,,,
Antigua and Barbuda,ATG,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,58.62097,57.77399,59.13004,58.83436,61.10848,63.81369,64.08016,67.43921,70.27439,68.45107,67.65807,68.7109,68.82619,69.23991,69.14169,69.5875,70.3337,69.31697,70.7135,71.61986,72.88185,72.46058,73.3208,73.42887,74.67235,75.90317,76.54458,77.25612,78.22772,79.27386,79.52654,80.29261,81.52014,81.16865,80.95746,81.5116,82.75388,83.53214,83.90905,85.42669,86.43158,86.29655,,
Argentina,ARG,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,53.93123,53.48161,,,,61.00778,59.14482,,,,,,,,,,,,,,,,,,,,,75.46011,92.70093,86.16354,88.55711,88.2773,79.65892,94.1355,85.00908,93.23808,92.70615,92.41132,93.59745,94.80647,,,,
Armenia,ARM,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.93481,96.18275,98.62858,98.88529,98.01461,,,96.3008,95.98674,95.85628,,
