Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,,,,,27.07817,,,31.11768,29.87202,,14.8786,4.22975,9.78714,,5.13298,5.12461,,,,,,,,8.94355,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77505,,,,4.56711,4.62233,,3.20619,2.66338,,,1.74874,1.43749,1.62405,1.10975,1.00543,0.91256,
Algeria,DZA,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,,,12.40687,12.65401,12.69462,12.79638,12.86168,12.55197,13.55789,13.54169,13.55364,12.4129,11.10806,7.39907,7.5847,7.64675,8.71616,7.78987,7.63207,7.70249,8.13669,11.11393,10.49997,11.03912,11.0787,10.95326,10.7428,12.95213,,14.62911,17.17222,15.18554,14.15114,14.0506,14.34189,13.62392,14.41535,13.5684,9.53357,13.08726,9.15963,9.20384,8.63382,
American Samoa,ASM,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.29482,3.41484,2.94118,2.51767,2.24618,2.74223,
Angola,AGO,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.39781,10.60047,10.16262,8.62112,,
Antigua and Barbuda,ATG,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,,,,,,1.45239,2.04012,,,,,,,,,,,,,,,,3.23467,,,,,,,,,,,,,,,2.41922,7.00786,5.38963,8.21664,5.47535,,
Arab World,ARB,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,13.37135,13.24443,13.53258,11.90659,11.83402,12.23115,12.32432,12.24808,12.03715,12.22394,12.29181,12.6429,11.87919,11.86246,11.82836,10.5215,10.13457,10.64437,10.21843,9.90573,10.01562,10.08646,10.17141,10.1224,9.97164,9.98336,9.88668,10.30485,10.36603,10.35383,10.71422,10.16141,9.14819,8.61299,8.06135,7.61941,7.91013,8.17989,8.27592,8.01935,7.69262,7.696,,
Argentina,ARG,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,12.72176,11.65993,,,,9.62205,9.07729,,,,,,,,,,,,,,,,,,,,6.36244,6.17873,6.37853,6.94892,7.19379,7.468,7.15628,7.50224,7.68233,7.59459,7.72974,7.31172,6.83124,6.11349,5.51409,,,
Armenia,ARM,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1456,0.11746,0.13514,0.16194,0.14353,0.17082,0.09093,0.23647,0.15326,0.10928,0.15572,
