Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,569151.0,,,,,,,,,,,,,,,,,,,784345.0,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8835.0,8021.0,8367.0,,9158.0,,,,,,,,,,
Algeria,DZA,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,287000.0,229627.0,202097.0,184242.0,176886.0,176860.0,191387.0,183378.0,190191.0,209486.0,238577.0,231934.0,242594.0,238905.0,229027.0,225897.0,228482.0,244881.0,235957.0,238780.0,274073.0,292418.0,291049.0,302885.0,314384.0,,247879.0,222011.0,159558.0,122515.0,106235.0,89627.0,88649.0,93928.0,102614.0,84271.0,30941.0,,,,
American Samoa,ASM,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,213955.0,238035.0,,,,,,,,,,,,,,,333040.0,,,,,,,,,,145896.0,136653.0,119896.0,57382.0,,
Antigua and Barbuda,ATG,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,394.0,345.0,392.0,570.0,,
Arab World,ARB,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,100912.0,,,,64860.0,69604.0,,,,,,,,,,,,,,,,97355.0,,,,,,,,4666.0,,,,3200.0,,,,,,,,,,
Armenia,ARM,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11710.0,12786.0,15551.0,11287.0,9293.0,7137.0,,,,,,
Aruba,ABW,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,63.0,158.0,175.0,222.0,163.0,35.0,24.0,20.0,24.0,254.0,,,,
