Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,13.12944,12.34737,11.32889,12.08799,11.83007,11.9969,12.77423,14.2453,14.72301,,,19.8312,29.81286,,30.27423,29.96061,31.87462,,31.55284,,,32.15821,,25.79763,20.34748,25.37501,,,,,,0.0,,24.44685,16.27781,23.36562,25.40252,26.06118,28.63063,31.26018,32.00865,34.45594,,
Albania,ALB,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,46.62673,,46.50518,46.70542,46.08197,45.96571,46.29271,47.1153,47.01205,46.37742,46.25219,46.53735,46.53605,46.44818,46.11871,46.33388,48.84886,50.01586,49.41524,48.73308,48.63768,48.52623,,48.43027,48.47729,48.65295,,,47.93991,47.88772,48.0021,48.13348,48.02695,48.60584,47.79232,47.34738,47.16365,
Algeria,DZA,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,28.29224,29.40691,31.10489,31.84028,33.02334,33.62559,34.29436,35.69271,36.96297,37.88961,38.53421,39.44699,,40.61467,41.01321,41.54406,41.41816,41.64793,42.13226,42.61915,43.36117,43.97733,44.5727,45.32277,45.98217,46.42445,47.87854,,49.3134,50.18435,50.5497,50.52748,51.05841,51.12901,51.23837,51.21634,50.96425,49.98504,49.31622,49.92082,49.96174,,
American Samoa,ASM,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,49.89154,50.32206,49.95819,50.02107,,50.0,50.01866,50.01866,50.01866,,47.46622,47.34912,47.26319,47.58138,46.64871,49.25645,48.50467,47.61619,48.00698,48.05049,46.11584,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,43.78453,48.54772,42.83668,54.38202,47.57282,62.29321,,,,,,,50.51669,,,,,,,,,,,,,,,,,,,50.25543,50.21916,49.90769,50.28097,49.93495,49.43703,49.208,48.85028,48.28776,47.92017,48.0038,
Angola,AGO,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,41.7282,42.50335,,,,,,,,,,32.65896,33.23428,,,,,,,,,,,,,,,44.17568,43.38891,45.34373,44.18037,45.68679,,,,,,43.74586,43.5398,40.7975,39.42747,,
Antigua and Barbuda,ATG,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,44.79857,,51.36153,54.0591,,51.69626,42.00841,,,,,,,,,,,,,,50.24808,,,,,,,,50.2464,,,,,,,51.13549,50.18544,51.2446,51.1854,50.14795,,
Arab World,ARB,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,31.04401,31.07799,31.57792,32.09379,32.76676,33.03861,34.02776,34.86845,35.43184,36.02799,36.47841,37.18167,37.94632,38.50019,38.99957,39.47831,39.86963,40.26222,40.71363,41.09659,41.8623,42.37742,43.06837,43.41495,43.57734,44.17287,44.35284,44.72544,45.27504,45.81687,46.10726,46.29289,46.34133,46.70334,46.7415,47.0396,47.19462,47.26455,47.19512,47.16553,47.18648,47.14016,,
Argentina,ARG,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,52.4914,52.17524,51.6798,51.9333,52.00676,52.36296,52.48048,52.81518,52.9769,52.78319,52.91178,53.1028,52.1687,51.3164,52.00776,52.37457,52.0753,51.62746,51.78421,,,,,,,,51.9591,51.62891,50.7629,50.46737,50.38619,50.09426,49.98562,50.94918,51.69852,51.91534,52.11099,52.31979,52.40319,52.14962,51.90384,,,
Armenia,ARM,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.03811,,,,,,,49.38178,48.91276,48.24373,47.8943,47.79477,48.3392,
