Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,23.13762,22.52125,21.7014,20.51185,21.96758,,29.27404,,,,,,,,,,,,,,24.78793,,,26.68461,28.36574,,,,,,,,,,,,,31.56236,,,,,,
Albania,ALB,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.77331,,,16.43434,16.96302,,17.66389,,,,,16.79416,14.7321,14.77747,15.24414,14.89293,
Algeria,DZA,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,21.09646,,,,25.79755,25.76695,27.08379,26.72385,25.88182,25.0432,24.99682,24.17176,,23.44037,23.20191,22.17753,20.91735,19.81811,18.66765,17.9128,17.12731,17.01399,16.9837,16.7637,16.84403,16.92098,17.23117,,,,,,,,,,,,,,,,
American Samoa,ASM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,19.16667,19.20833,19.872,19.136,18.984,20.0,20.816,20.76744,20.76744,20.76744,,22.42424,21.42143,21.04138,22.0604,16.46305,14.45175,13.8961,15.29817,15.48198,15.5,13.69549,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6577,7.25909,7.06522,7.75311,,,,,,,5.18866,
Angola,AGO,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,15.1623,16.8623,16.7383,,,,,,,,,,,,,,,,,,,,,,,,,18.26943,18.26959,18.83404,18.96118,,,,,,,,,35.90634,27.41665,,
Antigua and Barbuda,ATG,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,,30.84255,,21.17791,26.57025,21.8115,19.34916,15.42162,,,,,,,,,,,,,,,,,,,,,,13.39086,,,,,,,,,12.62094,12.15562,11.96742,,
Arab World,ARB,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,20.79681,20.83865,21.08631,21.28674,21.7368,21.86119,21.54615,22.35328,22.30174,21.78214,21.14127,20.68106,20.90234,19.84452,19.66342,19.40027,18.76583,18.08753,17.44805,17.48102,18.02163,16.99269,16.76704,16.63761,16.96889,16.51091,15.94724,15.76521,16.0769,16.39593,16.46239,16.57849,16.83708,16.91933,16.92489,16.46886,16.0178,15.41399,15.12432,14.88514,15.20244,15.19776,,
Argentina,ARG,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,7.27655,7.36992,7.51869,7.58144,7.70343,7.67988,7.56055,7.4151,7.47264,7.25784,,,,7.57642,7.64464,7.82314,7.76125,7.15971,7.09614,,,,,,9.66461,,,,12.41851,,11.01021,15.64073,15.29179,14.48265,13.76632,13.53259,12.75571,12.18869,10.89958,,,,,
Armenia,ARM,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50058,,,,,,,,,,,,,,,,,,,
