Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,8565.0,6907.0,6072.0,5882.0,5400.0,5960.0,7898.0,12192.0,14143.0,16784.0,12410.0,14532.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,1893.0,2765.0,9011.0,,7400.0,9716.0,22711.0,,18085.0,,
Albania,ALB,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,,,,,,,77723.0,,99444.0,113981.0,126529.0,133086.0,121240.0,118293.0,123748.0,123797.0,135546.0,133552.0,135051.0,135207.0,139822.0,138185.0,,,30032.0,20614.0,,,,15133.0,14501.0,16387.0,18495.0,20291.0,24029.0,,29249.0,30151.0,29652.0,21658.0,20006.0,18697.0,19180.0,
Algeria,DZA,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,,56074.0,60248.0,64550.0,81482.0,23119.0,21610.0,23002.0,23839.0,23123.0,26397.0,27808.0,30609.0,36628.0,32086.0,42577.0,66886.0,98300.0,128083.0,156423.0,165182.0,153360.0,96025.0,129122.0,121175.0,136455.0,147418.0,138074.0,,238977.0,261990.0,282131.0,280640.0,263683.0,349973.0,362261.0,349151.0,306411.0,441612.0,437159.0,388962.0,380890.0,,
American Samoa,ASM,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,157.0,159.0,139.0,140.0,160.0,170.0,180.0,180.0,180.0,180.0,,,,,,,,,,,,,,,,
Andorra,ADO,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,215.0,219.0,222.0,231.0,246.0,245.0,262.0,312.0,367.0,370.0,325.0,
Angola,AGO,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,,13863.0,15632.0,20123.0,,,,,,,3009.0,4798.0,5206.0,7060.0,6866.0,7147.0,8745.0,9774.0,10662.0,12194.0,15899.0,20624.0,22888.0,,,,,,,58196.0,70260.0,76540.0,95096.0,,,,,,252481.0,302868.0,362805.0,400265.0,,
Antigua and Barbuda,ATG,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,,,239.0,211.0,235.0,229.0,198.0,242.0,248.0,,,,,,,,,,,,,,0.0,,,,,,,,700.0,,,,,,,,514.0,591.0,595.0,476.0,,
Arab World,ARB,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,463106.1003,478610.7056,507927.9623,531114.3743,612998.0326,602083.2642,662219.5428,734112.5694,790670.7341,892714.8547,970328.5295,1081491.534,1202684.085,1294726.552,1361633.35,1458106.761,1637119.732,1754141.126,1799695.446,1840686.018,1841784.8,1878654.265,1849857.182,2216547.604,2524146.877,2575865.111,2625955.003,2830149.325,3058544.616,3226653.149,3391075.517,3559038.985,3514752.061,3621962.773,3761528.289,3473190.472,3181295.826,2825892.512,2798110.785,2611484.73,2487012.351,2916490.626,,
Argentina,ARG,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,571544.0,602869.0,648413.0,703063.0,757425.0,788864.0,837659.0,846200.0,850956.0,855222.0,816600.0,838304.0,831481.0,851809.0,979133.0,1084531.0,1087214.0,1127096.0,1162863.0,,,,,,,,,,,,,,,,,,,,,287305.0,285749.0,,,
Armenia,ARM,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21029.0,,7352.0,7162.0,,4192.0,6016.0,5122.0,,,6471.0,7029.0,8281.0,10765.0,12048.0,12996.0,14638.0,17149.0,21510.0,
