Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,8.28528,9.29276,10.2739,10.74194,10.87678,10.9257,11.8062,12.63445,13.29642,,16.76306,19.36447,10.64174,,12.5202,13.31974,12.38183,,13.68522,13.17247,11.31229,16.24937,,16.00279,22.19071,21.49963,,,,,,12.77722,,13.18077,18.44838,19.44068,29.14918,28.99123,38.37213,44.23704,50.1815,51.77018,,
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,84.27961,,86.35793,87.92941,89.34275,89.4662,84.31098,78.42949,77.77678,79.83455,82.01321,80.74214,80.81227,80.45369,81.13849,81.49052,69.81645,63.43,62.40033,63.02645,63.19075,64.14553,65.89133,66.4433,66.67894,69.04971,71.49872,75.26388,75.6674,79.22522,80.58608,82.2449,82.39508,,,,,
Algeria,DZA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,9.58296,11.55675,13.01683,14.2907,15.64761,18.10257,21.32147,25.25081,28.02283,30.17269,32.33417,35.36934,38.61331,41.9016,45.00029,49.2178,51.66789,52.68595,59.2567,58.73647,57.23974,56.9668,57.02432,57.85013,57.45376,57.26973,57.27395,,62.55411,61.92001,65.4966,68.7787,71.19437,74.84863,76.74296,78.13794,68.85041,75.40405,91.61072,95.39151,97.60729,,
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7339,93.545,95.81799,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,15.36829,14.71306,13.81905,17.33879,25.93956,34.14492,,,,,,,49.39144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,6.69744,7.57853,8.64914,,,,,10.03673,,12.92544,16.687,11.84568,10.81531,13.53942,11.68828,13.40894,13.06869,11.04786,12.25653,11.35899,12.03842,13.56833,,,,,,12.99396,12.97514,14.85831,16.78454,18.11489,,,,,,25.51295,27.12847,31.31399,31.51639,,
Antigua and Barbuda,ATG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,88.81265,61.16552,84.52498,78.77971,83.63347,84.6718,69.34014,,,,,,,,,,,,,,119.9713,,,,,,,,77.87454,,,,,,,102.6723,110.8712,108.5363,106.2201,106.1165,,
Arab World,ARB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,21.54918,22.10034,23.06595,24.24373,25.50394,27.28139,29.28846,31.45917,33.53611,35.23911,36.53485,37.54848,39.21018,40.38733,41.81081,43.28827,45.21967,46.42413,46.91599,47.57025,50.3314,50.38434,49.23662,50.47686,52.68533,52.86265,53.00667,54.5455,56.15656,57.76953,59.12017,61.02775,61.99361,64.25017,66.137,66.17105,66.33292,65.24304,65.82562,67.34922,68.47842,69.0852,,
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,44.41448,45.42444,47.14147,49.4847,52.2111,53.84371,55.4599,55.53595,55.55406,55.40354,56.21938,57.38119,59.04556,59.63165,65.1473,70.18435,70.18376,69.96252,70.41369,,71.10268,71.56493,,,68.63676,,78.24418,75.05831,81.41071,84.9219,86.55086,87.49555,87.05444,86.35618,85.83184,84.93229,84.7796,84.71264,85.88642,88.5793,90.22608,,,
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.31586,91.2517,93.37306,95.05888,,91.43074,91.31016,93.19355,92.60464,90.74996,87.13641,,,88.32784,91.06529,93.88583,94.85475,92.67271,96.59027,99.50405,96.42419,95.92731,
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79692,96.48602,97.9878,100.5057,99.09117,97.25244,95.92882,97.35637,102.5464,94.64913,96.72344,95.83605,97.01512,,
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,80.77742,,,,,,,,,,,,,,,,,,,,,,,133.7113,132.0053,142.5129,147.2237,151.0007,153.5193,155.714,160.6186,153.223,152.7167,154.8082,148.8852,147.6183,126.6464,125.3858,126.7423,128.7804,130.8443,133.0451,,
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,88.46191,,,,,89.87902,,,,,91.79725,90.92037,92.11629,92.21047,94.22845,97.78402,98.86226,99.7534,100.3911,102.4997,103.7692,105.5067,106.5884,106.6597,106.0803,105.0978,104.1791,96.68948,97.39323,97.73948,98.07884,98.51584,99.26863,99.46818,100.3522,100.309,99.46533,99.07034,99.30265,98.5481,97.96985,,
