Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,14.03254,,,,,,,,,,,,,,,,,,,21.61798,,,,,,,,,,,,,,39.08493,,,,,,
Albania,ALB,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.91545,66.3681,,,,,,,,,,,,
Algeria,DZA,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,12.40066,,,,,,,,,,,,,44.93535,,,,,,,,,,,54.71937,54.48467,52.46377,,,,,,,,,,,,,,,,
American Samoa,ASM,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,4.91412,,,,,,,,,,8.11976,,,,,,,,,,,,,,,,,,,,,,,,,,11.66014,12.1825,14.86619,,,
Antigua and Barbuda,ATG,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.00504,,,,,,,,,88.00314,86.0077,,,
Arab World,ARB,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,22.19590411,22.75665917,23.34231774,25.20874189,25.91854268,27.58956093,29.59312478,31.90884082,34.14699287,35.86115185,37.01447253,37.34589159,38.88293112,39.85680565,40.98105656,42.21454002,43.91952957,44.84881629,45.03472194,45.42660017,47.88660177,47.77871219,46.45249062,47.38966318,49.2456477,49.34003168,49.44847628,50.61809865,52.20728557,53.68113195,55.03979719,56.79199271,57.5357367,59.58882875,61.48405297,61.31072503,61.22312148,60.24795122,60.6610303,62.41358061,63.54807105,63.95151247,,
Argentina,ARG,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,37.66542,38.9964,,,,,,,,,,,,,,,,,,,,,,,71.89529,,,,,,,,,,,77.96539,79.67144,,,
Armenia,ARM,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.56408,79.03406,83.09931,81.67713,77.50381,76.49664,
Aruba,ABW,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.67471,74.79826,70.60256,74.29851,69.87496,73.43486,74.49481,,79.20922,71.15534,74.57757,,73.34535,,
Australia,AUS,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.87733,85.79959,86.17618,87.66966,,,,,,86.62981,85.32257,85.09534,83.47229,82.7902,82.7503,82.92841,84.25063,84.58823,85.15653,,
Austria,AUT,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.01816,87.63525,86.65325,86.9564,87.12535,,
"Bahamas, The",BHS,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.87031,88.33018,,,,,,71.21855,,,,,79.19275,82.78352,84.54317,85.52194,84.74706,82.40436,79.94225,,,
Bahrain,BHR,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,44.34336,48.35856,52.3232,,,61.43493,73.18342,67.5101,73.36316,77.66265,74.06099,,75.36383,,,,,87.75672,89.79863,,82.13736,83.84122,83.3301,87.15817,86.38363,78.69472,77.83631,80.31304,83.29795,86.03376,,84.97119,86.81337,90.0928,94.51443,84.3018,
Bangladesh,BGD,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,21.52377,,,,24.73936,,,,,,,,,,,,,,,,,41.53062,43.49692,43.95036,44.04101,44.69848,44.35608,42.73296,40.69447,41.52059,42.4098,,42.82854,43.41366,42.16984,,
Barbados,BRB,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,77.2168,,,85.98872,81.16691,83.09832,83.8921,87.65004,,,,80.67457,85.22589,,,,,,,,,93.32001,90.49976,85.67201,84.99523,85.76729,86.14801,86.85206,86.01022,84.73594,82.21988,79.36431,81.55551,83.77888,,
Belarus,BLR,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.45744,92.74665,93.64474,94.00398,95.3981,
Belgium,BEL,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,75.72831,,,,,,,,,,,,,,,,96.45361,97.99877,98.82546,96.92889,,,,,,,,87.69193,87.13144,,,,,,,,
Belize,BLZ,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4504,56.85708,58.03124,,67.27082,,65.37826,64.92811,64.94208,64.19049,64.90463,64.84174,66.85299,70.24374,
Benin,BEN,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74975,25.36258,,,,,,,,,,,,
Bermuda,BMU,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,62.32804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.57359,67.94511,,
Bhutan,BTN,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23268,20.97871,23.20161,24.62742,,,,34.48358,37.22412,,45.14516,45.79522,49.79904,50.00219,52.87678,
Bolivia,BOL,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.84341,68.22529,66.86417,,67.81542,,,
Bosnia and Herzegovina,BIH,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,5.9229,6.66986,7.32076,7.85827,8.79547,9.59856,10.22835,10.1156,9.88078,11.78447,13.19408,,,17.11053,19.80976,21.34615,,,26.07378,28.42453,34.68702,35.29847,38.36183,37.9854,36.39111,,,54.09426,48.76196,49.66512,48.91728,49.65122,51.08777,51.59284,52.55034,54.54984,54.48677,56.37028,,,,,
Brazil,BRA,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,47.49842,47.26389,48.04167,48.73179,47.64202,49.47424,51.24886,48.68329,,,,,,,65.40531,60.77542,63.09586,63.69817,,,,,,,,,,,84.18472,87.0517,86.62536,87.14154,89.08351,,92.54225,94.49057,
Bulgaria,BGR,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.18358,85.62918,87.05413,87.75538,88.44036,85.95451,87.42841,88.11879,87.74759,87.09181,86.352,85.23439,85.20947,86.12932,,
Burkina Faso,BFA,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,3.24655,,,4.59707,,,6.87676,,,8.64839,8.88952,8.76581,,,,,10.77326,,9.58676,10.16669,11.24518,12.48729,13.31465,14.20712,14.96225,16.97432,18.12685,18.50101,20.4458,21.53161,
Burundi,BDI,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,2.86782,2.84509,,,2.90492,,3.20271,3.24031,3.32711,3.48815,3.74952,4.03138,,,,,,5.98792,,,,,,,,,,,,,,,,14.54228,16.90949,18.5907,19.62532,
Cambodia,KHM,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.99555,18.89167,19.60549,20.86283,27.38248,31.85062,31.23814,,34.23915,37.83179,39.78985,,,,,
Cameroon,CMR,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,9.36305,10.24038,11.24766,11.83545,13.20552,14.25138,15.1373,16.4086,17.0105,17.61196,18.67631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.58085,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82217,,,,,,,22.35934,,,,,,,,54.96473,54.48276,54.06554,57.43661,58.19491,59.59704,,,,,64.32643,
Caribbean small states,CSS,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,45.21454036,49.76891563,51.54063674,53.3780906,54.57288663,55.91973542,58.32739564,56.50823413,56.34195625,57.0896711,57.08902544,58.53805983,58.42495073,59.58473823,61.36880197,61.1141821,62.69994337,64.15629922,64.32147431,63.45667381,65.16722103,66.73462705,68.28124248,69.74145785,70.39959074,71.63108074,69.94586301,71.13473281,71.12952804,71.24626127,73.9120397,74.04795038,75.15285788,76.34830973,77.01400402,76.44584704,74.92054287,75.37888119,,
Cayman Islands,CYM,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.71429,,,,,,,,,,,,,,
Central African Republic,CAF,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,6.46628,7.88681,8.87574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.64091,,18.37146,18.35709,
Chad,TCD,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.30152,10.74187,10.97529,12.50614,14.06967,15.75179,,,,,,,,,,
Channel Islands,CHI,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.28301,82.65831,80.8086,82.40273,83.04745,,
China,CHN,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.65842,59.99111,63.78566,66.48025,67.77079,70.43037,71.35807,72.963,70.77444,
Comoros,COM,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",ZAR,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00261,22.66085,24.25459,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,,,23.31027,,36.0611,,45.89273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,,,,,,,,,,,20.99427,,,29.10866,,31.95886,31.97098,,,34.17685,,35.52512,34.28155,,,32.13035,33.15859,34.21066,,35.2263,35.92155,36.32065,,,,,,,,,,,,,,,,,,,,70.86626,,
