Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,53.31057,51.17496,,,63.20426,60.25045,,73.92189,71.09168,76.57028,,83.23387,82.05972,,,,,,,,56.14616,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.29919,,,,94.03323,,,95.37901,,,97.46838,97.38535,98.39568,96.88128,98.11121,98.52096,,
Algeria,DZA,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,27.71665,24.66737,22.41383,31.76966,35.11874,42.37628,42.76634,46.95812,48.8617,,55.7389,,65.86522,61.18699,,,,76.73419,79.83014,77.1796,75.86126,77.64983,78.63893,77.2751,75.96415,73.55683,72.98768,71.86042,77.4178,78.93547,79.44837,78.8274,79.48512,76.33549,81.06836,91.15919,,89.07089,91.97815,93.51452,,
American Samoa,ASM,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,42.52574,,,,,,,,,,,,,,,,,,,,,,,,,,34.30707,,44.15628,,,
Antigua and Barbuda,ATG,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.94142,,,,
Arab World,ARB,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,50.4515953803024,54.8163483469972,55.700307166088294,60.8727542043357,57.304864803545996,61.357318091878795,,,,,,,,,,,,,,,,,,,77.9924181546463,82.73544891448259,82.5208728127636,84.473310403687,85.3097236656743,,,,,,,,,,
Argentina,ARG,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,28.64372,28.68338,,,28.05385,27.21457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4626,96.59733,,,,
Armenia,ARM,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.76016,,,,,,,,98.04582,97.87098,99.51626,99.27443,99.0528,99.07564,98.81099,,98.89482,96.54813,,
Aruba,ABW,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.82188,,96.798,96.30722,95.79193,95.35671,95.24015,94.32203,,97.41092,,,,,
Australia,AUS,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.38796,,,,99.66867,98.40641,99.92976,99.41856,99.48045,99.70543,99.9503,99.89463,98.90612,,,
Azerbaijan,AZE,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4779,97.88999,,52.38579,78.80201,97.5298,97.49711,97.84827,97.94401,97.75817,98.97649,99.01157,98.78897,99.27278,99.30396,98.94078,98.33139,98.46449,98.75913,,
"Bahamas, The",BHS,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.92369,99.30055,99.78784,,98.2866,,,,
Bahrain,BHR,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,67.71434,60.36697,65.59436,63.58284,65.00131,71.67782,84.89079,84.00284,81.54585,82.04952,,91.38022,,82.58835,,,93.26093,94.46999,94.31323,,,,,95.50863,95.51184,94.50182,96.24096,96.8794,97.27364,97.09553,96.28615,,,98.77753,,98.96738,98.87858,,
Bangladesh,BGD,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.75907,,,,,,,,,,,,,,,97.37644,,,,,90.00065,,,
Barbados,BRB,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.81775,99.2037,97.98284,99.45931,98.11552,99.44786,98.65593,98.32467,99.08315,,,,,,
Belarus,BLR,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,96.66667,99.07169,98.61111,,99.57757,99.71453,,99.73692,99.72659,99.78888,99.78571,98.44852,98.6053,98.96266,99.72261,99.51624,,,,99.28571,84.07258,99.16898,92.28808,97.39777,98.19379,98.62107,98.55492,98.49361,99.67748,99.75449,99.43487,99.83411,98.74897,99.56789,99.64802,99.93002,98.69592,99.05777,98.54098,98.4144,98.48459,,
Belgium,BEL,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,57.99462,61.41281,65.50372,64.59327,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.25619,98.39326,98.09752,97.86316,,,,,
Belize,BLZ,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.90231,,,83.01316,79.06592,,,86.18942,85.8104,,,86.97008,89.68757,86.39392,88.16154,90.20059,91.11432,91.57289,90.89791,93.76727,,
Benin,BEN,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,23.51262,24.48487,34.68636,29.87772,29.28323,26.08534,27.04406,33.35517,31.25945,33.8719,60.41331,,30.29395,25.80414,35.91367,27.19031,39.55608,,,35.82979,,,,,,,,,,70.98234,,51.07881,,,71.25189,,,,,67.04255,,,
Bermuda,BMU,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.51778,96.8347,91.25311,98.17471,95.26938,,,,,86.31841,,,
Bhutan,BTN,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,33.33333,62.5889,64.18605,44.28295,,,,,,,,,40.36484,,,,,50.89286,70.4577,,,,87.6176,84.28002,82.47849,,,86.9853,94.13,93.16866,93.97611,94.61384,93.53468,94.29885,95.95903,95.30124,,
Bolivia,BOL,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,90.4933,,,,,,,,,,,,,,,,,79.06936,75.67897,75.91623,81.25971,80.78067,80.76961,77.56254,77.89701,89.60225,88.34018,88.29509,89.76202,89.64194,90.15131,,,90.03813,95.05548,89.14654,89.43359,89.022,,,
Bosnia and Herzegovina,BIH,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.61221,,,,
Botswana,BWA,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,34.46509,32.07377,34.86606,45.35872,48.4648,57.99034,74.40021,78.87759,85.20868,79.73384,88.23768,,,95.73783,96.1579,95.77844,96.59552,97.60254,97.31637,98.82259,98.3188,97.29686,,,,,,,
Brazil,BRA,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,37.18975,46.18529,77.03227,73.75107,76.51783,79.17191,80.4906,81.03679,78.96852,78.73408,77.84099,76.34823,78.48758,,78.08109,77.57857,,78.05657,,,,,85.51106,86.62819,85.9412,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,,,57.33508,,69.77541,70.90655,63.97827,79.57913,86.77729,83.83873,76.68427,79.54548,89.28873,76.41517,,,,,,,77.82209,72.12211,81.89525,78.50139,,,,,,,,90.17261,89.33577,89.83474,93.9206,92.3627,99.44196,99.31927,99.57124,99.81257,99.60396,,
Bulgaria,BGR,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,94.75274,95.93639,96.4742,92.72586,,98.34654,98.91609,94.83835,85.98634,94.92909,97.73287,97.53005,97.40267,89.45072,85.93615,,95.25288,96.17412,96.37377,93.54886,92.40512,92.70245,92.41964,91.43096,94.68484,94.96332,91.94106,95.62441,,97.30702,96.15805,95.7721,95.67192,95.60858,95.65782,94.6903,94.81056,95.49023,97.94017,98.43241,,,
Burkina Faso,BFA,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,12.79209,12.71865,14.79749,16.68856,15.70196,15.50233,16.44252,,16.19643,17.05322,18.78469,19.947,17.15939,19.84195,,26.54497,,31.01299,30.34003,27.37175,28.03691,23.70986,26.03918,26.41316,,,,37.59572,38.43454,36.1639,36.74775,40.19835,44.82324,45.9833,44.44496,45.47682,52.39913,48.91437,53.48287,52.107,50.8451,,
Burundi,BDI,Progression to secondary school (%),SE.SEC.PROG.ZS,,,,,,,,,,,,16.3758,16.7026,,,,,5.76988,7.76677,8.19526,6.17539,6.03581,7.09943,5.69017,6.74769,7.52325,7.65236,8.53174,6.99096,7.34918,5.65671,,9.25792,10.07633,,,,,,,,,,34.28695,32.7786,34.25395,,33.55945,32.06249,35.91289,36.74698,40.56645,,
