Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,18.25992,23.11212,,,23.97496,22.43254,,12.69251,7.3027,9.94939,,6.37904,6.50787,,,,,,,,5.99302,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35664,,,,,6.13195,,4.16733,3.2936,,,,,1.45346,,,2.34919,
Algeria,DZA,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,6.93865,5.66912,6.31717,6.02904,5.29632,5.4201,6.17198,5.69012,6.30845,7.30998,,8.75883,,8.37885,7.63794,,,,13.40218,13.14994,14.35002,15.08016,14.75082,16.21054,16.16766,17.07993,20.74319,,22.66837,27.16333,23.03221,21.26549,24.11189,25.28641,22.73662,,12.82822,,16.06605,21.62983,18.28378,17.76746,
American Samoa,ASM,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.46447,11.42379,7.99556,6.85265,7.4426,7.21092,
Angola,AGO,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.11567,18.60056,,,,
Antigua and Barbuda,ATG,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49102,,,,,,,,0.0,,,,,,,,16.19423,12.57846,8.51932,6.49693,,
Arab World,ARB,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,14.11188582,14.23093087,13.8505761,14.26212078,13.59530541,13.0809343,12.20475121,11.94173082,12.14407252,12.48740998,14.38131288,14.14507778,14.11803055,13.53612153,13.20738382,12.81513802,12.45355588,13.25749464,12.81837897,13.18407661,13.13540919,13.01935815,13.01642533,12.72364859,12.58147962,12.46196925,12.33731258,12.62242066,12.50649023,12.42420074,12.6234585,11.39344278,11.28117039,10.52484307,10.48885796,10.39106056,9.8422314,9.248184701,9.492071337999999,9.496239204,10.3347828,9.985955216,,
Argentina,ARG,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,6.70687,6.95087,,,6.40012,6.14165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33623,9.75704,,,
Armenia,ARM,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46481,,,,,,,,0.27136,0.25179,0.22003,0.24841,0.25574,0.24234,0.08579,0.12323,0.10511,0.10434,0.08993,
Aruba,ABW,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.02463,11.94885,11.11734,12.4123,14.68998,17.52151,14.92986,,11.79997,10.92721,11.12724,,,,
Australia,AUS,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07199,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64302,,
Azerbaijan,AZE,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28277,0.41393,,0.74196,1.03086,,0.77622,0.86421,0.68543,0.56325,0.6396,0.56693,0.55796,0.53513,0.55441,0.66903,0.70447,0.67333,1.76512,1.4568,
"Bahamas, The",BHS,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,1.16549,,,
Bahrain,BHR,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,14.53099,13.26759,11.01261,14.03149,12.63249,20.78175,12.62223,12.57759,10.43276,9.31711,7.3109,9.48594,8.94008,6.5773,,5.35708,,5.6488,,,5.25038,4.97231,5.94858,,,,,,,7.96622,8.1784,6.76681,5.16318,5.80712,6.63602,,,4.53006,4.18441,,3.43792,2.94234,
Bangladesh,BGD,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08376,5.15192,5.14308,5.05008,5.42544,5.56933,8.93576,7.83462,8.44789,8.546,5.87154,4.29634,3.61512,3.18572,,
Barbados,BRB,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,
Belarus,BLR,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,1.3704,0.9398,0.64333,0.51466,0.58229,0.40637,0.4605,0.36691,0.35577,0.34115,0.31153,0.35755,0.36746,0.42337,0.42611,0.46059,,0.42735,0.56333,0.61792,0.96006,1.06182,1.35119,1.14121,1.01984,0.91496,0.75045,,0.45026,0.43407,0.36689,0.31799,0.23524,0.08341,0.06224,0.03894,0.0324,0.01048,0.00693,0.00647,0.01183,0.01228,
Belgium,BEL,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,21.61295,21.69591,20.97804,20.20282,,,,,,,,,,,,,,,,7.12554,6.83721,,,,,,,,,,,,6.86467,7.15395,7.37354,6.97409,7.72718,7.81131,,
Belize,BLZ,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.30799,,,,8.01053,8.05251,7.11024,,6.99739,6.28584,6.70009,,,,5.7655,5.74099,6.22372,5.09637,
Benin,BEN,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,12.35864,12.78921,12.50693,12.10894,13.59564,14.02086,15.65654,12.41394,12.27586,10.82069,9.48358,,20.5659,34.5079,31.48476,31.14399,31.89201,,,31.17419,,,,,,,,,,20.76597,22.45719,21.17209,23.10728,23.1074,,16.78483,,,,,23.42251,,
Bermuda,BMU,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,21.29743,11.03507,15.59006,3.56183,,,,,,,,,,,,,,8.9547,6.60049,,,,11.33959,11.75896,10.28089,9.68575,,,6.59692,,4.07233,,5.19598,4.31707,4.71051,3.37114,3.47197,
Bolivia,BOL,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,1.6003,,,,,,,,,,,,,,,,,4.24458,,,,,,,,,2.84158,4.15515,3.57892,3.52643,3.37563,3.37559,,2.7594,3.4779,1.84657,5.94116,5.92219,,,
Bosnia and Herzegovina,BIH,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44629,0.42338,0.34686,0.35419,0.39347,
Botswana,BWA,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.17183,1.04821,0.21841,0.15611,0.16414,0.56423,0.43432,0.28864,0.60102,0.66794,3.04869,,,0.54354,0.51081,0.51609,0.51894,0.76865,0.58487,0.58802,0.53625,0.47503,0.49102,,,,,,
Brazil,BRA,"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS,,,,,,,,,,,14.14615,11.89284,10.20288,9.00275,8.58344,8.99031,9.58918,10.00588,12.72526,12.8481,13.77962,14.69988,15.60387,,,,,,,,,,14.09704,14.72091,15.26565,,,,,,,,,,,,,,,,,,,
