Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,0.75747,0.91247,0.94307,1.08932,1.0201,1.07415,1.21528,1.34963,1.73548,1.86999,,,1.73378,,,,2.20878,1.75979,,,2.29743,,,,,,,,,,,,,1.27942,1.29312,,,,,3.9114,,3.74394,,
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,13.91802,14.67738,,,,,,5.54796,,,5.0959,,5.89267,6.50102,6.91294,7.03948,7.07632,7.41614,7.75277,7.88863,8.24736,8.48633,10.06516,9.49232,9.09173,9.79477,11.30863,12.03396,13.08853,13.76232,14.01383,14.73868,15.81263,20.00498,24.52325,28.78627,31.79338,32.32131,33.1062,43.56153,47.74272,54.8536,
Algeria,DZA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10731,8.89758,,10.2256,10.91436,11.01804,10.85202,10.34419,10.05066,11.34196,,,13.60327,,15.24848,16.74901,17.744,18.18056,19.76258,20.21485,22.28536,,28.59671,28.75825,30.27547,31.46411,
American Samoa,ASM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60693,0.59082,0.6181,0.62555,0.58608,,,,,,0.65358,0.59571,,,0.86361,3.19307,2.39667,2.96268,2.89827,,,,,7.49504,,
Antigua and Barbuda,ATG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81005,16.23196,14.36836,,
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,5.03147,5.04174,5.37971,5.79898,6.27347,6.89562,7.60692,8.3023,8.76899,8.79785,9.14539,9.74962,10.18913,10.4015,10.7059,10.6956,10.99433,11.03385,11.03415,10.71561,10.74804,10.4542,11.12137,11.98466,12.61596,13.46342,14.46282,15.40694,16.25638,17.68299,17.81379,18.30032,18.95886,18.97158,19.83722,20.52098,20.70394,21.15786,21.69395,22.45996,22.92036,22.64206,,
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,13.39736,15.34446,16.39728,19.41104,22.43832,26.58357,26.73917,23.87453,21.29415,22.2412,21.83735,23.25911,24.01451,25.03296,28.88558,35.71831,37.61378,39.41441,,,,38.38254,,,36.85111,,,,46.01428,47.88292,53.0705,58.27672,62.22986,64.86005,65.35837,63.98481,67.09057,66.72804,68.6869,71.25094,74.82966,,,
Armenia,ARM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5669,,18.79902,20.45327,23.24662,25.42109,25.40696,23.06499,19.11834,19.01829,16.8175,22.47459,33.10497,34.6209,34.85656,32.81435,35.23941,36.20652,36.80103,38.36914,41.76502,44.32213,46.58058,49.11955,50.62447,51.00142,46.04359,
