Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,13.43566,13.6506,12.10616,8.38664,6.11593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06002,10.96922,11.76994,11.11585,9.61109,9.61905,10.07613,10.47466,9.88692,10.5736,10.70316,11.35797,10.7617,11.07206,,,,,,
Algeria,DZA,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,24.94491,21.06337,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.26787,,,,,
American Samoa,ASM,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.18804,,,,,,,,,,,,,,,,
Angola,AGO,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,10.36776,11.83676,13.09957,,,,,,,,,,,6.35088,6.35088,,,,,,,4.41192,,,,8.52119,,,
Antigua and Barbuda,ATG,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79838,,,,
Arab World,ARB,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.41374,,15.99728,,,,,
Argentina,ARG,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,8.87424,,12.5,10.0,9.58276,9.49386,,10.53103,10.76748,14.96959,14.81394,,14.35266,11.3565,,8.3894,7.29966,8.61019,,7.76457,10.90586,,,,,,12.59324,,,13.28525,13.72046,13.52674,13.7507,12.02164,13.06112,,13.96679,13.53539,14.02418,13.95197,,,,
Armenia,ARM,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47758,,,9.52755,12.82994,11.88208,9.70286,9.55778,12.05877,12.45304,12.7054,12.73169,13.64736,12.73387,11.52024,11.71908,,
Aruba,ABW,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.49813,13.84126,16.0157,17.15589,15.5937,,13.79892,15.43036,,17.30738,19.49852,20.54394,21.76662,20.953,,
Australia,AUS,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,16.16272,15.95986,15.02218,,14.12955,13.41486,,12.713,12.25203,12.03964,11.95254,12.19584,12.17098,14.75521,13.4708,14.17993,13.24846,12.92006,13.52965,,,,14.34603,,,,,14.63693,14.33156,14.27997,13.45566,,,,,
Austria,AUT,"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,7.66703,7.90058,8.16077,8.10088,7.97247,8.12275,8.10921,7.91882,7.77446,,7.65842,7.9332,7.82258,7.69589,7.74697,7.59811,7.75058,7.50573,7.34278,7.27434,7.32113,7.33,7.42873,,,10.60075,10.37164,,,12.35507,10.98642,11.21349,11.22809,10.80945,10.22136,10.93193,11.00517,11.05724,11.21132,11.35499,11.22049,,,
