Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,1.16036,1.11718,1.42788,,1.30332,,,,1.73981,1.84093,1.90917,1.72998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26519,3.76471,3.27428,3.47532,3.30127,3.36038,3.23823,3.31589,3.04681,3.11557,3.10656,3.15439,3.10882,3.26756,,,,,,
Algeria,DZA,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,7.18201,6.59742,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3373,,,,,
American Samoa,ASM,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71328,,,,,,,,,,,,,,,,
Angola,AGO,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,4.54063,6.36756,5.53863,,,,,,,,,,,2.59149,2.59149,2.60753,,,,,2.7762,2.85969,,,,3.47644,,,
Antigua and Barbuda,ATG,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23707,,,3.42841,,,,,,,2.55447,,,,
Arab World,ARB,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59592,,,5.37148,,4.00178,,4.3373,,,,,
Argentina,ARG,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,1.45809,,1.9362,1.78052,1.92352,1.8436,1.16564,1.71984,1.93555,2.40028,2.60715,,1.59787,1.6175,2.56972,1.36186,1.26155,1.2823,,1.04612,1.06738,,,,,,3.73198,,4.03987,4.52168,4.5976,4.83374,4.01734,3.53505,3.77837,,4.51593,4.92687,5.3927,6.02585,5.78195,,,
Armenia,ARM,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84843,,,2.23519,2.77273,2.46944,2.13504,2.14504,2.48673,2.71203,2.71577,3.01894,3.17273,3.84079,3.249,3.1451,,
Aruba,ABW,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76316,4.39554,4.71468,4.73949,4.92427,,4.4089,4.68076,,4.79918,4.91559,5.92467,6.71249,6.03687,,
Australia,AUS,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,6.00997,5.89862,5.65412,,5.47263,5.36785,,5.39602,5.26982,5.07155,4.92165,4.7394,4.66912,4.78502,4.68027,5.50451,5.24177,5.11131,5.22136,,,,4.88498,,,,,4.91778,4.75718,4.67504,4.64562,5.10955,5.58827,,,
Austria,AUT,"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,4.19021,4.32681,4.49635,4.56234,4.70428,5.18119,5.29204,5.00544,5.21336,5.09046,5.06097,5.42354,5.41866,5.35884,5.34943,5.3522,5.55705,5.43192,5.24462,5.07027,5.00871,5.15619,5.35197,5.30652,,5.4847,5.3176,,6.2448,6.25296,5.72641,5.74009,5.67754,5.52547,5.47503,5.43841,5.40388,5.33394,5.46908,5.97703,5.88956,,,
