Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24343993806584,,5.6859644125580004,4.87062403039999,,,,,,,,,
American Samoa,ASM,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0597876979313,,,,,,,,,,,,
Arab World,ARB,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.607871536957397,26.7506251660637,27.3994542091354,27.1669431893685,25.7655528703582,28.9498726724397,35.606395229517396,32.863338679268395,23.12020147812,,,,,,,
Armenia,ARM,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.939560347982603,,,,,,,21.5077608369125,,,,,
Aruba,ABW,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7709495346442,,,33.3741130035258,,,35.85858445024179,,,,,,,40.2502265935374,,,,,,
Australia,AUS,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5130463285338,31.3640237627967,31.307531586131702,32.925880657682804,32.1360249819556,32.4296501405097,33.0296906390562,34.0801089783606,35.04590479293461,35.1202461910471,35.3423131516849,36.7210807447411,,,,,
Austria,AUT,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.397631040567997,25.7082153127571,28.237476242716497,28.780313375482603,27.929751855300697,30.0987394796447,30.0549982825841,29.2389375129632,27.390710482184,27.1253460378493,27.2187275343397,28.5612042931265,26.727144746275503,28.3025551210196,27.215888805121697,28.7878787024413,,,
Azerbaijan,AZE,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1271762414721,47.5308607816879,47.6588634842948,15.875912281731301,5.19230778400715,7.1278826855052495,,,,,
"Bahamas, The",BHS,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3773582970472,32.4574505770883,33.9885447354808,34.7513091333478,30.300753022663496,30.1675989410485,31.0369311735681,31.131498677863302,33.9774568376609,,39.9364425900178,40.4340545849412,40.3733974487375,42.8004774046137,45.78926465324471,41.38641273925639,43.24243562198029,46.3430229204097,44.4137934980721,,51.641459552952995,,
Bahrain,BHR,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3185968016022,,,10.588234539852301,,,,,,,,,
Bangladesh,BGD,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.389437028438802,,,,,,,,,,
Barbados,BRB,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.421052549024,38.709680148391705,39.772726410676604,37.0370352927768,38.4615384615385,45.588232612939905,35.051548064154204,41.284405114564294,42.156865403359795,44.897959282973204,43.44262519340239,,,,,,46.1883432427083,46.666665724766105,,
Belarus,BLR,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0965666904881,30.329432406262498,31.5112553481246,29.0022076052739,30.157120668868604,30.887210398040498,31.6239325626055,32.0644556603549,32.8872307834662,31.8013008082625,29.900484869998003,29.8815937678704,31.8125772934797,31.475411086786,33.854793619218896,32.6689944549179,33.986404608410396,34.0940403725414,,,
Belize,BLZ,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1605939962533,37.4880150664079,30.1383397905818,33.4626567145375,26.293332417806,29.009192290453896,31.219330046127,,,,,,41.2613005270259,,,,,,,,
Benin,BEN,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0387642746198,,,,,,,,,,,,,
Bhutan,BTN,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3595040622598,12.000000476837199,,,11.223771437527402,49.2307699643649,26.6666677263048,,
Bolivia,BOL,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6598672218122,22.0300490479598,28.2860705243437,24.3354094063026,25.3523111657631,,28.200862565606197,38.5881053478051,17.5685854458727,19.568066417066603,,30.693600485406606,31.964313035265302,27.6837910254646,28.9572454422413,,,,,,
Bosnia and Herzegovina,BIH,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5192509544898,,35.4311407463356,30.8536597160254,,32.9766458926121,,,30.469473991978198,,,,,,,
Brazil,BRA,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2191831771903,,32.598372344345,33.8556295022918,33.8985831663844,35.4339538013007,35.1824509597131,36.0784291189033,,,,,,
Brunei Darussalam,BRN,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.662152976317,,,,,,,,,,,,
Bulgaria,BGR,"Female legislators, senior officials and managers (% of total)",SG.GEN.LSOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8039219960445,32.6514241995333,33.5227292020788,31.3107922117555,34.4131469726563,33.965166028838304,31.6051842456887,31.3926420511906,32.291667602488396,32.1412617374843,34.056008854784395,,,
