Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.4,,,,,,,,,,130.4,,,,,,,,,,100.4,,95.2,
Albania,ALB,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,,,,,,,,26.0,,,,,,,,,,16.3,,15.2,
Algeria,DZA,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,30.9,,,,,,,,,,19.0,,17.8,
American Samoa,ASM,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,4.6,,,,,,,,,,3.1,,2.9,
Angola,AGO,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5,,,,,,,,,,193.4,,,,,,,,,,164.5,,155.6,
Antigua and Barbuda,ATG,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,,,,,,,,13.9,,,,,,,,,,9.4,,8.8,
Arab World,ARB,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4087207343661,,,,,,,,,,56.4354585513062,,,,,,,,,,39.763367731227,,37.4316153826178,
Argentina,ARG,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,18.0,,,,,,,,,,13.3,,12.7,
Armenia,ARM,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,,,,26.7,,,,,,,,,,16.1,,14.5,
Aruba,ABW,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,5.5,,,,,,,,,,4.4,,4.3,
Austria,AUT,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,4.9,,,,,,,,,,3.7,,3.6,
Azerbaijan,AZE,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,,,,,,,,,,66.5,,,,,,,,,,35.3,,32.2,
"Bahamas, The",BHS,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,,,15.9,,,,,,,,,,16.2,,15.5,
Bahrain,BHR,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,,,,,,,,,,12.2,,,,,,,,,,9.7,,9.2,
Bangladesh,BGD,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.7,,,,,,,,,,84.7,,,,,,,,,,44.2,,37.9,
Barbados,BRB,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,16.1,,,,,,,,,,17.5,,16.7,
Belarus,BLR,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,12.2,,,,,,,,,,5.3,,4.5,
Belgium,BEL,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,5.1,,,,,,,,,,3.9,,3.7,
Belize,BLZ,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,,,,,,,,22.2,,,,,,,,,,17.1,,16.3,
Benin,BEN,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.4,,,,,,,,,,142.0,,,,,,,,,,91.7,,85.1,
Bermuda,BMU,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.5,,,,,,,,,,75.3,,,,,,,,,,43.7,,40.4,
Bolivia,BOL,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9,,,,,,,,,,73.3,,,,,,,,,,40.8,,37.5,
Bosnia and Herzegovina,BIH,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,,,,,,8.9,,,,,,,,,,6.6,,5.9,
Botswana,BWA,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,,,,,,,,,80.8,,,,,,,,,,53.1,,48.7,
Brazil,BRA,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,29.0,,,,,,,,,,14.2,,12.6,
Brunei Darussalam,BRN,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,8.6,,,,,,,,,,7.4,,7.2,
Bulgaria,BGR,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,18.7,,,,,,,,,,11.6,,10.8,
Burkina Faso,BFA,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.4,,,,,,,,,,179.2,,,,,,,,,,109.2,,97.1,
Burundi,BDI,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9,,,,,,,,,,140.7,,,,,,,,,,104.7,,97.5,
Cambodia,KHM,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5,,,,,,,,,,102.5,,,,,,,,,,38.8,,35.0,
Cameroon,CMR,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.9,,,,,,,,,,141.9,,,,,,,,,,96.0,,88.6,
Canada,CAN,"Mortality rate, under-5, female (per 1,000)",SH.DYN.MORT.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,5.6,,,,,,,,,,5.1,,4.8,
