Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.443067051,16.885646814,16.361745890999998,19.987264462,21.444675012,28.830170771,30.111132915,37.362275188000005,52.163171521,50.466139881000004,,
Albania,ALB,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.05113115,145.85928697,156.104951,183.78279268,225.23114428,266.36991094,279.05541619,303.08323365,325.84426115,359.14284506,371.33392629,401.3969468,438.90764077,489.61981297,542.02638233,514.81558074,565.19843401,,
Algeria,DZA,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.41005101,180.52746865,196.29312164,206.3123753,179.99789127,188.23549213,212.41781242,225.40057162,234.98905329,227.23939666,221.50287926,232.72033675,272.87528861,299.06935274,372.42115515,364.27514093,373.61319615,,
American Samoa,ASM,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470.566895,1597.8499338,1787.2865514,2320.8698864,1825.0729934,1967.3976831,1953.9484947,2152.6171561,2225.2553903,2326.725713,2476.4117675,2851.8352405,3022.2315987,2943.1609194,2801.3879698,3122.1161756,3073.260137,,
Angola,AGO,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.98303482899999,66.157590316,95.15515691899999,105.05600858,122.13177086,63.29298748,109.39708561,94.201016815,105.33075762,122.68899271,129.05185582,184.09400593,167.87702967,215.65019965,328.1097476,194.04611274,214.57661715,,
Antigua and Barbuda,ATG,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.86680988,593.40208086,622.91398382,642.58456056,667.81778879,571.67127964,636.7826315,652.13848287,700.84650768,718.31080305,806.72040843,907.54989754,841.98895807,863.76429126,888.39564187,981.07642148,957.34964132,,
Arab World,ARB,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.03285524623402,186.239316591836,187.388317137183,206.147499717687,210.41962818068401,222.082043541806,244.681308546842,255.60097475996102,266.97422321417497,272.37098864531,270.212225243678,290.638703956998,311.669179011918,315.221179453454,417.36899374450303,397.27733642553596,430.145314482613,,
Argentina,ARG,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.67277846,664.43706531,753.72900559,800.904112,850.91863644,840.3818151,827.76574606,658.39304506,716.5140185,793.35710582,902.38676849,992.60426753,1094.2674244,1194.0093029,1370.0670173,1321.0523489,1433.6996408,,
Armenia,ARM,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.50190272299999,88.324248164,93.820191776,102.64902156,106.75979176,127.71595047,136.29212681,142.65003618,170.90410401,191.40801763,199.10328696,199.67818419,216.93036377,229.68958594,242.48667631,240.08931246,249.54427979,,
Aruba,ABW,"Health expenditure per capita, PPP (constant 2005 international $)",SH.XPD.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
