Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5999999046325697,1.79999995231628,1.5,1.60000002384186,,,
Algeria,DZA,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,5.900000095367429,5.0,,,,,,,3.4000000953674303,,
American Samoa,ASM,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2000000476837203,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,3.5999999046325697,,,,,,,,,,,,
Arab World,ARB,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.400000095367429,4.90000009536743,5.5,5.800000190734861,4.800000190734861,5.199999809265139,4.699999809265139,4.59999990463257,4.59999990463257,4.5,4.800000190734861,4.40000009536743,3.79999995231628,3.79999995231628,4.099999904632569,4.099999904632569,4.099999904632569,4.5,4.59999990463257,4.5,4.5,4.5,4.0,
Armenia,ARM,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.400000005960464,0.5,0.5,0.6000000238418579,,
Aruba,ABW,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79999995231628,,,9.39999961853027,,,2.5999999046325697,,,5.900000095367429,,,,,,,4.5,,,,,,
Australia,AUS,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.800000190734861,5.09999990463257,4.699999809265139,4.800000190734861,4.59999990463257,4.5,4.5,4.5,4.40000009536743,4.19999980926514,4.19999980926514,4.099999904632569,4.0,3.70000004768372,3.5999999046325697,3.4000000953674303,3.20000004768372,3.20000004768372,3.0999999046325697,3.0,2.70000004768372,2.79999995231628,,,,,
Austria,AUT,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.800000190734861,4.90000009536743,4.90000009536743,5.09999990463257,4.90000009536743,5.0,4.90000009536743,5.199999809265139,5.09999990463257,4.5,4.699999809265139,5.0,5.199999809265139,4.800000190734861,4.699999809265139,4.800000190734861,4.90000009536743,4.699999809265139,
Azerbaijan,AZE,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40000009536743,4.30000019073486,3.29999995231628,2.2000000476837203,5.0,3.0,,,,,
"Bahamas, The",BHS,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.89999997615814,2.2999999523162797,1.89999997615814,1.89999997615814,1.79999995231628,1.79999995231628,1.79999995231628,1.79999995231628,,,
Bangladesh,BGD,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30000001192092896,,,,0.200000002980232,,,0.400000005960464,,0.30000001192092896,,,,,,,,
Barbados,BRB,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8999999761581421,0.8999999761581421,0.6000000238418579,0.8999999761581421,0.699999988079071,0.5,0.30000001192092896,0.30000001192092896,0.6000000238418579,0.30000001192092896,0.200000002980232,0.6000000238418579,0.400000005960464,0.800000011920928,1.20000004768372,,,,,,,,,
Belarus,BLR,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1000000238418601,,,,
Belgium,BEL,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,1.79999995231628,1.70000004768372,1.70000004768372,1.79999995231628,1.5,1.39999997615814,1.5,1.70000004768372,1.39999997615814,1.60000002384186,2.09999990463257,1.60000002384186,1.89999997615814,1.79999995231628,1.39999997615814,1.79999995231628,4.5,4.5,4.5,4.0,4.099999904632569,4.5,4.59999990463257,4.699999809265139,4.5,4.19999980926514,4.5,4.5,4.099999904632569,4.099999904632569,
Belize,BLZ,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.099999904632571,7.400000095367429,,,,,,,,,7.099999904632571,,,,,,,,
Benin,BEN,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200000002980232,,,0.200000002980232,0.100000001490116,0.200000002980232,19.5,
Bolivia,BOL,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2000000476837203,3.5,4.30000019073486,5.599999904632571,6.300000190734861,7.599999904632571,7.800000190734861,8.199999809265138,7.099999904632571,,2.9000000953674303,1.89999997615814,2.2000000476837203,4.40000009536743,4.800000190734861,4.800000190734861,5.300000190734861,4.40000009536743,5.400000095367429,5.699999809265139,4.800000190734861,,,,
Bosnia and Herzegovina,BIH,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,0.6000000238418579,,,,,,,,,,1.70000004768372,,,,,,,,,,,,3.70000004768372,,,,,,,
Brazil,BRA,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.800000190734861,,3.9000000953674303,3.79999995231628,,4.099999904632569,3.79999995231628,,,,2.9000000953674303,4.19999980926514,4.19999980926514,4.19999980926514,4.099999904632569,4.19999980926514,4.5,3.79999995231628,4.5,4.30000019073486,,,,
Brunei Darussalam,BRN,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2999999523162797,3.5999999046325697,3.4000000953674303,3.5999999046325697,3.79999995231628,3.79999995231628,3.9000000953674303,4.099999904632569,3.70000004768372,3.5,3.79999995231628,3.5999999046325697,3.5999999046325697,
Burkina Faso,BFA,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.30000001192092896,,,,,,,,,,,,0.800000011920928,,,,,,,
Burundi,BDI,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000001490116,,,,,,,,,
Cambodia,KHM,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200000002980232,0.100000001490116,,,0.200000002980232,,,,0.100000001490116,0.30000001192092896,0.200000002980232,0.0,0.0,
Cameroon,CMR,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,1.60000002384186,,,,4.19999980926514,,,,,3.29999995231628,,,
Canada,CAN,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,
Caribbean small states,CSS,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2339301531636,2.5097866989428197,2.9255724487435697,2.79243577761538,3.1646929555769105,2.8477975993137203,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70000004768372,5.199999809265139,,,,,
Central African Republic,CAF,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200000002980232,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.79999995231628,3.5,3.4000000953674303,3.20000004768372,3.20000004768372,3.0999999046325697,3.20000004768372,3.0,3.29999995231628,3.0,3.0,2.9000000953674303,2.9000000953674303,3.0999999046325697,2.9000000953674303,2.9000000953674303,3.0999999046325697,2.9000000953674303,,,,,
China,CHN,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9000000953674303,3.79999995231628,4.800000190734861,4.19999980926514,4.5,4.59999990463257,4.0,4.40000009536743,4.30000019073486,4.800000190734861,5.199999809265139,5.0,5.400000095367429,5.300000190734861,5.5,4.5,4.40000009536743,5.09999990463257,5.0,4.800000190734861,4.800000190734861,
Comoros,COM,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",ZAR,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1000000238418601,,,,,,,,
Costa Rica,CRI,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,4.30000019073486,3.29999995231628,3.4000000953674303,3.0,2.79999995231628,3.20000004768372,3.0999999046325697,3.9000000953674303,4.90000009536743,4.0,5.300000190734861,4.90000009536743,4.800000190734861,4.90000009536743,6.699999809265139,6.099999904632571,7.0,7.400000095367429,7.900000095367429,8.10000038146973,5.699999809265139,7.900000095367429,7.900000095367429,8.60000038146973,8.10000038146973,7.5,7.699999809265139,7.199999809265139,7.5,7.199999809265139,3.5,3.79999995231628,3.70000004768372,
Cote d'Ivoire,CIV,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Croatia,HRV,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09999990463257,4.90000009536743,5.300000190734861,5.09999990463257,5.09999990463257,5.0,5.5,5.0,4.90000009536743,5.0,5.09999990463257,5.400000095367429,5.300000190734861,5.0,4.699999809265139,4.699999809265139,4.699999809265139,
Cuba,CUB,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
