Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7999992370605,21.3999996185303,20.2000007629395,21.0,20.5,19.2000007629395,21.5,21.3999996185303,28.399999618530302,28.5,27.600000381469698,27.7999992370605,28.399999618530302,33.7000007629395,38.0999984741211,36.9000015258789,37.7000007629395,,,
Algeria,DZA,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7000007629395,,54.9000015258789,53.0999984741211,,,,56.5999984741211,56.0999984741211,55.2000007629395,58.4000015258789,,
American Samoa,ASM,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7000007629395,,,,,,,,,,51.9000015258789,,,,,,,,,,,,,
Andorra,ADO,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.599998474121,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,81.599998474121,81.599998474121,81.599998474121,81.599998474121,81.599998474121,81.599998474121,81.599998474121,,,,,
Arab World,ARB,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2402790545614,,,,,
Argentina,ARG,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,59.5,58.5,56.5999984741211,,,,,,67.599998474121,66.1999969482422,66.8000030517578,69.40000152587889,70.599998474121,72.0,73.9000015258789,73.1999969482422,74.0,75.3000030517578,76.1999969482422,76.9000015258789,78.5,76.3000030517578,75.5,75.099998474121,75.099998474121,74.5,74.3000030517578,75.1999969482422,75.0,74.4000015258789,75.3000030517578,
Armenia,ARM,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7999992370605,37.5,37.0999984741211,37.7999992370605,38.2000007629395,38.9000015258789,42.5,43.5,44.0,44.4000015258789,,
Aruba,ABW,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1999969482422,,,82.9000015258789,,,82.3000030517578,,,,,,,78.9000015258789,,,,,,
Australia,AUS,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,62.4000015258789,62.7000007629395,63.7000007629395,64.8000030517578,65.5,66.5,66.90000152587889,67.599998474121,67.90000152587889,68.1999969482422,69.3000030517578,70.6999969482422,71.099998474121,71.099998474121,71.3000030517578,72.1999969482422,72.5,72.6999969482422,73.3000030517578,73.6999969482422,73.3000030517578,74.1999969482422,74.5,75.0,74.9000015258789,75.099998474121,75.099998474121,75.3000030517578,75.099998474121,75.5,,,,
Austria,AUT,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,51.2000007629395,52.2000007629395,52.5999984741211,53.2000007629395,53.4000015258789,54.0,54.7000007629395,54.9000015258789,55.2000007629395,56.7999992370605,57.5,60.2999992370605,60.5999984741211,61.7000007629395,63.2000007629395,63.2999992370605,63.5,64.0,64.6999969482422,65.0,65.099998474121,67.3000030517578,66.90000152587889,66.3000030517578,67.0,68.40000152587889,69.8000030517578,69.90000152587889,68.6999969482422,68.90000152587889,
Azerbaijan,AZE,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,33.5,33.5,33.7000007629395,33.7000007629395,33.2000007629395,34.0,35.4000015258789,31.100000381469698,32.2000007629395,31.100000381469698,34.0,35.4000015258789,35.7999992370605,37.7000007629395,42.2999992370605,46.5999984741211,46.5,48.0999984741211,49.2000007629395,48.2999992370605,48.4000015258789,48.5999984741211,48.5999984741211,48.2999992370605,48.5,48.9000015258789,49.2000007629395,48.0999984741211,48.0,48.0,
"Bahamas, The",BHS,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4000015258789,,,79.599998474121,,78.599998474121,79.3000030517578,81.599998474121,81.3000030517578,81.1999969482422,79.8000030517578,81.1999969482422,80.9000015258789,78.9000015258789,,78.4000015258789,79.1999969482422,80.9000015258789,79.4000015258789,78.4000015258789,79.5,79.599998474121,80.5,80.8000030517578,,83.0,,
Bahrain,BHR,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,61.0999984741211,61.5,,,,,,,,,68.90000152587889,,,,,,,,,,68.599998474121,,,84.1999969482422,,,,,,62.4000015258789,,,
Bangladesh,BGD,Employment in services (% of total employment),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,24.2000007629395,26.0,26.5,,,14.8000001907349,,16.2000007629395,,,,,25.0,,,,23.5,,,34.5999984741211,,37.4000015258789,,,,,,,,
