Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5999984741211,63.7000007629395,63.7000007629395,63.7000007629395,63.7999992370605,63.7999992370605,63.7999992370605,63.7999992370605,63.7999992370605,63.9000015258789,62.0,62.0,62.0999984741211,62.0999984741211,62.0999984741211,62.0999984741211,62.0,61.7999992370605,61.7000007629395,61.5,61.2999992370605,61.2000007629395,61.0,
Albania,ALB,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5999984741211,65.3000030517578,65.599998474121,65.099998474121,64.5,63.4000015258789,62.2999992370605,63.2999992370605,61.9000015258789,60.5999984741211,59.4000015258789,58.0999984741211,57.4000015258789,54.0999984741211,50.9000015258789,48.0,45.4000015258789,43.2000007629395,41.2000007629395,39.4000015258789,40.2999992370605,40.9000015258789,41.4000015258789,
Algeria,DZA,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7999992370605,56.5999984741211,58.2999992370605,60.0999984741211,61.7000007629395,63.2999992370605,64.8000030517578,63.2999992370605,61.7000007629395,60.2000007629395,58.7999992370605,57.5,56.2999992370605,55.0999984741211,54.0,52.9000015258789,51.7999992370605,50.5999984741211,49.5,48.4000015258789,47.0999984741211,47.2000007629395,47.2999992370605,
American Samoa,ASM,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,55.4000015258789,55.0999984741211,54.2999992370605,54.2999992370605,54.4000015258789,54.5999984741211,54.7000007629395,54.7999992370605,54.9000015258789,54.9000015258789,54.9000015258789,55.2000007629395,55.2000007629395,55.2999992370605,55.5999984741211,55.9000015258789,56.0999984741211,56.2999992370605,56.2000007629395,56.0999984741211,56.0,55.9000015258789,
Antigua and Barbuda,ATG,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.804320157607094,50.573282375567,51.497159675667106,51.671071165162,51.3505228863625,51.1315608169539,50.2072093355449,49.4636802322467,48.7414537561767,49.5343464063408,48.360269889194,47.097081444185,46.959547217139594,47.5636073862216,48.0364824451581,48.593240468608705,46.8644294715272,46.534709502761494,46.690617987568,45.8593044126361,45.437103069359296,45.126623479882795,45.842225472788805,
Argentina,ARG,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1999969482422,66.599998474121,65.0,63.9000015258789,62.9000015258789,63.0999984741211,61.0999984741211,59.2000007629395,57.4000015258789,55.5999984741211,53.7000007629395,52.5,51.0999984741211,49.5999984741211,56.0999984741211,56.0,55.7999992370605,54.2999992370605,52.7999992370605,51.4000015258789,51.2000007629395,51.0,50.7999992370605,
Armenia,ARM,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0999984741211,63.7000007629395,64.40000152587889,63.9000015258789,64.099998474121,64.099998474121,63.9000015258789,63.7000007629395,63.2999992370605,63.0999984741211,62.7999992370605,62.4000015258789,58.2000007629395,54.2000007629395,50.5,47.2000007629395,44.2999992370605,41.7999992370605,39.7000007629395,38.0,42.0999984741211,42.7000007629395,43.2000007629395,
Aruba,ABW,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4000015258789,72.599998474121,72.3000030517578,71.6999969482422,72.8000030517578,73.9000015258789,74.099998474121,73.0,72.3000030517578,72.4000015258789,72.3000030517578,72.4000015258789,71.6999969482422,71.4000015258789,71.1999969482422,72.099998474121,72.1999969482422,72.099998474121,72.1999969482422,70.8000030517578,69.90000152587889,69.099998474121,68.3000030517578,
Austria,AUT,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.40000152587889,66.599998474121,66.8000030517578,64.90000152587889,65.40000152587889,64.40000152587889,63.2999992370605,62.2000007629395,60.5,61.2000007629395,60.4000015258789,59.4000015258789,59.7999992370605,60.2000007629395,61.7000007629395,63.7000007629395,64.099998474121,65.099998474121,64.6999969482422,64.0,63.5,64.6999969482422,64.3000030517578,
Azerbaijan,AZE,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,47.2999992370605,50.4000015258789,52.2999992370605,52.7000007629395,52.2999992370605,52.0,51.5999984741211,51.0999984741211,50.5999984741211,48.4000015258789,46.5,44.7999992370605,43.2999992370605,41.7999992370605,40.2999992370605,38.9000015258789,37.4000015258789,36.0999984741211,32.7999992370605,25.2000007629395,26.100000381469698,26.899999618530302,
"Bahamas, The",BHS,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7999992370605,63.7999992370605,64.90000152587889,65.90000152587889,66.6999969482422,65.3000030517578,63.2000007629395,60.4000015258789,56.9000015258789,56.5999984741211,56.5,56.5999984741211,56.9000015258789,57.2999992370605,57.7999992370605,58.2000007629395,58.5999984741211,58.7999992370605,59.0999984741211,59.4000015258789,59.7999992370605,60.2000007629395,60.5999984741211,
Bahrain,BHR,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2000007629395,60.0,59.7999992370605,59.7000007629395,59.4000015258789,59.0,58.2999992370605,57.4000015258789,56.7000007629395,56.2999992370605,56.5,57.0999984741211,56.4000015258789,55.4000015258789,54.0999984741211,54.5,54.7999992370605,55.2000007629395,55.4000015258789,55.4000015258789,55.2000007629395,54.9000015258789,54.2999992370605,
Bangladesh,BGD,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3000030517578,78.8000030517578,78.099998474121,77.4000015258789,76.6999969482422,75.9000015258789,75.1999969482422,74.5,73.8000030517578,73.099998474121,72.4000015258789,71.9000015258789,71.4000015258789,70.9000015258789,70.4000015258789,69.90000152587889,69.40000152587889,68.8000030517578,68.3000030517578,67.8000030517578,67.3000030517578,67.0,66.6999969482422,
Barbados,BRB,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1999969482422,61.2000007629395,65.5,66.5,67.5,67.3000030517578,64.599998474121,64.6999969482422,64.90000152587889,64.6999969482422,63.9000015258789,62.5999984741211,62.5,58.7000007629395,61.4000015258789,60.7999992370605,60.0999984741211,59.4000015258789,59.4000015258789,60.4000015258789,60.5999984741211,60.7000007629395,60.9000015258789,
Belarus,BLR,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9000015258789,52.2000007629395,51.9000015258789,51.7000007629395,51.4000015258789,51.0999984741211,50.5,49.9000015258789,49.2000007629395,48.5999984741211,47.4000015258789,46.2999992370605,45.4000015258789,44.5,43.7999992370605,43.2000007629395,42.7000007629395,42.4000015258789,42.0999984741211,41.7000007629395,42.5999984741211,43.2999992370605,43.7999992370605,
Belgium,BEL,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7000007629395,38.0,36.7999992370605,36.0,36.9000015258789,35.7000007629395,35.5999984741211,35.0,36.2000007629395,35.9000015258789,38.7999992370605,36.9000015258789,38.4000015258789,37.7999992370605,37.2000007629395,37.5,37.5999984741211,36.4000015258789,36.0999984741211,34.7999992370605,34.9000015258789,33.7000007629395,34.5999984741211,
Belize,BLZ,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.599998474121,68.099998474121,66.40000152587889,65.6999969482422,66.0,71.5,76.8000030517578,75.1999969482422,73.6999969482422,72.1999969482422,70.6999969482422,69.3000030517578,68.0,66.6999969482422,65.40000152587889,64.099998474121,64.0,64.5,64.5,65.1999969482422,65.1999969482422,65.0,64.8000030517578,
Benin,BEN,"Labor force participation rate, male (% of male population ages 15-24)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8000030517578,79.599998474121,79.4000015258789,77.6999969482422,75.8000030517578,73.9000015258789,71.8000030517578,69.6999969482422,67.5,65.1999969482422,62.7999992370605,60.4000015258789,58.0,57.7999992370605,57.7000007629395,57.5,57.2999992370605,57.0999984741211,56.9000015258789,56.7000007629395,56.5,56.2999992370605,56.2000007629395,
