Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0417686848227,18.7960686780463,18.4501838092805,18.2041815930964,18.0811798984887,17.8351776823045,17.589175466120402,17.3431732499361,17.0971698607209,16.9533168698376,16.6047089532414,16.6047089532414,16.728625167927,16.8525413826127,16.9764564155458,17.2242876631646,17.4937973305259,17.888198283888602,18.283581505323102,18.6799494768782,19.225967430580898,19.524405611453,19.6988712803349,
Albania,ALB,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2182100888176,71.9787497560722,71.9787497560722,71.7131445039688,71.40957838056771,71.02803695478991,70.6434341030466,70.7219242882581,70.524898214845,70.0947201184032,70.027248579493,69.95884627230829,70.068964464911,69.9859738991255,70.1428549630301,70.10159385688691,70.0589938967097,69.9101775889973,69.5454568573923,69.4785296892284,69.2189872136963,69.0658443589568,68.80733784416411,
Algeria,DZA,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.253012078956,13.545815930783,13.833991816745801,14.1361256217732,14.415584910999598,14.8387096774194,15.1282053727371,15.284974944553499,15.4248368506339,15.5672819467799,15.8244682200196,16.0857912137395,16.4864862287366,16.8937320991177,17.2839507787895,17.7931029221108,18.333333068423702,19.020979554503104,19.6905770751819,20.367751400431,20.534459486358198,20.6993009660628,20.862308319424802,
American Samoa,ASM,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.35171350000391,86.8593952687126,88.39049776060172,92.914434711867,93.0388257554479,91.8666687011718,90.8244758291234,90.1726411341677,89.65516857571849,89.52254460741959,89.52254460741959,89.3899206391206,87.71466869579679,87.71466869579679,86.5612590611623,84.40366834873309,82.3989612484436,80.3896123712713,79.4041472283455,80.41504698707679,81.428572419402,81.68831366997259,82.054612772519,
Antigua and Barbuda,ATG,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5724391574878,31.3288774120452,31.5745708994297,31.277674865484702,31.6385557668765,31.8906861066475,32.033353782949,32.1362361172855,32.285188113184,32.5806881552028,32.7513068563153,33.049374845755,32.764830705152605,32.9690229883285,33.1121663454609,33.4044472593254,34.0102698243611,35.0962901439523,35.319034337252496,35.5767895257816,35.790482140869,36.0111230277379,36.124116147262995,
Argentina,ARG,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.76705483954021,52.393270894028795,52.2135376050656,52.74868904735521,53.088045119498304,54.13929249545279,54.7619078855546,55.245679665546795,55.9412559042498,56.5683667910245,57.20053600858439,58.4573746562256,59.6467424402391,60.9289622042698,63.8743432754128,63.66013171626079,63.4464744676729,64.1633725742874,64.6746331862236,65.415549913167,62.75033250000789,63.0173562101081,63.066665649414,
Armenia,ARM,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8210132133002,77.8933684490513,79.100529687882,79.4392507180951,79.1443828177067,78.9544272528523,78.8694428899283,79.0257108525606,78.9402169546919,79.09836603793642,79.04109693553359,79.0921628799192,78.1336992892338,77.18309751698659,76.0683815488628,74.71264531612721,73.1601710393482,71.49059712986809,69.8550735694775,72.8862989973129,70.401105639568,70.46702896507891,70.2997239801532,
Aruba,ABW,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0885090428989,69.51871374125301,69.9865381752091,70.18969796076,71.4092121730397,72.70270167170341,72.99864513541701,73.36065983842781,73.7997230603101,74.3448296908674,75.5524856493095,76.5277756585015,76.9123756098342,78.0726294932579,77.7932988128087,78.94737175800908,79.6680443192882,80.0550250426753,80.6318657997943,81.215466847805,81.1034472235317,81.49171098968951,81.7802475510333,
Austria,AUT,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.692972572051794,62.3209141806829,64.1428593226841,65.0929885647494,68.18181670401711,68.3168335529346,68.6246410195144,69.20863089801601,69.6092612681247,69.9999988942906,70.3056788684418,71.4494832453811,73.06002825221641,73.9385032848843,75.336323432493,76.0772636571258,76.9571651738071,76.7441815334505,78.0701759278108,79.5588212854722,79.61595857542859,79.91137505586809,80.64992752638341,
Azerbaijan,AZE,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3790697749706,76.5867391656412,76.7732956765952,77.17841892359901,77.7008321957927,78.16411623122359,78.3031961644625,78.442281403261,78.5813613365001,78.83007808971871,80.1398590728119,81.3202303477182,82.485874305946,83.64153155693249,84.935442403104,86.12716922328569,87.33624842109279,88.56305605367871,89.9556931626422,90.1759571142988,91.69139145098049,91.3362733577392,90.7111736079207,
"Bahamas, The",BHS,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.6120929552344,81.81817490828101,82.12083813463092,82.29548262533521,82.6666629675663,83.60049855413091,84.86759200731959,86.5885382259473,88.7533838637692,88.3221517473259,87.8989377082231,87.71466869579679,87.41807900452709,87.23957986674391,87.0633899027089,87.0179875227043,86.9565251326119,87.02290439407508,87.08861145792129,87.1374474336661,87.26354890942,87.26354890942,87.3896600060997,
Bahrain,BHR,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.740613349496,33.029611608219,33.8268789642655,34.5496012445047,35.3881284702968,36.114286150251104,36.8843065719585,37.7726774997063,38.6206879012886,39.4463690504581,40.393519571206795,41.3953470629315,41.8138979528511,42.4820968707284,43.1845579953154,43.5251781449868,43.890864366022704,44.196951247544696,44.547567152393,44.7640976327192,45.068808041801994,45.1317298379929,45.1834895696899,
Bangladesh,BGD,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5603189241849,69.98867168876079,69.1259961187944,68.37314838547171,67.5799107238894,66.704803454492,65.901265822563,65.2073692213711,64.4341803928961,63.73116808236279,63.02325670109239,63.5198112605236,63.9018711892578,64.40280915373671,64.7887356104869,65.2941176470588,65.8018835247009,66.23376681867211,66.6272180320243,67.0616083540784,67.57720141112989,67.8953620810013,68.1331751209159,
Barbados,BRB,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0218840893635,80.4780823613877,80.39473483436991,81.07753219459191,81.7345624311563,82.11488613427241,85.8490611628638,83.37766397263809,83.6869989352239,83.37730635681541,83.5742440858908,83.8794199740541,82.9815290151499,84.3915350856788,84.5549701360139,85.078532332205,85.5832246919595,85.845343879696,85.9947586859507,85.7887948759114,85.91917098816678,85.91917098816678,85.91917098816678,
Belarus,BLR,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2124821752832,79.8387100909098,79.7002708227117,79.41988782893459,79.2717048522841,79.3741064221266,79.4797722912285,79.73568348565409,80.1195773566418,80.51750986769909,80.7987706712942,80.9597530532636,81.1232468609088,81.13207501902251,81.01265845706,80.8917195130818,80.8988798444437,80.64516129032259,80.5194800369332,80.392157107183,80.22690338398259,79.9035372239933,79.5853284189649,
Belgium,BEL,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.901799325941106,61.7263853159756,63.3387917011665,65.1239694642626,65.46645008009621,66.121117078244,66.33826028511879,67.49175339227939,68.5950413223141,70.4248332301017,71.0097677371304,69.1542309959278,70.95709749623659,72.25913529685471,73.43234508331459,74.3882529227707,75.3289470588401,76.26841184596509,77.26524042239191,77.9069782915212,78.5478542453238,78.78787547955041,78.95622949680549,
Belize,BLZ,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.742404210313204,43.9412519790202,44.14303318203421,44.128553880829706,43.8423643005959,42.84009572613721,42.0441363582835,43.391811080843404,44.6407548229859,46.0807608590662,47.488040056877395,49.0361454975175,50.606796105268295,52.2004879827714,53.87453578467421,55.44554151608521,56.365880857906106,57.195569808769704,58.0368088798288,58.658534724537894,59.4397078490115,59.6107078092146,59.659777221688,
Benin,BEN,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.982102669631004,63.982102669631004,64.3176722803022,65.8013546739385,67.50285384602411,69.12442153282271,70.8624674528084,72.6415050203754,74.5519758674129,76.5133195283778,78.62407715023559,80.7980118672287,83.0164749471092,83.5025387099779,83.7563419339585,84.116899002905,84.3710344354238,84.73282413109591,84.98728288620971,85.3503184713376,85.8418389565246,85.96938802817621,86.2068931917936,
Bermuda,BMU,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2522439065705,62.4521067943702,61.2738834065237,60.1016532035799,59.3155872395139,59.03919300101911,59.7222235601491,60.7818397326923,62.626263112781494,64.7727288052617,67.3830597537856,70.4689447387203,73.664125508784,76.88377830987591,79.6153826591296,81.82989851626951,83.65758920429771,84.98694487065141,86.0709609899325,86.8874151975114,86.71052832352491,86.405226763557,86.3459040420611,
Bolivia,BOL,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9431721713626,62.1065377539117,63.3939384691642,64.5631065264377,65.735111139787,67.0316308026327,69.7448352338219,72.5394879091252,72.62774085080571,72.8048789791945,73.07221908558951,73.43941522789851,73.8066113702075,74.1421582491661,74.50980437988959,74.9693232811302,75.5528241365545,76.7241398749944,77.1886555510808,78.02469229992529,78.7391836359393,78.9864033629691,79.2336183746749,
Bosnia and Herzegovina,BIH,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2608682383661,63.2978719806571,64.25992327363271,64.9635017696228,64.7810227997081,62.8975255015215,58.9915940741531,57.8859075222632,57.601348031516295,57.4829926456139,57.289883298397996,57.167526082580096,56.9444446284093,56.6433585554621,56.3380289257484,56.1061960406009,55.5950260412379,54.1379303767764,55.574617409742004,57.2425823277256,59.4405586477351,59.4405586477351,59.6153811526081,
Botswana,BWA,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8784172659827,83.25062003030371,83.72670997003591,83.9751533840014,84.45273661347309,84.8258652411719,85.30510261107709,85.6787054010601,86.0522986899295,86.3013703836227,86.5671606383222,86.9402987553174,87.20496515309591,87.468984286192,87.73234910673679,87.88627581345241,88.0098833193053,88.14815003194929,88.1627636809581,88.1773413363054,88.1918748546615,88.2063903020087,88.09816325369059,
Brazil,BRA,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2248216361049,56.9428249414441,61.7441842722338,61.91588895416061,62.910798584514396,63.9150929391576,62.9674304006427,63.942310954692296,64.7342952881488,66.6263609521116,66.8696742341403,67.1165653533,68.7882531972955,69.5331663551955,70.4156434293475,71.7417815110495,71.8482288317912,71.92118684820109,71.8673205201372,72.5369504181416,73.24291324719741,73.4567901234568,73.547588229608,
Brunei Darussalam,BRN,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7878797126539,56.56934516588739,58.0684574913097,59.4594602194098,60.8641965889636,62.4069481257009,63.930348943257705,65.3798231690737,66.8329183462592,68.2499980926514,69.6361381745625,70.9595996571397,70.9759175120323,70.95541498463629,70.84399448576221,70.82261736862,70.80103121023579,70.5577206258162,70.4427035473703,70.4188457625055,70.3022353123876,70.1846947507554,69.9735484042203,
Bulgaria,BGR,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.55980998062279,88.0452320784109,88.70704110720379,87.89386512533501,86.9127526228924,85.90831436886971,84.7341375168938,83.535528813889,81.9930085669962,80.565370500797,79.0697666483553,82.21831230671741,82.2380104164951,79.999998637608,80.4232766499826,79.2184708321672,80.37866091122291,79.96661152868991,78.675282007189,78.5597400961154,79.8319327731092,80.9605512532067,81.29251676407009,
Burkina Faso,BFA,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.9736567303362,84.36122896434,84.5644978268422,84.5644978268422,84.7682167165763,84.7682167165763,84.65783470200691,84.7513778433616,84.7513778433616,84.7513778433616,84.95575415424321,84.95575415424321,85.0663719334835,85.0663719334835,85.0663719334835,85.0663719334835,85.1769897127238,85.287607491964,85.287607491964,85.3982252712043,85.4927955030002,85.5875826609401,85.5715868810654,
Burundi,BDI,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.442479556557,100.444940510667,100.559910395199,100.79007290033,100.91011991863,101.033296833118,101.04286658709,101.170960166432,101.06509056316999,101.189060663667,101.193317378977,101.318942990402,101.447523433239,101.575761274858,101.70316493656401,101.831501797379,101.835985380697,101.84049079754601,101.965600054212,101.842751808209,101.84049079754601,101.713588222979,101.711483917181,
Cambodia,KHM,Ratio of female to male labor force participation rate (%),SL.TLF.CACT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.64677834716,91.4285750616164,91.1032031690495,90.6839608000284,90.5660380753557,90.7582903901179,91.1589078061014,90.2497061866589,89.4674538155279,91.32530488163592,93.36609161590479,91.9805518119302,90.6362511812739,88.994079228689,87.6168239917367,88.69463376151009,89.7674383119095,90.93022900958401,91.86991855510429,91.7633425458423,91.5411323364848,91.31944459774859,91.21387459639179,
