Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2999992370605,,,,,,,58.5,,
American Samoa,ASM,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1000003814697,,,,,,,,,,,
Arab World,ARB,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7000007629395,44.7000007629395,41.9000015258789,41.5,39.7999992370605,,,,27.7999992370605,25.600000381469698,40.4000015258789,
Armenia,ARM,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3999996185303,10.1000003814697,10.3000001907349,9.60000038146973,9.10000038146973,,
Aruba,ABW,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.4000015258789,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2999992370605,,38.0999984741211,35.5,,28.2999992370605,33.0,31.2000007629395,30.399999618530302,29.5,29.7999992370605,28.399999618530302,27.2999992370605,26.7000007629395,,,,,
Austria,AUT,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.399999618530302,,,24.600000381469698,21.899999618530302,20.5,19.1000003814697,18.7000007629395,18.3999996185303,17.8999996185303,17.1000003814697,16.7999992370605,16.0,15.8000001907349,16.2000007629395,15.8999996185303,16.3999996185303,15.6999998092651,15.0,14.8000001907349,15.0,14.1999998092651,
Azerbaijan,AZE,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.89999997615814,,,12.3000001907349,12.3999996185303,
"Bahamas, The",BHS,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9000015258789,30.0,28.2999992370605,21.600000381469698,24.0,28.399999618530302,24.0,24.0,,,17.2999992370605,15.0,,,,10.5,,,,,17.6000003814697,,
Bahrain,BHR,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2000007629395,,,,,,,,,,,,,,,,,,,31.399999618530302,,,
Bangladesh,BGD,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,16.2000007629395,,,,,,,,,,
Belarus,BLR,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40000009536743,,,,
Belgium,BEL,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7000007629395,40.2999992370605,38.5999984741211,36.7000007629395,34.7000007629395,34.0999984741211,36.5,37.0999984741211,36.0999984741211,33.9000015258789,33.2000007629395,32.5,30.5,28.7000007629395,28.100000381469698,26.7999992370605,25.2999992370605,24.5,25.2999992370605,24.5,24.100000381469698,
Belize,BLZ,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5999984741211,53.2000007629395,56.4000015258789,43.5,55.9000015258789,54.7999992370605,54.5999984741211,,,,,,43.7999992370605,,,,,,,,
Benin,BEN,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8000001907349,,,,,,,,,10.1999998092651,,,,,,,,,,,,,
Bhutan,BTN,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2999992370605,,,,34.4000015258789,50.2999992370605,,,47.2000007629395,,,,,45.2000007629395,,,40.2000007629395,38.0,,,,
Bosnia and Herzegovina,BIH,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.600000381469698,23.2999992370605,22.600000381469698,21.2000007629395,19.2000007629395,19.2999992370605,18.7999992370605,
Botswana,BWA,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,,
Brazil,BRA,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8000001907349,14.0,,14.8000001907349,16.2999992370605,16.1000003814697,16.7999992370605,17.3999996185303,,,,,,,44.7000007629395,43.5999984741211,,,,41.0999984741211,,
Brunei Darussalam,BRN,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5999984741211,,,,,,,,27.0,23.899999618530302,23.899999618530302,23.7000007629395,23.5,22.0,19.2000007629395,17.6000003814697,17.8999996185303,17.5,16.0,15.0,14.3999996185303,
Burkina Faso,BFA,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Labor force with primary education, male (% of male labor force)",SL.TLF.PRIM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
