Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,47.0,32.0,21.0,20.0,21.0,24.0,25.0,27.0,30.0,36.0,44.0,52.0,60.0,63.0,67.0,69.0,70.0,65.0,59.0,52.0,
Algeria,DZA,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,32.0,35.0,38.0,39.0,40.0,39.0,38.0,36.0,35.0,33.0,32.0,32.0,30.0,28.0,27.0,25.0,24.0,22.0,22.0,
American Samoa,ASM,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.0,513.0,493.0,467.0,435.0,414.0,396.0,378.0,361.0,346.0,329.0,310.0,285.0,260.0,238.0,221.0,212.0,202.0,192.0,182.0,176.0,
Antigua and Barbuda,ATG,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,155.0,194.0,231.0,250.0,259.0,264.0,275.0,293.0,321.0,342.0,338.0,304.0,256.0,221.0,198.0,185.0,169.0,156.0,147.0,150.0,
Arab World,ARB,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6345804767611,63.2700498147852,61.8238765025708,60.1358420677631,58.825054599669,58.061340433030004,58.390822469377696,59.012430106864606,59.1743322207164,58.4355059329974,56.8273465409913,55.85420998549971,56.89464211709289,58.9706994820998,60.668381600946596,61.9127985299921,64.1973135801131,67.5310107276717,71.0288779489825,73.40414409309109,75.101722277161,
Argentina,ARG,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,9.0,11.0,12.0,13.0,12.0,14.0,16.0,19.0,22.0,25.0,26.0,26.0,
Armenia,ARM,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,144.0,140.0,140.0,143.0,143.0,134.0,113.0,88.0,65.0,49.0,37.0,30.0,26.0,25.0,23.0,21.0,17.0,
