Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,149.624,150.5446,151.4652,152.3858,153.3064,154.227,155.3466,156.4662,157.5858,158.7054,159.825,161.0078,162.1906,163.3734,164.5562,165.739,166.3386,166.9382,167.5378,168.1374,168.737,169.001,169.265,169.529,169.793,170.057,166.1466,162.2362,158.3258,154.4154,150.505,143.8986,137.2922,130.6858,124.0794,117.473,111.3472,105.2214,99.0956,92.9698,,
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,85.6944,84.2402,82.786,81.2328,79.6796,78.1264,76.5732,75.02,73.4526,71.8852,70.3178,68.7504,67.183,65.0994,63.0158,60.93221,58.84861,56.765,55.022,53.279,51.536,49.793,48.05,47.2396,46.4292,45.6188,44.80841,43.998,43.196,42.394,41.592,40.79,39.988,39.3074,38.6268,37.9462,37.2656,36.585,35.2906,33.9962,32.7018,31.4074,30.113,27.9986,25.8842,23.7698,21.6554,19.541,18.6922,17.8434,16.9946,16.1458,,
Algeria,DZA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,125.624,125.624,125.624,123.5016,121.3792,119.2568,117.1344,115.012,112.6814,110.3508,108.0202,105.6896,103.359,101.6092,99.8594,98.1096,96.35979,94.61,86.2926,77.9752,69.65781,61.3404,53.023,49.1188,45.2146,41.3104,37.4062,33.502,31.6746,29.8472,28.0198,26.1924,24.365,22.4658,20.5666,18.6674,16.7682,14.869,13.8312,12.7934,11.7556,10.7178,9.68,9.6814,9.6828,9.6842,9.6856,9.687,9.7562,9.825399,9.894599,9.963799,,
American Samoa,ASM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,232.776,234.048,235.32,235.32,235.32,235.32,235.32,235.32,234.048,232.776,231.504,230.232,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.96,228.3368,227.7136,227.0904,226.4672,225.844,223.687,221.53,219.373,217.216,215.059,212.9832,210.9074,208.8316,206.7558,204.68,202.1942,199.7084,197.2226,194.7368,192.251,187.832,183.413,178.994,174.575,,
Antigua and Barbuda,ATG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,126.144,124.992,123.84,122.112,120.384,118.656,116.928,115.2,110.9474,106.6948,102.4422,98.1896,93.937,88.0272,82.1174,76.2076,70.29781,64.388,63.8322,63.2764,62.7206,62.16479,61.609,61.215,60.821,60.427,60.033,59.639,60.9356,62.2322,63.5288,64.8254,66.122,66.6432,67.16441,67.68561,68.20681,68.728,67.5386,66.3492,65.1598,63.9704,62.781,61.3234,59.8658,58.4082,56.9506,55.493,54.247,53.001,51.755,50.50901,,
Arab World,ARB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,131.852390162031,132.321987470366,132.764857191215,132.169704304227,131.482191216847,130.68452537819098,129.77152381540898,128.774732708136,126.446282754046,124.121604212913,121.867488802167,119.738009492072,117.716464760889,115.887311436926,114.047305601729,112.14266320262199,110.154669062987,108.110750002866,104.74098173974501,101.434503535189,98.2142419237434,95.0757346554525,91.9886725468096,88.27059421778759,84.53350916954601,80.72356378574209,76.8616610380637,72.98292052409799,71.6805362876781,70.4205857622333,69.5185456284413,68.36448470946671,67.6550265487554,65.7729969662142,63.8741873644588,61.777677398200595,59.8695797696436,57.9326728947045,56.6272284451249,55.3146690046649,54.0049485999164,52.7023296863799,51.4134080543875,50.5554613474899,49.7256448037068,48.9329591370512,48.172437039373996,47.4402473047116,46.7164358607329,46.0263582518618,45.367458745030405,44.734825267233894,,
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,61.378,61.238,61.098,60.9582,60.8184,60.6786,60.5388,60.399,61.9796,63.5602,65.1408,66.7214,68.302,71.4412,74.5804,77.7196,80.8588,83.998,82.0386,80.0792,78.1198,76.16041,74.201,74.0408,73.8806,73.7204,73.5602,73.4,73.3604,73.3208,73.2812,73.24161,73.202,72.5218,71.8416,71.1614,70.4812,69.801,67.981,66.161,64.341,62.521,60.701,59.9408,59.1806,58.4204,57.6602,56.9,56.3908,55.8816,55.3724,54.8632,,
Armenia,ARM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,42.8244,44.2432,45.662,44.9044,44.1468,43.3892,42.6316,41.874,41.6992,41.5244,41.3496,41.1748,41.0,40.6554,40.3108,39.9662,39.6216,39.277,40.5264,41.7758,43.0252,44.2746,45.524,49.4208,53.3176,57.2144,61.1112,65.008,68.0198,71.0316,74.0434,77.05521,80.067,74.032,67.99699,61.96199,55.92699,49.892,46.671,43.45,40.229,37.008,33.787,32.635,31.483,30.331,29.179,28.027,27.8452,27.6634,27.4816,27.2998,,
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,106.2062,102.8116,99.417,94.4542,89.4914,84.5286,79.5658,74.603,71.665,68.727,65.78899,62.85099,59.913,59.0044,58.0958,57.1872,56.2786,55.37,54.9542,54.5384,54.1226,53.70681,53.291,53.0288,52.7666,52.5044,52.2422,51.98,51.41,50.84,50.27,49.7,49.13,48.7648,48.3996,48.0344,47.6692,47.304,46.067,44.83,43.593,42.356,41.119,39.5738,38.0286,36.4834,34.9382,33.393,32.0268,30.6606,29.2944,27.9282,,
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,44.8286,45.0668,45.305,45.9764,46.6478,47.31919,47.99059,48.662,48.6296,48.5972,48.5648,48.53241,48.5,45.1672,41.8344,38.50159,35.16879,31.836,30.687,29.538,28.389,27.24,26.091,25.0928,24.0946,23.0964,22.0982,21.1,21.146,21.192,21.238,21.284,21.33,20.9136,20.4972,20.0808,19.6644,19.248,18.7432,18.2384,17.7336,17.2288,16.724,16.5842,16.4444,16.3046,16.1648,16.025,15.2318,14.4386,13.6454,12.8522,,
Austria,AUT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,48.3914,50.8922,53.393,54.8498,56.3066,57.7634,59.2202,60.677,59.5646,58.4522,57.3398,56.2274,55.115,51.7388,48.3626,44.9864,41.6102,38.234,36.6126,34.9912,33.3698,31.7484,30.127,28.3784,26.6298,24.8812,23.1326,21.384,21.185,20.986,20.787,20.588,20.389,19.269,18.149,17.029,15.909,14.789,14.5004,14.2118,13.9232,13.6346,13.346,12.902,12.458,12.014,11.57,11.126,9.726,8.326,6.926,5.526,,
Azerbaijan,AZE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,43.221,42.462,41.703,42.204,42.705,43.206,43.707,44.208,41.167,38.126,35.085,32.044,29.003,26.9148,24.8266,22.7384,20.6502,18.562,18.3956,18.2292,18.0628,17.8964,17.73,18.9194,20.1088,21.2982,22.4876,23.677,26.448,29.219,31.99,34.761,37.532,38.3038,39.0756,39.8474,40.6192,41.391,39.9808,38.5706,37.1604,35.75021,34.34,35.5728,36.8056,38.0384,39.2712,40.504,40.4032,40.3024,40.2016,40.1008,,
"Bahamas, The",BHS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,91.84241,92.63121,93.42,89.5818,85.7436,81.9054,78.06719,74.229,76.3198,78.4106,80.5014,82.59219,84.683,86.0384,87.3938,88.7492,90.1046,91.46,90.2972,89.1344,87.9716,86.80879,85.646,82.4748,79.3036,76.13239,72.96119,69.79,69.748,69.706,69.664,69.622,69.58,68.0444,66.5088,64.97321,63.43761,61.902,58.3198,54.7376,51.1554,47.5732,43.991,41.5496,39.1082,36.6668,34.2254,31.784,31.1198,30.4556,29.7914,29.1272,,
Bahrain,BHR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,88.4922,89.00359,89.515,89.0036,88.4922,87.9808,87.46941,86.958,84.4004,81.8428,79.28519,76.72759,74.17,72.381,70.592,68.80299,67.01399,65.225,62.5096,59.7942,57.0788,54.3634,51.648,47.8268,44.0056,40.1844,36.3632,32.542,30.4976,28.4532,26.4088,24.3644,22.32,21.5114,20.7028,19.8942,19.0856,18.277,18.01,17.743,17.476,17.209,16.942,16.4902,16.0384,15.5866,15.1348,14.683,14.5034,14.3238,14.1442,13.9646,,
Bangladesh,BGD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,253.2574,247.7252,242.193,238.3092,234.4254,230.5416,226.6578,222.774,219.9796,217.1852,214.3908,211.5964,208.802,206.9154,205.0288,203.1422,201.2556,199.369,198.0388,196.7086,195.3784,194.0482,192.718,189.5518,186.3856,183.2194,180.0532,176.887,172.4844,168.0818,163.6792,159.2766,154.874,149.9556,145.0372,140.1188,135.2004,130.282,125.7322,121.1824,116.6326,112.0828,107.533,103.7638,99.9946,96.2254,92.45619,88.687,87.0674,85.4478,83.8282,82.2086,,
Barbados,BRB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,124.927,121.552,118.177,114.5556,110.9342,107.3128,103.6914,100.07,98.554,97.038,95.522,94.006,92.49,87.9342,83.3784,78.82259,74.26679,69.711,69.9228,70.1346,70.3464,70.5582,70.77,66.6038,62.4376,58.2714,54.1052,49.939,51.5292,53.1194,54.7096,56.2998,57.89,56.7118,55.5336,54.3554,53.1772,51.999,51.6996,51.4002,51.1008,50.8014,50.502,50.2896,50.0772,49.8648,49.6524,49.44,49.2294,49.0188,48.8082,48.5976,,
Belarus,BLR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,16.7274,16.9742,17.221,17.3916,17.5622,17.7328,17.9034,18.074,18.7576,19.4412,20.1248,20.8084,21.492,22.692,23.892,25.092,26.292,27.492,29.112,30.732,32.352,33.972,35.592,37.0038,38.4156,39.8274,41.2392,42.651,42.982,43.313,43.644,43.975,44.306,42.0894,39.8728,37.6562,35.43961,33.223,31.3614,29.4998,27.6382,25.7766,23.915,23.6604,23.4058,23.1512,22.8966,22.642,22.2334,21.8248,21.4162,21.0076,,
Belgium,BEL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,27.1146,28.2988,29.483,29.719,29.955,30.191,30.427,30.663,30.799,30.935,31.071,31.207,31.343,29.926,28.509,27.092,25.675,24.258,22.6378,21.0176,19.3974,17.7772,16.157,15.2002,14.2434,13.2866,12.3298,11.373,11.2622,11.1514,11.0406,10.9298,10.819,10.6906,10.5622,10.4338,10.3054,10.177,10.3316,10.4862,10.6408,10.7954,10.95,10.8372,10.7244,10.6116,10.4988,10.386,9.6506,8.9152,8.1798,7.4444,,
Belize,BLZ,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,181.72,181.16,180.6,180.04,179.48,178.92,178.36,177.8,177.24,176.68,176.12,175.56,175.0,174.72,174.44,174.16,173.88,173.6,169.12,164.64,160.16,155.68,151.2,147.28,143.36,139.44,135.52,131.6,129.6232,127.6464,125.6696,123.6928,121.716,118.6248,115.5336,112.4424,109.3512,106.26,103.2454,100.2308,97.21619,94.20159,91.187,88.693,86.199,83.70499,81.21099,78.717,77.2526,75.7882,74.3238,72.8594,,
Benin,BEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,85.7628,86.6854,87.608,88.0576,88.5072,88.9568,89.4064,89.856,90.4374,91.0188,91.6002,92.18159,92.763,94.3064,95.8498,97.3932,98.93661,100.48,102.795,105.11,107.425,109.74,112.055,114.264,116.473,118.682,120.891,123.1,123.8332,124.5664,125.2996,126.0328,126.766,125.9774,125.1888,124.4002,123.6116,122.823,121.3902,119.9574,118.5246,117.0918,115.659,113.5474,111.4358,109.3242,107.2126,105.101,102.1248,99.14861,96.17241,93.19621,,
Bermuda,BMU,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,109.6302,109.2464,108.8626,108.4788,108.095,108.5812,109.0674,109.5536,110.0398,110.526,108.7124,106.8988,105.0852,103.2716,101.458,99.3276,97.1972,95.0668,92.93639,90.806,86.5368,82.26759,77.99839,73.72919,69.46,65.7432,62.0264,58.3096,54.5928,50.876,48.8866,46.8972,44.9078,42.9184,,
Bolivia,BOL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,98.1166,97.6568,97.197,96.9366,96.6762,96.4158,96.1554,95.895,95.657,95.419,95.181,94.943,94.705,93.2244,91.7438,90.26321,88.78261,87.302,87.6418,87.9816,88.3214,88.66119,89.001,89.0808,89.16061,89.24041,89.32021,89.4,89.3798,89.3596,89.33939,89.31919,89.299,88.8198,88.3406,87.8614,87.38219,86.903,86.4028,85.9026,85.4024,84.90221,84.402,83.1612,81.9204,80.6796,79.4388,78.198,76.9342,75.67039,74.40659,73.14279,,
Bosnia and Herzegovina,BIH,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,85.23739,83.23318,81.229,78.5,75.771,73.04201,70.31301,67.584,65.2816,62.9792,60.6768,58.3744,56.072,54.409,52.746,51.083,49.42001,47.757,46.691,45.625,44.559,43.493,42.427,42.0432,41.6594,41.2756,40.8918,40.508,38.9304,37.3528,35.7752,34.19761,32.62,31.4992,30.3784,29.2576,28.1368,27.016,25.1096,23.2032,21.2968,19.3904,17.484,17.3926,17.3012,17.2098,17.1184,17.027,16.6432,16.2594,15.8756,15.4918,,
Botswana,BWA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,159.6744,160.0362,160.398,160.6392,160.8804,161.1216,161.3628,161.604,160.8612,160.1184,159.3756,158.6328,157.89,157.0216,156.1532,155.2848,154.4164,153.548,151.6136,149.6792,147.7448,145.8104,143.876,140.5436,137.2112,133.8788,130.5464,127.214,119.0724,110.9308,102.7892,94.6476,86.506,83.8568,81.2076,78.5584,75.90919,73.26,70.8574,68.4548,66.05219,63.64959,61.247,59.4232,57.5994,55.7756,53.9518,52.128,50.5474,48.9668,47.3862,45.8056,,
