Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,31.282,31.775,32.267,32.76,33.251,33.741,34.228,34.713,35.193,35.669,36.137,36.596,37.044,37.483,37.915,38.341,38.76,39.176,39.598,40.035,40.5,41.006,41.56,42.165,42.824,43.536,44.301,45.106,45.936,46.775,47.609,48.427,49.218,49.975,50.685,51.338,51.924,52.448,52.92,53.348,53.751,54.145,54.547,54.97,55.419,55.896,56.397,56.906,57.411,57.906,58.384,58.84,,
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.309,62.272,63.117,63.811,64.346,64.723,64.962,65.116,65.233,65.346,65.496,65.714,66.004,66.356,66.762,67.19,67.596,67.943,68.204,68.376,68.475,68.533,68.59,68.673,68.788,68.92,69.04,69.12,69.145,69.122,69.07,69.015,68.993,69.03,69.14,69.337,69.624,69.982,70.39,70.829,71.275,71.703,72.096,72.444,72.739,72.985,73.192,73.379,73.565,73.757,73.959,74.172,,
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,45.44,45.883,46.325,46.764,47.198,47.62,48.023,48.408,48.781,49.152,49.529,49.921,50.344,50.814,51.351,51.986,52.751,53.649,54.669,55.79,56.985,58.217,59.44,60.607,61.682,62.627,63.416,64.058,64.569,64.961,65.258,65.488,65.687,65.881,66.089,66.316,66.556,66.791,67.01,67.211,67.398,67.578,67.756,67.936,68.119,68.303,68.483,68.653,68.81,68.952,69.081,69.199,,
American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,31.538,31.935,32.331,32.727,33.124,33.521,33.919,34.319,34.72,35.12,35.52,35.922,36.324,36.72,37.105,37.468,37.801,38.096,38.35,38.561,38.729,38.855,38.948,39.018,39.072,39.109,39.127,39.129,39.126,39.134,39.172,39.26,39.414,39.646,39.966,40.39,40.927,41.567,42.285,43.059,43.856,44.639,45.381,46.06,46.664,47.191,47.649,48.065,48.463,48.852,49.241,49.632,,
Antigua and Barbuda,ATG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.512,59.912,60.3,60.676,61.042,61.399,61.748,62.091,62.427,62.757,63.083,63.403,63.719,64.028,64.333,64.633,64.929,65.221,65.508,65.791,66.071,66.347,66.618,66.885,67.149,67.409,67.665,67.918,68.169,68.416,68.661,68.904,69.143,69.38,69.613,69.845,70.073,70.3,70.525,70.747,70.969,71.189,71.409,71.628,71.844,72.056,72.26,72.456,72.642,72.819,72.99,73.155,,
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,45.7737457160437,46.4004904663219,47.011006754362,47.6070111000698,48.18869298542979,48.753535600626,49.2953825044248,49.8148290790305,50.3168649694905,50.8108191985229,51.3111904909199,51.83605716756821,52.3929972544516,52.979815344223496,53.5871096697112,54.196233510014494,54.7844919587753,55.3373165362399,55.8544762361534,56.348026866939,56.842399879701794,57.3657949015801,57.9363666106818,58.55869248695029,59.2206764997423,59.9030222986123,60.5791591199602,61.220684698004,61.8067926608493,62.3290215867485,62.891302452838,63.2967752109505,63.59529679401339,63.9402608356062,64.2804878735157,64.6657496207122,64.967482953703,65.249757959377,65.4989412262876,65.7349267395068,65.9403315470248,66.13250035940389,66.31188166178721,66.4815982257818,66.65850361136211,66.8360540896978,67.0233318611287,67.2183321534248,67.40532234699229,67.58896900809421,67.7708384126811,67.9493877354593,,
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.417,62.459,62.477,62.485,62.499,62.536,62.612,62.731,62.893,63.099,63.344,63.618,63.906,64.198,64.485,64.766,65.045,65.327,65.612,65.897,66.174,66.433,66.668,66.877,67.062,67.227,67.382,67.538,67.702,67.879,68.07,68.275,68.487,68.702,68.917,69.129,69.338,69.543,69.743,69.939,70.132,70.321,70.51,70.698,70.887,71.078,71.27,71.463,71.656,71.851,72.046,72.243,,
Armenia,ARM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.822,63.24,63.664,64.092,64.522,64.953,65.384,65.81,66.22,66.602,66.935,67.198,67.381,67.486,67.52,67.509,67.486,67.479,67.502,67.552,67.606,67.626,67.576,67.436,67.203,66.88,66.476,66.03,65.586,65.18,64.86,64.67,64.627,64.732,64.983,65.366,65.851,66.393,66.949,67.491,67.998,68.462,68.892,69.29,69.652,69.971,70.243,70.47,70.659,70.815,70.946,71.06,,
Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.084,64.429,64.747,65.053,65.356,65.66,65.959,66.242,66.503,66.745,66.972,67.19,67.405,67.626,67.857,68.11,68.394,68.706,69.041,69.387,69.726,70.036,70.301,70.51,70.66,70.757,70.814,70.851,70.886,70.924,70.969,71.018,71.062,71.098,71.126,71.148,71.167,71.187,71.214,71.251,71.305,71.379,71.475,71.591,71.725,71.871,72.024,72.176,72.323,72.462,72.593,72.716,,
Australia,AUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,67.78571428571429,67.9,67.84,67.78,67.72,67.66,67.6,67.64,67.68,67.72,67.76,67.8,68.16,68.52,68.88,69.24,69.6,69.92,70.24,70.56,70.88,71.2,71.5,71.8,72.1,72.4,72.7,73.02,73.34,73.66,73.98,74.3,74.5,75.0,75.0,75.0,75.2,75.7,75.9,76.2,76.6,77.0,77.4,77.8,78.1,78.5,78.7,79.0,79.2,79.3,79.5,79.7,,
Austria,AUT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.41,66.47,66.29,66.39,66.8,66.61,66.88,66.63,66.76,66.56,66.52,66.64,66.96,67.55,67.46,67.65,68.2,68.51,68.45,68.78,68.97,69.28,69.38,69.51,70.03,70.35,70.94,71.44,71.91,71.97,72.33,72.28,72.67,72.96,73.34,73.54,73.93,74.29,74.5,74.8,75.1,75.6,75.8,75.9,76.4,76.6,77.1,77.3,77.6,77.4,77.7,78.3,,
Azerbaijan,AZE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,57.346,57.746,58.148,58.552,58.954,59.355,59.758,60.158,60.545,60.906,61.219,61.459,61.613,61.681,61.667,61.585,61.454,61.302,61.159,61.046,60.994,61.034,61.16,61.352,61.582,61.779,61.855,61.763,61.495,61.08,60.601,60.17,59.897,59.855,60.065,60.509,61.134,61.838,62.538,63.195,63.788,64.322,64.824,65.311,65.778,66.208,66.584,66.896,67.14,67.319,67.442,67.523,,
"Bahamas, The",BHS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.791,61.073,61.349,61.619,61.883,62.142,62.395,62.643,62.886,63.124,63.358,63.588,63.813,64.033,64.249,64.461,64.669,64.873,65.073,65.27,65.463,65.652,65.837,66.019,66.197,66.375,66.553,66.734,66.916,67.099,67.277,67.444,67.595,67.734,67.867,68.005,68.168,68.365,68.603,68.879,69.186,69.509,69.832,70.139,70.421,70.674,70.897,71.098,71.285,71.46,71.628,71.791,,
Bahrain,BHR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,48.944,50.419,51.889,53.33,54.721,56.043,57.288,58.458,59.559,60.589,61.547,62.437,63.266,64.043,64.771,65.457,66.102,66.709,67.278,67.81,68.305,68.76,69.172,69.544,69.88,70.183,70.459,70.714,70.954,71.187,71.417,71.65,71.884,72.12,72.358,72.598,72.835,73.067,73.292,73.509,73.719,73.925,74.129,74.331,74.531,74.725,74.91,75.083,75.241,75.386,75.519,75.644,,
Bangladesh,BGD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,47.787,48.445,49.104,49.729,50.275,50.64,50.715,50.475,49.959,49.245,48.505,47.958,47.769,48.033,48.758,49.867,51.204,52.559,53.767,54.756,55.506,56.051,56.498,56.93,57.375,57.845,58.34,58.84,59.329,59.811,60.288,60.765,61.248,61.737,62.232,62.729,63.225,63.714,64.191,64.65,65.089,65.504,65.896,66.268,66.625,66.972,67.318,67.669,68.029,68.399,68.778,69.164,,
Barbados,BRB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.591,59.055,59.507,59.947,60.377,60.796,61.204,61.603,61.992,62.373,62.745,63.108,63.463,63.81,64.15,64.481,64.805,65.12,65.428,65.728,66.021,66.308,66.589,66.864,67.133,67.397,67.656,67.91,68.157,68.399,68.636,68.867,69.093,69.314,69.531,69.743,69.95,70.153,70.353,70.548,70.739,70.928,71.112,71.294,71.472,71.647,71.818,71.986,72.151,72.313,72.473,72.633,,
Belarus,BLR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.032,65.519,65.909,66.215,66.447,66.614,66.719,66.768,66.768,66.731,66.669,66.593,66.509,66.42,66.331,66.239,66.132,66.004,65.859,65.707,65.583,65.526,65.557,65.671,65.849,66.7,67.33,66.6,67.0,67.1,66.3,65.5,64.9,63.8,63.5,62.9,63.1,62.9,62.7,62.2,63.4,62.8,62.3,62.7,63.2,62.9,63.6,64.54,64.7,64.7,64.6,64.7,,
Belgium,BEL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,66.78,67.56,67.4,67.11,67.76,67.64,67.76,67.93,67.62,67.56,67.85,67.88,68.21,68.45,68.82,68.82,68.91,69.53,69.42,69.94,69.89,70.29,70.61,70.63,71.0,71.13,71.4,72.0,72.2,72.34,72.73,72.88,73.0,72.96,73.36,73.47,73.88,74.2,74.4,74.4,74.6,74.9,75.1,75.3,76.0,76.2,76.6,77.1,76.9,77.3,77.6,77.9,,
Belize,BLZ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.656,59.224,59.808,60.408,61.018,61.631,62.239,62.83,63.396,63.927,64.417,64.859,65.257,65.616,65.944,66.249,66.546,66.844,67.148,67.459,67.781,68.11,68.435,68.74,69.01,69.224,69.36,69.409,69.369,69.243,69.031,68.74,68.392,68.021,67.655,67.332,67.088,66.939,66.895,66.962,67.141,67.422,67.775,68.169,68.579,68.979,69.347,69.673,69.956,70.193,70.39,70.56,,
Benin,BEN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,36.829,37.239,37.646,38.051,38.451,38.842,39.218,39.574,39.913,40.236,40.55,40.866,41.192,41.533,41.892,42.263,42.631,42.992,43.345,43.7,44.078,44.506,45.004,45.581,46.234,46.962,47.757,48.59,49.426,50.232,50.96,51.564,52.028,52.354,52.553,52.654,52.704,52.755,52.856,53.03,53.298,53.666,54.107,54.591,55.1,55.606,56.082,56.509,56.876,57.177,57.414,57.601,,
Bermuda,BMU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,,,,,,65.61,,,,,66.89,,,,,,,,,,68.69,,,,,,,,,,,70.01,,,,,,,,,75.26,,,,,75.945,76.082,76.219,76.356,76.493,76.63,76.63,,
Bhutan,BTN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,32.014,32.432,32.84,33.241,33.646,34.07,34.533,35.048,35.625,36.267,36.974,37.741,38.551,39.387,40.236,41.086,41.926,42.754,43.566,44.359,45.13,45.88,46.617,47.346,48.073,48.802,49.539,50.284,51.038,51.803,52.577,53.359,54.144,54.928,55.708,56.481,57.246,58.003,58.751,59.49,60.223,60.955,61.688,62.419,63.141,63.843,64.511,65.135,65.71,66.235,66.712,67.15,,
Bolivia,BOL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,40.633,40.932,41.235,41.54,41.848,42.153,42.448,42.732,43.013,43.302,43.617,43.981,44.407,44.907,45.483,46.132,46.848,47.61,48.399,49.202,50.006,50.808,51.603,52.389,53.156,53.897,54.607,55.285,55.93,56.537,57.102,57.619,58.092,58.523,58.919,59.286,59.632,59.966,60.295,60.625,60.959,61.297,61.636,61.971,62.304,62.632,62.957,63.278,63.594,63.904,64.208,64.504,,
