Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,Urban population,SP.URB.TOTL,701340.9892,740010.4116,780434.01471,822717.17163,866974.96611,913321.85295,967903.25075,1024663.900284,1084232.84046,1147529.894214,1215133.15251,1299976.894584,1389150.887346,1481338.646784,1574529.638454,1666626.6762,1761884.07894,1855690.00128,1942479.093714,2014500.142368,2066032.55925,2064275.818392,2043225.100692,2010149.061456,1975930.01463,1950357.03909,1933197.65435,1926418.82191,1945066.86045,2008552.19607,2130032.71301,2319833.965334,2573235.370056,2863189.26905,3149330.808756,3401322.37893,3607448.149458,3773392.771428,3916173.472632,4064290.939566,4239142.9488,4449475.506696,4685369.338956,4938162.718608,5193367.459404,5440052.2911,5678200.426588,5908765.044264,6135281.495514,6363905.557412,6599367.53068,6853525.58656,7114762.360944,
Albania,ALB,Urban population,SP.URB.TOTL,497061.44445,514074.4011,531484.80615,549218.406,567190.56375,585344.5146,603574.00824,621947.46588,640548.82512,659504.23416,678907.8084,700828.510272,723322.10016,746352.061728,769853.854824,793786.77504,818525.20032,843745.14444,869538.02112,896030.31744,923315.07312,952510.72839,982043.451408,1012571.066646,1045025.3491,1079830.1819,1117909.782,1158221.08952,1197446.1626,1230999.88872,1255630.17496,1277503.648698,1289855.625896,1295757.39584,1300084.276848,1306576.12638,1318943.54511,1333959.26631,1350434.42704,1366162.20675,1379518.34468,1404919.209024,1428351.952552,1450557.73038,1472741.633058,1495916.6852,1523257.114548,1551803.396864,1581927.785984,1613986.53804,1648217.82046,1683687.824018,1721665.655176,
Algeria,DZA,Urban population,SP.URB.TOTL,3440843.6607,3692078.5479,3951847.018496,4222219.198158,4506470.0307,4807419.15012,4988596.259328,5180769.054066,5382229.80474,5590234.998236,5802887.725,5988856.77192,6178696.82144,6373918.88812,6576722.86044,6788957.0028,7092919.407868,7410986.639328,7745970.83602,8101456.042244,8479893.32568,8931613.633232,9409830.358432,9910899.557328,10429067.609924,10959458.580160001,11485194.517061999,12019556.418704,12561598.907642,13110972.335136,13666951.9118,14217980.392862,14772553.441198,15326779.37432,15875715.349354,16415779.81611,16998338.2164,17573969.724579997,18144298.28885,18712294.53555,19281301.46363,19922641.795452,20569118.370006,21230520.176644,21920058.65067,22648186.60167,23380707.91784,24154837.90389,24968465.9853,25816499.600139998,26694125.4768,27515982.2613,28363325.4873,
American Samoa,ASM,Urban population,SP.URB.TOTL,13250.14532,13645.638168,14161.773036,14767.698784,15416.112894,16070.79012,16718.5408,17368.71864,18007.33704,18623.5801,19209.20128,19758.38648,20276.9028,20764.15924,21221.7236,21656.99928,22061.1949,22448.01636,22874.49258,23415.15116,24124.5448,25121.492032,26299.15272,27626.15418,29047.481372,30519.25214,32014.31332,33549.371072,35095.424064,36614.496828,38081.17712,39580.988576,41007.196376,42379.3172,43732.153752,45090.9472,46364.064872,47620.648848,48839.850684,49994.896384,51059.97852,51933.366144,52722.667712,53368.581154,53797.806552,53963.77111,53738.13544,53262.89159,52659.9189999999,52104.80555,51729.24008,51517.468412,51505.869888,
Andorra,ADO,Urban population,SP.URB.TOTL,7840.483,8747.65224,9725.01248,10772.6727,11887.6362,13068.25195,14221.15002,15426.98395,16694.19648,18036.69993,19460.83245,20850.41664,22318.692696,23830.690492,25332.633564,26791.59912,28035.418464,29222.345592,30418.374432,31720.666104,33201.04032,34757.97866,36492.27824,38377.99902,40372.3616,42438.05923,44221.62444,46025.505316,47854.379348,49722.386286,51628.45832,53557.950132,55541.5240639999,57392.476442,58863.813384,59806.29494,60036.929372,59702.78314,59270.164186,59372.672488,60425.40605,62543.0,65589.08645,68937.24805,71719.279,73340.30785,73525.054738,72596.845096,71019.029458,69465.808034,68415.59019,67962.90795,67976.5164,
Angola,AGO,Urban population,SP.URB.TOTL,518200.8478,548589.967744,580032.459576,612428.93146,645603.743486,679447.47864,718166.450738,757820.097836,798768.959976,841551.427912,886663.97259,955243.481168,1027593.197202,1103980.459972,1184584.468354,1269645.48384,1372776.74746,1481505.018,1597101.9012,1721350.81856,1855672.52018,2015450.9622,2187901.44402,2370539.82608,2558998.5489,2749728.92348,2954580.360576,3160912.117288,3372647.29988,3596576.819124,3838403.01536,4102663.444056,4388075.934528,4691059.838624,5004956.770944,5324726.28576,5601856.11271,5882452.347888,6172989.409708,6483366.321152,6821405.4591,7189505.508306,7587597.448356,8012883.09645,8459958.17337,8924532.74568,9388251.099518,9869124.999376,10366816.070286,10881271.7647,11412583.099960001,11935266.47874,12472785.34755,
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,21684.29736,21633.098604,21644.596936,21701.396512,21773.232,21838.9633,21925.983724,22006.741872,22070.788304,22106.946004,22107.14211,22487.653268,22835.04931,23149.767816,23437.03197,23696.29901,23933.272104,24140.841602,24295.364608,24367.454034,24336.80018,24202.2735,23980.2584,23690.022884,23362.199652,23024.20624,22677.6471,22335.57572,22053.40032,21902.23615,21930.81956,21927.20796,22100.4056,22409.94796,22796.037,23212.00389,23598.24579,24000.815568,24384.536836,24708.610458,24945.97296,25135.366104,25232.97882,25266.804624,25276.848324,25292.13645,25443.078676,25599.804422,25760.376576,25917.7886,26066.96506,26335.057392,26602.416368,
Arab World,ARB,Urban population,SP.URB.TOTL,29318252.727909997,30925455.1355924,32612841.796011604,34380922.4127916,36230304.0352384,38161910.007740006,40009845.555238,41938417.0172444,43943823.3677252,46020105.127912395,48165835.341309994,50275546.482733704,52457895.2236826,54738805.8864753,57153551.409611,59729211.783,62355111.8691155,65141956.8825968,68077591.3900889,71140587.9296773,74314072.67281,77625634.05952759,81049537.2295491,84575571.49068192,88168067.5123455,91877004.0324006,95493772.614838,99140975.158656,102818282.60863,106492415.87352,111599112.46633999,115343911.742744,117141515.721022,120931612.737538,124693211.327274,129937609.3878,133304148.006192,136668600.263552,140053804.139382,143540235.766646,147246953.37541002,151286637.458656,155536257.529118,159975502.727668,164658228.387326,169556684.58997,174699485.015784,180058841.451826,185565103.7059,191098352.519244,196564295.7705,201949006.672706,207278943.177196,
Argentina,ARG,Urban population,SP.URB.TOTL,15181531.167779999,15543918.065866001,15910605.56118,16280635.309932001,16652497.343648002,17025565.10473,17387409.863544,17750600.765118,18121108.548312,18507095.18615,18914266.0416,19325397.225479998,19758173.09948,20205899.647552,20658590.089896,21108976.99267,21545288.35221,21978671.282568,22413033.385414,22854606.748007998,23307936.29745,23787163.080156,24277591.571706,24778016.637504,25286364.295992002,25800885.50922,26308571.416832,26821550.242135998,27338508.650232002,27857899.600835998,28378420.400159996,28880597.896920003,29381654.245559998,29881758.68742,30381499.7376,30880996.758720003,31366755.511740003,31851306.865871996,32331077.109171998,32801319.567864,33258889.13375,33686321.830804,34101016.22751,34507205.753512,34911020.155374,35317181.94228,35704262.192942,36093914.342616,36486998.800626,36884026.505396,37285192.121759996,37671964.755623996,38063175.694362,
Armenia,ARM,Urban population,SP.URB.TOTL,957507.299,1008597.321116,1061426.39946,1115612.321264,1170683.408958,1226270.423,1281581.6104,1337032.085312,1392892.12972,1449641.49372,1507619.76512,1564367.603796,1622103.527392,1680497.745248,1739063.02092,1797424.2215,1847860.077028,1897671.209746,1946996.113776,1996083.138808,2045104.829,2084400.4833,2122177.62682,2159712.20888,2198804.60616,2240233.7223,2280967.720182,2323914.668096,2362125.256954,2386191.97056,2389868.81595,2358185.693584,2306864.916738,2244289.829498,2182212.612014,2129131.38861,2087440.8839,2055180.885912,2030345.918592,2009256.64844,1989189.53268,1975803.93216,1964499.693464,1954500.248576,1944901.208208,1935094.32728,1926679.709244,1917614.638576,1908962.836416,1902278.025984,1898593.34736,1900439.60976,1905069.256516,
