Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1364256,,7.578449,7.102804,6.576521,,,,,
Albania,ALB,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22055,,,,40.87238,0.0,,,0.0,,0.0,17.4365,0.0,,18.23584,,
Algeria,DZA,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.30262,,,,38.31883,35.62637,,,42.76142,42.32448,40.89038,,40.0491,40.38736,39.6475,59.09766,49.87838,,,,
American Samoa,ASM,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.62463,,,24.00774,24.00774,,46.69065,46.06943,,,,
Antigua and Barbuda,ATG,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.13186,,,57.18353,56.15522,50.32373,50.10002,51.25364,,,43.17329,48.64511,50.76315,55.97248,,,,
Arab World,ARB,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00595,0.101983,,21.03717,21.76122,20.9979,33.51445,29.97554,32.0198,30.08538,33.48115,19.76148,25.17639,15.26069,15.78667,15.52354,15.57975,15.19054,14.80771,13.17856,,
Armenia,ARM,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.7569721,,0.1715855,,,,,
Aruba,ABW,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.76662,,5.112348,,,5.214664,5.472307,5.286258,4.994159,5.387809,0.5439402,0.3289474,0.3209825,0.2912433,0.3540153,0.318261,0.3998223,0.7774323,0.6769052,0.0,0.0,,
Austria,AUT,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13533,15.71462,20.69455,20.98832,20.60003,17.09331,17.62777,25.71892,30.76033,27.75367,21.33961,12.61151,16.18995,19.59929,19.08459,20.00184,17.22356,14.85589,18.89498,20.16744,17.91871,15.72739,6.29908,4.589267,,
Azerbaijan,AZE,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88321,,,0.0405877,,68.37942,66.41216,62.47328,,66.73042,,
"Bahamas, The",BHS,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.19355,,,66.7719,,,,65.46448,,,,49.03139,51.7,,
Bahrain,BHR,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.668338,,2.70905,,,,1.036605,0.9675019,1.088332,1.369863,1.762059,,1.786532,,
Bangladesh,BGD,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.22151,,,,,98.81064,,,,,62.94516,62.94516,,63.62899,62.97484,61.54095,48.13369,48.11673,47.7861,47.84803,,,,,
Barbados,BRB,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7713,,,52.0013,51.53463,65.38461,64.27724,64.59719,,,50.10551,53.626,,,,,,
Belarus,BLR,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.87755,15.95518,,,,,15.56556,,,,,,23.5355,23.56368,6.901037,19.172,,
Belgium,BEL,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13533,15.71462,20.69455,20.98832,20.60003,17.09331,17.62777,25.71892,30.76033,27.75367,21.33961,12.61151,16.18995,19.59929,19.08459,20.00184,17.22356,14.85589,18.89498,20.16744,17.91871,15.72739,6.29908,4.589267,,
Belize,BLZ,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.82989,,,48.12673,,48.34931,55.4437,54.29243,,,44.70739,49.02407,49.02407,39.89145,39.74472,48.69198,,
Benin,BEN,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.38494,46.91813,56.17374,55.44095,57.05383,47.31121,53.59897,52.75953,54.23162,56.48386,52.94624,,
Bermuda,BMU,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.36573,,,,20.13889,,29.6748,25.74627,25.71693,19.28044,23.60185,,
Bhutan,BTN,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.86254,,,,,,59.09091,,92.69663,92.95775,,94.89796,,,,,,
Bolivia,BOL,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.238138,,0.0,0.0,0.0,0.0,0.0,18.15944,13.9966,19.06195,,
Bosnia and Herzegovina,BIH,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,2.998919,3.054267,17.20201,0.0,1.738677,,
Botswana,BWA,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39544,,,15.24475,9.803922,9.803922,11.88119,10.54688,16.73077,19.50355,17.48072,,
Brazil,BRA,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.96335,66.14822,52.8144,47.07633,32.72715,27.72261,24.57718,20.74911,19.57209,29.47523,11.1238,26.19623,27.38298,27.86573,26.89027,21.94151,13.78098,13.24439,13.63597,13.51351,13.27229,13.40678,13.76885,,
Brunei Darussalam,BRN,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.448526,,,,,,,,,0.7884151,0.6918745,0.770944,1.154201,1.486576,1.486576,0.7707554,0.6096322,,1.155001,,,
Bulgaria,BGR,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13533,15.71462,20.69455,20.98832,20.60003,17.09331,17.62777,25.71892,30.76033,27.75367,21.33961,12.61151,16.18995,19.59929,19.08459,20.00184,17.22356,14.85589,18.89498,20.16744,17.91871,15.72739,6.29908,4.589267,,
Burkina Faso,BFA,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.29353,,,,,,,,38.54167,39.8533,50.66964,45.72864,45.69138,33.10413,41.57303,33.16683,36.13818,34.62138,34.34887,,
Burundi,BDI,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.21092,,,79.13447,45.18518,36.03896,35.79734,36.94444,41.72274,33.9921,,
Cambodia,KHM,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.125,41.5873,38.50425,,22.37978,,37.91615,19.34487,,,,,
Cameroon,CMR,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.26837,57.56136,,,,,,59.04908,58.72868,,,65.88235,,66.77316,,55.72584,,58.9528,,
Canada,CAN,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.573771,,,,5.120059,,8.10483,9.397623,7.223796,7.057214,6.246696,6.337584,5.653544,5.912625,15.88242,5.88413,6.133418,6.148309,5.810884,5.759589,5.892868,0.4993403,,,
Cape Verde,CPV,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.23579,,45.57185,45.02488,46.27539,46.52935,47.17035,,
Caribbean small states,CSS,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.34159,,59.9393,,,,66.51852,62.13292,,,65.91716,,45.25,,,,,,
Chad,TCD,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.51574,,49.51574,,,,46.98795,52.64054,,,63.55014,,50.19531,,59.9119,,54.59837,,
Channel Islands,CHI,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0786349,,,
