Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,5.11,5.11,5.23,,,,,
Albania,ALB,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.58,,,,10.41,7.6,,,5.54,,5.39,5.41,5.13,,5.13,,
Algeria,DZA,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.89,,,,23.54,23.72,,,21.63,19.79,19.37,,19.36,19.35,19.49,19.49,19.49,,,,
American Samoa,ASM,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69,,,10.04,10.04,,10.18,10.18,,,,
Antigua and Barbuda,ATG,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.33,,,23.01,11.87,11.94,11.95,11.94,,,11.97,11.97,11.97,12.0,,,,
Arab World,ARB,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,5.43,,8.61,8.62,8.59,11.36,11.33,11.41,10.77,9.9,8.57,9.8,8.49,8.48,8.52,8.59,9.36,8.66,8.66,,
Armenia,ARM,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.04,,5.0,,,,,
Aruba,ABW,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04,,4.6,,,3.98,3.92,3.04,5.1,5.06,1.09,1.11,1.1,1.11,1.1,1.04,1.14,3.96,1.19,1.05,1.05,,
Austria,AUT,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,7.0,7.77,7.68,7.8,7.66,7.88,17.5,13.59,13.62,11.49,7.77,10.23,11.68,11.45,11.87,11.0,10.27,11.1,11.52,11.13,9.93,4.87,4.87,,
Azerbaijan,AZE,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.94,,,9.79,,10.05,9.77,9.69,,9.73,,
"Bahamas, The",BHS,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.97,,,27.42,,,,26.86,,,,28.05,28.05,,
Bahrain,BHR,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36,,7.43,,,,5.83,5.51,5.87,5.88,6.75,,6.7,,
Bangladesh,BGD,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.97,,,,,78.42,,,,,20.15,20.15,,19.94,19.29,18.3,15.27,15.27,14.78,15.64,,,,,
Barbados,BRB,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37,,,26.06,26.13,27.31,27.18,26.9,,,21.23,22.6,,,,,,
Belarus,BLR,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56,10.1,,,,,9.96,,,,,,9.02,8.91,8.11,8.1,,
Belgium,BEL,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,7.0,7.77,7.68,7.8,7.66,7.88,17.5,13.59,13.62,11.49,7.77,10.23,11.68,11.45,11.87,11.0,10.27,11.1,11.52,11.13,9.93,4.87,4.87,,
Belize,BLZ,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.16,,,23.91,,14.75,14.76,14.76,,,14.75,14.74,14.74,15.36,15.35,14.59,,
Benin,BEN,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.78,11.78,11.79,11.83,11.82,11.82,11.94,11.94,11.94,11.94,11.93,,
Bermuda,BMU,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.67,,,,12.25,,12.1,11.17,11.16,11.16,11.16,,
Bhutan,BTN,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53,,,,,,17.03,,33.78,33.83,,33.95,,,,,,
Bolivia,BOL,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99,10.0,10.0,9.99,9.99,9.99,9.99,9.91,9.91,10.28,,9.99,9.35,9.33,9.33,9.36,11.01,11.01,11.01,,
Bosnia and Herzegovina,BIH,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,,,,,2.85,2.84,2.91,7.85,2.89,2.89,,
Botswana,BWA,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31,,,5.88,4.89,4.88,5.85,4.77,6.4,5.9,4.79,,
Brazil,BRA,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.68,20.73,15.24,20.66,7.87,7.39,8.63,8.73,8.68,11.46,11.44,11.35,10.93,10.02,9.98,9.98,8.6,8.57,8.68,8.72,8.76,8.76,8.78,,
Brunei Darussalam,BRN,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,5.73,6.17,5.67,5.45,5.19,5.23,5.31,0.4,,0.43,,,
Bulgaria,BGR,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,7.0,7.77,7.68,7.8,7.66,7.88,17.5,13.59,13.62,11.49,7.77,10.23,11.68,11.45,11.87,11.0,10.27,11.1,11.52,11.13,9.93,4.87,4.87,,
