Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194452,,,,0.906484,,,
Armenia,ARM,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577776,,,,,
Aruba,ABW,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.486781,,,,,
"Bahamas, The",BHS,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.887726,,,,,
Belgium,BEL,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,(%) Program participation - Unemp benefits and ALMP,lm_ub.cov_pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03118,,,,,,
